Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (MATO GROSSO DO SUL) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:52:09  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","MS","AMAMBAI","PT","13123","ZEFERINO BRAZ DAROZ","146","Suplente","0.887","PT / PTB / PFL / PSB",
"Vereador","MS","ANASTACIO","PT","13123","ADÃO DE ARRUDA SALES","204","Eleito por Média","1.503","PT / PL / PAN / PC do B",
"Vereador","MS","ANASTACIO","PFL","25111","ADÃO MARTINS","21","Não eleito","0.155","(sem coligação)",
"Vereador","MS","ANASTACIO","PSDB","45645","ADEMIR ALVES GUILHERME","210","Suplente","1.547","(sem coligação)",
"Vereador","MS","ANASTACIO","PT","13953","ADRIANA MONTIEL DOS SANTOS","136","Suplente","1.002","PT / PL / PAN / PC do B",
"Vereador","MS","ANASTACIO","PP","11222","AGOSTINHO VITORIANO PEDROSA LIMA","76","Não eleito","0.560","(sem coligação)",
"Vereador","MS","ANASTACIO","PMDB","15613","AGRISIO CRISTALDO","502","Eleito","3.698","PTB / PMDB / PMN / PSB",
"Vereador","MS","ANASTACIO","PSDB","45676","ALDA FLORES LEANDRO","21","Suplente","0.155","(sem coligação)",
"Vereador","MS","ANASTACIO","PTB","14555","AMADI RAMOS PEREIRA","201","Suplente","1.481","PTB / PMDB / PMN / PSB",
"Vereador","MS","ANASTACIO","PFL","25333","ANTONIO NOVAES RODRIGUES","80","Não eleito","0.589","(sem coligação)",
"Vereador","MS","ANASTACIO","PL","22202","ANTONIO RAIMUNDO DA CRUZ","36","Suplente","0.265","PT / PL / PAN / PC do B",
"Vereador","MS","ANASTACIO","PP","11315","ANTONIO REGINALDO LEITE BARROS","118","Não eleito","0.869","(sem coligação)",
"Vereador","MS","ANASTACIO","PSDB","45678","ARILDO FRANÇA","135","Suplente","0.994","(sem coligação)",
"Vereador","MS","ANASTACIO","PL","22123","CIMARA FERNANDES DE OLIVEIRA CABRAL","201","Suplente","1.481","PT / PL / PAN / PC do B",
"Vereador","MS","ANASTACIO","PL","22345","CLAUDINEI LEITE  CARVALHO","31","Suplente","0.228","PT / PL / PAN / PC do B",
"Vereador","MS","ANASTACIO","PT","13234","CLAUDIO PEREIRA","158","Suplente","1.164","PT / PL / PAN / PC do B",
"Vereador","MS","ANASTACIO","PDT","12369","CLEIDE REGINA ESCOBAR COSTA","28","Suplente","0.206","(sem coligação)",
"Vereador","MS","ANASTACIO","PL","22333","CLEUDA MENDES LEANDRO","6","Suplente","0.044","PT / PL / PAN / PC do B",
"Vereador","MS","ANASTACIO","PPS","23333","DIJAIME GOUVEIA DA SILVA","26","Não eleito","0.192","(sem coligação)",
"Vereador","MS","ANASTACIO","PL","22130","DORVALINO DOS REIS FERREIRA","129","Suplente","0.950","PT / PL / PAN / PC do B",
