Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (MATO GROSSO) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:56:02  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","MT","ALTO TAQUARI","PTB","14777","CLAUDINÉ CAVALCANTE DE MELO","32","Suplente","0.883","PTB / PMDB / PSDB",
"Vereador","MT","ALTO TAQUARI","PTB","14722","CLAUDIONEI BERGAMIN","24","Suplente","0.662","PTB / PMDB / PSDB",
"Vereador","MT","ALTO TAQUARI","PPS","23456","DEILER ALVES GARCIA","261","Eleito","7.200","PPS / PFL",
"Vereador","MT","ALTO TAQUARI","PTB","14712","EDMA ABADIA DOURADO","2","Suplente","0.055","PTB / PMDB / PSDB",
"Vereador","MT","ALTO TAQUARI","PFL","25630","ENIO MARTINS DE BORBA","15","Suplente","0.414","PPS / PFL",
"Vereador","MT","ALTO TAQUARI","PTB","14768","EVALDO VERSÃO DE SOUZA","17","Suplente","0.469","PTB / PMDB / PSDB",
"Vereador","MT","ALTO TAQUARI","PT","13123","FABIO MAURI GARBUGIO","166","Suplente","4.579","PT / PL",
"Vereador","MT","ALTO TAQUARI","PFL","25123","GERALDO RODRIGUES BATISTA","164","Eleito","4.524","PPS / PFL",
"Vereador","MT","ALTO TAQUARI","PFL","25333","GILSON NAVES ALEGRE","48","Suplente","1.324","PPS / PFL",
"Vereador","MT","ALTO TAQUARI","PPS","23123","ILDO CLEMENTE DE SOUZA","58","Suplente","1.600","PPS / PFL",
"Vereador","MT","ALTO TAQUARI","PFL","25555","IRACI ELAINE WORST","138","Suplente","3.807","PPS / PFL",
"Vereador","MT","ALTO TAQUARI","PMDB","15111","JOÃO NAVES DE SOUZA","123","Suplente","3.393","PTB / PMDB / PSDB",
"Vereador","MT","ALTO TAQUARI","PFL","25289","JOSE APARECIDO DIAS AMARAL","89","Suplente","2.455","PPS / PFL",
