Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (PARA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:56:41  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","PA","ACARA","PFL","25699","MARIA BENEDITA DOS SANTOS LOBO","100","Suplente","0.511","PFL / PT do B",
"Vereador","PA","ACARA","PT do B","70600","MARIA BERNADETE SANTOS DE OLIVEIRA","64","Suplente","0.327","PFL / PT do B",
"Vereador","PA","ACARA","PV","43644","MARIA DA GRAÇA NERI DE SOUZA","73","Não eleito","0.373","PPS / PV",
"Vereador","PA","ACARA","PV","43640","MARIA DO CARMO COSTA CIDADE","23","Não eleito","0.118","PPS / PV",
"Vereador","PA","ACARA","PT do B","70611","MARIA DO LIVRAMENTO OLIVEIRA SAGICA","0","Suplente","0.000","PFL / PT do B",
"Vereador","PA","ACARA","PRTB","28600","MARIA DO SOCORRO CONCEIÇÃO GONÇALVES","2","Não eleito","0.010","(sem coligação)",
"Vereador","PA","ACARA","PFL","25614","MARIA EDINEIA MOREIRA MANÇO","285","Eleito por Média","1.457","PFL / PT do B",
"Vereador","PA","ACARA","PMDB","15601","MARIA LUCIDEA DE PAIVA DANTAS","23","Suplente","0.118","PMDB / PSDB",
"Vereador","PA","ACARA","PRP","44018","MARIA MADALENA VAZ MENEZES","14","Suplente","0.072","PP / PRP",
"Vereador","PA","ACARA","PRTB","28690","MARIA ORMELIA SOUZA DA SILVA","9","Não eleito","0.046","(sem coligação)",
"Vereador","PA","ACARA","PMDB","15633","MARIA ROSALINA CAMPOS DE BRITO","17","Suplente","0.087","PMDB / PSDB",
"Vereador","PA","ACARA","PC do B","65123","MARIA SUELI CONCEIÇÃO DAS MERCES","106","Não eleito","0.542","PT / PC do B",
"Vereador","PA","ACARA","PRTB","28678","MARIO UBIRAJARA LOBATO DOS SANTOS","0","Registro negado antes da eleição","0.000","(sem coligação)",
"Vereador","PA","ACARA","PFL","25611","MECIAS MACHADO DE CASTRO","33","Suplente","0.169","PFL / PT do B",
"Vereador","PA","ACARA","PRP","44644","MILTON TRINDADE DA SILVA","86","Suplente","0.440","PP / PRP",
"Vereador","PA","ACARA","PP","11666","NAILZA DA SILVA NASCIMENTO","579","Eleito","2.960","PP / PRP",
"Vereador","PA","ACARA","PV","43677","NELMA DE LIMA VAZ ARAUJO","0","Não eleito","0.000","PPS / PV",
"Vereador","PA","ACARA","PP","11622","NIWTON DE LIMA VAZ","356","Suplente","1.820","PP / PRP",
"Vereador","PA","ACARA","PT","13678","NOE DE PAIVA","252","Não eleito","1.288","PT / PC do B",
"Vereador","PA","ACARA","PSDB","45666","OCTAVIO RAIMUNDO DA CRUZ VIANA","119","Suplente","0.608","PMDB / PSDB",
"Vereador","PA","ACARA","PSDB","45660","ODIVAL PANTOJA FERREIRA","65","Suplente","0.332","PMDB / PSDB",
"Vereador","PA","ACARA","PTB","14601","PAULO FERNANDO FEIO AIRES","70","Suplente","0.358","PTB / PTN",
"Vereador","PA","ACARA","PFL","25678","PAULO SERGIO ARAUJO DA SILVA","218","Suplente","1.114","PFL / PT do B",
"Vereador","PA","ACARA","PTB","14689","PAULO SERGIO FIGUEIREDO DE CARVALHO","57","Suplente","0.291","PTB / PTN",
"Vereador","PA","ACARA","PFL","25601","RAIMUNDO BENTO VIEIRA MENDONÇA","41","Suplente","0.210","PFL / PT do B",
"Vereador","PA","ACARA","PTB","14651","RAIMUNDO DO ESPIRITO SANTO ABREU","37","Suplente","0.189","PTB / PTN",
"Vereador","PA","ACARA","PT","13567","RAIMUNDO DO ESPIRITO SANTO MOREIRA MELO","81","Não eleito","0.414","PT / PC do B",
"Vereador","PA","ACARA","PSB","40312","RAIMUNDO DO SOCORRO DOS SANTOS PANTOJA","50","Não eleito","0.256","(sem coligação)",
"Vereador","PA","ACARA","PTB","14666","RAIMUNDO MENEZES DOS SANTOS","99","Suplente","0.506","PTB / PTN",
"Vereador","PA","ACARA","PT do B","70633","RAIMUNDO PEREIRA DA SILVA","10","Suplente","0.051","PFL / PT do B",
"Vereador","PA","ACARA","PT","13333","REGINALDO PENICHE DO MONTE","181","Não eleito","0.925","PT / PC do B",
"Vereador","PA","ACARA","PDT","12450","REINALDO PEREIRA LACERDA","144","Suplente","0.736","PDT / PSC / PL",
"Vereador","PA","ACARA","PP","11600","REJANE DA SILVA","112","Suplente","0.573","PP / PRP",
"Vereador","PA","ACARA","PTB","14687","RONALDO DE SOUZA NOGUEIRA","279","Suplente","1.426","PTB / PTN",
"Vereador","PA","ACARA","PDT","12456","ROSALINA AMARAL COUTINHO","262","Suplente","1.339","PDT / PSC / PL",
"Vereador","PA","ACARA","PMDB","15666","ROSE MARIE DE SOUSA GOMES","27","Suplente","0.138","PMDB / PSDB",
"Vereador","PA","ACARA","PPS","23652","ROSINALDO BARBOSA MARQUES","162","Não eleito","0.828","PPS / PV",
"Vereador","PA","ACARA","PSB","40333","SADOC LOPES DE OLIVEIRA","246","Não eleito","1.258","(sem coligação)",
"Vereador","PA","ACARA","PMDB","15662","SEBASTIAO DE SOUZA NUNES","41","Suplente","0.210","PMDB / PSDB",
"Vereador","PA","ACARA","PFL","25630","SEBASTIÃO QUARESMA DA FONSECA","167","Suplente","0.854","PFL / PT do B",
"Vereador","PA","ACARA","PT do B","70622","SEVERINO ALBERNAZ DE PAULA","4","Suplente","0.020","PFL / PT do B",
"Vereador","PA","ACARA","PFL","25610","SILVESTRE PEREIRA DA SILVA","8","Suplente","0.041","PFL / PT do B",
"Vereador","PA","ACARA","PV","43611","SILVIA MARA DO CARMO E SOUSA","109","Não eleito","0.557","PPS / PV",
"Vereador","PA","ACARA","PP","11659","SYMONNY DE ALMEIDA SANTOS BARBOSA","262","Suplente","1.339","PP / PRP",
"Vereador","PA","ACARA","PDT","12333","TOME NUNES MARTINS","88","Suplente","0.450","PDT / PSC / PL",
"Vereador","PA","ACARA","PV","43678","VALDECI PANTOJA FERREIRA","100","Não eleito","0.511","PPS / PV",
"Vereador","PA","ACARA","PSC","20001","VARLINDO NUNES CHAVES","46","Suplente","0.235","PDT / PSC / PL",
"Vereador","PA","ACARA","PDT","12444","VERA LUCIA DA CONCEICAO DA SILVA","175","Suplente","0.895","PDT / PSC / PL",
"Vereador","PA","ACARA","PP","11625","WALTER NEVES DE SIQUEIRA","118","Suplente","0.603","PP / PRP",
"Vereador","PA","ACARA","PMDB","15688","WANDERLEY MAIA CIDADE","66","Suplente","0.337","PMDB / PSDB",
"Vereador","PA","ACARA","PSDB","45630","WENILSON D A CONCEIÇÃO DUARTE","18","Suplente","0.092","PMDB / PSDB",
"Vereador","PA","ACARA","PTB","14680","YOSHIBUMI OKADA","92","Suplente","0.470","PTB / PTN",
"Vereador","PA","AFUA","PSDB","45622","AGENOR FERNANDES DE SOUZA","197","Suplente","1.954","PP / PTB / PSDB",
"Vereador","PA","AFUA","PMDB","15679","AGUINALDO DA SILVA VAZ","287","Suplente","2.846","PMDB / PSB",
"Vereador","PA","AFUA","PSC","20000","ALDENOR RODRIGUES ATAÍDE","405","Suplente","4.017","PT / PSC",
"Vereador","PA","AFUA","PTB","14444","ALVANIR LOPES CAVALCANTE","0","Suplente","0.000","PP / PTB / PSDB",
"Vereador","PA","AFUA","PSDB","45605","ANAZIRA MADUREIRA DA SILVA NERI","67","Suplente","0.664","PP / PTB / PSDB",
"Vereador","PA","AFUA","PMDB","15615","ANTONIETA MACHADO DOS SANTOS","65","Suplente","0.645","PMDB / PSB",
"Vereador","PA","AFUA","PP","11611","ANTONIO AZEVEDO CARDOSO","305","Suplente","3.025","PP / PTB / PSDB",
"Vereador","PA","AFUA","PSDB","45222","ANTONIO BAIA DO MONTE","323","Suplente","3.203","PP / PTB / PSDB",
"Vereador","PA","AFUA","PMDB","15683","DECIO GONCALVES QUINTAS FILHO","359","Eleito","3.560","PMDB / PSB",
"Vereador","PA","AFUA","PT","13330","DEJAMIR GEMAQUE LEAL","102","Suplente","1.012","PT / PSC",
"Vereador","PA","AFUA","PT","13555","DEUZARINA DOS SANTOS CAMPOS","82","Suplente","0.813","PT / PSC",
"Vereador","PA","AFUA","PSB","40603","DINETE ALMEIDA DE SOUZA","0","Suplente","0.000","PMDB / PSB",
"Vereador","PA","AFUA","PMDB","15614","EDILSON LEITÃO COELHO","161","Suplente","1.597","PMDB / PSB",
"Vereador","PA","AFUA","PMDB","15618","EDNA MARIA BEZERRA FERREIRA","582","Eleito","5.772","PMDB / PSB",
"Vereador","PA","AFUA","PP","11622","ELIUDO DOS SANTOS PINHEIRO","388","Eleito por Média","3.848","PP / PTB / PSDB",
"Vereador","PA","AFUA","PMDB","15620","EXPEDITO FIGUEIREDO PELAES","330","Suplente","3.273","PMDB / PSB",
"Vereador","PA","AFUA","PSDB","45666","FERNANDO ESPINDOLA ABDON","356","Suplente","3.531","PP / PTB / PSDB",
"Vereador","PA","AFUA","PT","13130","FRANCISCO SALES BEZERRA","124","Suplente","1.230","PT / PSC",
"Vereador","PA","AFUA","PSDB","45333","JARBAS DA PAES PASTANA","0","Suplente","0.000","PP / PTB / PSDB",
"Vereador","PA","AFUA","PSDB","45102","JOÃO MONTEIRO DA SILVA","107","Suplente","1.061","PP / PTB / PSDB",
"Vereador","PA","AFUA","PMDB","15657","JOSÉ ELDEMI DE CARVALHO","503","Eleito","4.989","PMDB / PSB",
"Vereador","PA","AFUA","PSDB","45603","JOSÉ VICENTE LOBATO DE OLIVEIRA","191","Suplente","1.894","PP / PTB / PSDB",
"Vereador","PA","AFUA","PMDB","15670","LAURO DOS SANTOS NETO","18","Suplente","0.179","PMDB / PSB",
"Vereador","PA","AFUA","PMDB","15610","LUIZ QUEIROZ ROCHA","88","Suplente","0.873","PMDB / PSB",
"Vereador","PA","AFUA","PMDB","15691","MANOEL DA CONCEIÇÃO PINHEIRO JARDIM","190","Suplente","1.884","PMDB / PSB",
"Vereador","PA","AFUA","PT","13134","MANOEL DE NAZARÉ OLIVEIRA DA SILVA","57","Suplente","0.565","PT / PSC",
"Vereador","PA","AFUA","PT","13013","MANOEL MACEDO DA COSTA","42","Suplente","0.417","PT / PSC",
"Vereador","PA","AFUA","PT","13333","MARCIRENO DOS ANJOS ALMEIDA","45","Suplente","0.446","PT / PSC",
"Vereador","PA","AFUA","PMDB","15687","MARIA SELMA GONÇALVES NOBRE","54","Suplente","0.536","PMDB / PSB",
"Vereador","PA","AFUA","PMDB","15603","MARINALDO BARBOSA MACHADO","223","Suplente","2.212","PMDB / PSB",
"Vereador","PA","AFUA","PTB","14222","MERANDOLINA GOMES DE SOUZA","19","Suplente","0.188","PP / PTB / PSDB",
"Vereador","PA","AFUA","PSDB","45678","NARRINHA WANDERLEY SALOMÃO COELHO","770","Eleito","7.637","PP / PTB / PSDB",
"Vereador","PA","AFUA","PSDB","45555","NILTON COUTINHO DA COSTA","420","Eleito","4.165","PP / PTB / PSDB",
"Vereador","PA","AFUA","PT","13456","NILTON PAES CARDOSO","433","Eleito","4.294","PT / PSC",
"Vereador","PA","AFUA","PMDB","15680","PAULO SERGIO FRANÇA PEREIRA","321","Suplente","3.184","PMDB / PSB",
"Vereador","PA","AFUA","PMDB","15625","RAIMUNDA IVANILDA CAMPOS DE MELO","77","Suplente","0.764","PMDB / PSB",
"Vereador","PA","AFUA","PP","11111","ROLDÃO DE ALMEIDA LOBATO","589","Eleito","5.842","PP / PTB / PSDB",
"Vereador","PA","AFUA","PMDB","15655","SEBASTIÃO BAIA SANTANA","458","Eleito","4.542","PMDB / PSB",
"Vereador","PA","AFUA","PMDB","15605","SEBASTIÃO DA SILVA CARVALHO","330","Suplente","3.273","PMDB / PSB",
"Vereador","PA","AGUA AZUL DO NORTE","PMDB","15215","ADALBERTO DA SILVA","175","Eleito por Média","3.278","PMDB / PDT / PPS",
"Vereador","PA","AGUA AZUL DO NORTE","PL","22100","ANTONIO DE SOUZA LEITE","178","Eleito por Média","3.335","PL / PSB",
"Vereador","PA","AGUA AZUL DO NORTE","PT","13307","ANTONIO NEDINO DE SOUZA BEZERRA","33","Não eleito","0.618","(sem coligação)",
"Vereador","PA","AGUA AZUL DO NORTE","PP","11123","CARLOS AMORIM MACHADO","96","Suplente","1.798","PTB / PFL / PP",
"Vereador","PA","AGUA AZUL DO NORTE","PPS","23345","CLAUDETE DE CAMPOS SOUSA","114","Suplente","2.136","PMDB / PDT / PPS",
"Vereador","PA","AGUA AZUL DO NORTE","PDT","12123","COLEMAR FERREIRA SOARES","152","Suplente","2.848","PMDB / PDT / PPS",
"Vereador","PA","AGUA AZUL DO NORTE","PSC","20225","CREUZA DE SOUZA OLIVEIRA","99","Suplente","1.855","PSC / PSDB",
"Vereador","PA","AGUA AZUL DO NORTE","PT","13310","DIVAILTON MOREIRA DE SOUZA","1","Não eleito","0.019","(sem coligação)",
"Vereador","PA","AGUA AZUL DO NORTE","PT","13301","DONILDO RODRIGUES PEREIRA","33","Não eleito","0.618","(sem coligação)",
"Vereador","PA","AGUA AZUL DO NORTE","PPS","23234","FRANCISCO VIEIRA","181","Eleito","3.391","PMDB / PDT / PPS",
"Vereador","PA","AGUA AZUL DO NORTE","PL","22111","GENILSON MEDINA DE ARAUJO","107","Suplente","2.004","PL / PSB",
"Vereador","PA","AGUA AZUL DO NORTE","PSC","20123","GILBERTO DA COSTA VELOSO","190","Eleito por Média","3.559","PSC / PSDB",
