Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (PARAIBA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:56:52  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","PB","ALAGOA NOVA","PSDB","45555","FRANÇUÁ MARQUES DA SILVA","599","Eleito","5.557","PSDB / PTB",
"Vereador","PB","ALAGOA NOVA","PTB","14567","IVANILDO JOSÉ PEQUENO","227","Suplente","2.106","PSDB / PTB",
"Vereador","PB","ALAGOA NOVA","PDT","12333","JOÃO DE LEMOS","244","Suplente","2.264","PDT / PT",
"Vereador","PB","ALAGOA NOVA","PPS","23112","JOÃO MANOEL DE LUNA","12","Não eleito","0.111","PPS / PFL",
"Vereador","PB","ALAGOA NOVA","PPS","23129","JOSÉ BATISTA SIDRÔNIO ALVES","7","Não eleito","0.065","PPS / PFL",
"Vereador","PB","ALAGOA NOVA","PMDB","15670","JOSÉ DAMASIO DE OLIVEIRA","438","Eleito","4.063","(sem coligação)",
"Vereador","PB","ALAGOA NOVA","PMDB","15011","JOSÉ EUDES MENDONÇA","100","Suplente","0.928","(sem coligação)",
"Vereador","PB","ALAGOA NOVA","PPS","23113","JOSÉ INÁCIO BARBOSA","2","Não eleito","0.019","PPS / PFL",
"Vereador","PB","ALAGOA NOVA","PDT","12310","JOSÉ IZIDORO DE MELO","99","Suplente","0.918","PDT / PT",
"Vereador","PB","ALAGOA NOVA","PMDB","15678","JOSÉ PEREIRA","396","Suplente","3.674","(sem coligação)",
"Vereador","PB","ALAGOA NOVA","PSDB","45666","JOSÉ PEREIRA BARROS","121","Suplente","1.123","PSDB / PTB",
"Vereador","PB","ALAGOA NOVA","PFL","25147","JOSÉ VALDIR DA SILVA","4","Não eleito","0.037","PPS / PFL",
"Vereador","PB","ALAGOA NOVA","PMDB","15236","JOSEFA ERMINA COBÉ DINIZ","63","Suplente","0.584","(sem coligação)",
"Vereador","PB","ALAGOA NOVA","PMDB","15123","JOSSANDRO ARAÚJO MONTEIRO","343","Suplente","3.182","(sem coligação)",
"Vereador","PB","ALAGOA NOVA","PTB","14444","LEOGÁRIO BRITO","74","Suplente","0.687","PSDB / PTB",
"Vereador","PB","ALAGOA NOVA","PT","13666","LEONIO FAUSTINO DA LUZ","100","Suplente","0.928","PDT / PT",
"Vereador","PB","ALAGOA NOVA","PTB","14555","LUIZ MATIAS DE ARAUJO","69","Suplente","0.640","PSDB / PTB",
"Vereador","PB","ALAGOA NOVA","PMDB","15555","MANOEL VIEIRA DE ATAÍDE","566","Eleito","5.251","(sem coligação)",
"Vereador","PB","ALAGOA NOVA","PMDB","15789","MARIA DE FÁTIMA CÂMARA DE SOUZA","435","Eleito por Média","4.036","(sem coligação)",
"Vereador","PB","ALAGOA NOVA","PPS","23456","MARIA DE LOURDES GOMES","18","Não eleito","0.167","PPS / PFL",
"Vereador","PB","ALAGOA NOVA","PSDB","45444","MARIA DO LIVRAMENTO SOUZA DA SILVA","103","Suplente","0.956","PSDB / PTB",
