Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (PERNAMBUCO) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:58:17  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","PE","AGRESTINA","PSL","17622","KENNEDY JOSÉ ALVES DOS SANTOS","159","Suplente","1.227","PSDC / PSL",
"Vereador","PE","AGRESTINA","PMDB","15123","LÚCIO FLAVIO DA SILVA","221","Suplente","1.706","PMDB / PFL",
"Vereador","PE","AGRESTINA","PSDB","45690","LUIS CARLOS LOPES DOS SANTOS","116","Suplente","0.895","PSDB / PAN / PMN",
"Vereador","PE","AGRESTINA","PT","13900","LUIZ GONZAGA TENÓRIO DE OLIVEIRA","9","Não eleito","0.069","PSB / PT",
"Vereador","PE","AGRESTINA","PT","13130","LUIZ JOSÉ DA SILVA","5","Não eleito","0.039","PSB / PT",
"Vereador","PE","AGRESTINA","PMDB","15000","LUIZ MARCELO CARVALHO SANTOS","329","Suplente","2.539","PMDB / PFL",
"Vereador","PE","AGRESTINA","PSDC","27147","MÁRCIO BEZERRA DA SILVA","106","Suplente","0.818","PSDC / PSL",
"Vereador","PE","AGRESTINA","PMDB","15615","MÁRCIO JOSÉ AVELAR PIMENTEL","248","Suplente","1.914","PMDB / PFL",
"Vereador","PE","AGRESTINA","PT","13500","MARCOS AMARO DA SILVA","3","Não eleito","0.023","PSB / PT",
"Vereador","PE","AGRESTINA","PL","22456","MARCOS ANTÔNIO DE OLIVEIRA SILVA","511","Eleito por Média","3.944","PC do B / PL / PRP / PV",
"Vereador","PE","AGRESTINA","PMN","33456","MARCOS HELENO FLORENTINO","0","Suplente","0.000","PSDB / PAN / PMN",
"Vereador","PE","AGRESTINA","PRP","44555","MARCUS TÚLIO CAVALCANATI TENÓRIO","157","Suplente","1.212","PC do B / PL / PRP / PV",
"Vereador","PE","AGRESTINA","PSL","17700","MARIA EDILENE BEZERRA DA SILVA","157","Suplente","1.212","PSDC / PSL",
"Vereador","PE","AGRESTINA","PMDB","15147","MARIA EDINETE LUIZ DA SILVA","359","Suplente","2.770","PMDB / PFL",
"Vereador","PE","AGRESTINA","PSB","40123","MARIA JADEILDA DOS SANTOS","160","Não eleito","1.235","PSB / PT",
"Vereador","PE","AGRESTINA","PSB","40111","MOURÁCIA TORRES DANTAS FIGUEIROA","18","Não eleito","0.139","PSB / PT",
"Vereador","PE","AGRESTINA","PAN","26232","PATRÍCIO JOSÉ DA SILVA","1","Suplente","0.008","PSDB / PAN / PMN",
"Vereador","PE","AGRESTINA","PMDB","15623","PAULO FERNANDO DA SILVA LIRA","414","Suplente","3.195","PMDB / PFL",
"Vereador","PE","AGRESTINA","PSDB","45612","PAULO FERNANDO DE LIMA","440","Suplente","3.396","PSDB / PAN / PMN",
"Vereador","PE","AGRESTINA","PSDC","27234","PORFÍRIO JOSE DA SILVA","118","Suplente","0.911","PSDC / PSL",
"Vereador","PE","AGRESTINA","PV","43333","ROBERTO ARAÚJO DA SILVA","205","Suplente","1.582","PC do B / PL / PRP / PV",
"Vereador","PE","AGRESTINA","PL","22622","ROSENO SOARES DE LIMA","90","Suplente","0.695","PC do B / PL / PRP / PV",
"Vereador","PE","AGRESTINA","PT","13456","SEBASTIÃO MARIANO DA SILVA","45","Não eleito","0.347","PSB / PT",
"Vereador","PE","AGRESTINA","PSB","40789","SEVERINO ANTONIO DE LIRA","146","Não eleito","1.127","PSB / PT",
"Vereador","PE","AGRESTINA","PSDB","45645","SEVERINO JOSÉ ROMÃO","606","Eleito","4.677","PSDB / PAN / PMN",
"Vereador","PE","AGRESTINA","PMDB","15621","SEVERINO PEDRO DA SILVA","151","Suplente","1.165","PMDB / PFL",
"Vereador","PE","AGRESTINA","PL","22580","SHEYLA MARIA DIONÍZIO","586","Eleito","4.522","PC do B / PL / PRP / PV",
"Vereador","PE","AGRESTINA","PSDB","45678","SINVAL FELICIANO MONTEIRO","446","Eleito","3.442","PSDB / PAN / PMN",
"Vereador","PE","AGRESTINA","PSL","17000","SONALDO SERAFIM DA SINVA","283","Suplente","2.184","PSDC / PSL",
"Vereador","PE","AGRESTINA","PV","43123","VERONALDO TAVARES DA SILVA","136","Suplente","1.050","PC do B / PL / PRP / PV",
"Vereador","PE","AGUA PRETA","PV","43624","ADRIANA MARIA DA SILVA","15","Suplente","0.093","PTB / PV",
"Vereador","PE","AGUA PRETA","PRP","44440","ALANO FERNANDO DO NASCIMENTO","32","Suplente","0.199","PP / PSC / PRP",
"Vereador","PE","AGUA PRETA","PT","13876","AMARO ANTONIO DA SILVA","50","Suplente","0.311","PT / PC do B",
"Vereador","PE","AGUA PRETA","PT","13111","AMARO JOSE DA SILVA","38","Suplente","0.236","PT / PC do B",
"Vereador","PE","AGUA PRETA","PSB","40123","ANTONIO MANOEL DA SILVA","520","Eleito","3.233","(sem coligação)",
