Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (PIAUI) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:58:35  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","PI","AMARANTE","PSB","40222","ODILON DA SILVA SANTOS","0","Não eleito","0.000","(sem coligação)",
"Vereador","PI","AMARANTE","PFL","25644","PAULO JOSÉ DE ARAUJO MUNIZ","45","Suplente","0.439","PFL / PDT / PSDC",
"Vereador","PI","AMARANTE","PSDB","45888","PAULO NÉSIO DA SILVA LIMA","510","Eleito","4.980","PP / PSDB",
"Vereador","PI","AMARANTE","PFL","25699","PEDRO ANTONIO AYRES VILARINHO NETO","250","Eleito por Média","2.441","PFL / PDT / PSDC",
"Vereador","PI","AMARANTE","PSDB","45777","RAFAEL FERREIRA DA SILVA","93","Suplente","0.908","PP / PSDB",
"Vereador","PI","AMARANTE","PMDB","15123","RAIMUNDO ALVES PEREIRA","216","Não eleito","2.109","PMDB / PT do B",
"Vereador","PI","AMARANTE","PSDB","45611","RAIMUNDO BEMBEM DE OLIVEIRA","154","Suplente","1.504","PP / PSDB",
"Vereador","PI","AMARANTE","PTB","14677","TADEU PEREIRA DO NASCIMENTO","78","Suplente","0.762","PT / PTB / PCB / PL / PMN / PV",
"Vereador","PI","AMARANTE","PL","22123","VICENTE DE PAULA ALEXANDRE LIMA","66","Suplente","0.645","PT / PTB / PCB / PL / PMN / PV",
"Vereador","PI","AMARANTE","PDT","12369","WHYGSON LIMA COELHO","209","Suplente","2.041","PFL / PDT / PSDC",
"Vereador","PI","ANGICAL DO PIAUI","PSDB","45333","ALCINEIDE PEREIRA DA SILVA LIMA","56","Não eleito","1.131","PT / PSC / PPS / PSDB",
"Vereador","PI","ANGICAL DO PIAUI","PP","11111","ANTONIO SOARES DE SOUSA","244","Eleito","4.929","PP / PTB / PMDB / PTN / PCB / PFL / PRTB",
"Vereador","PI","ANGICAL DO PIAUI","PDT","12222","CACILDA SANTOS BARBOSA RUFINO","214","Eleito","4.323","PDT / PSL / PL / PMN / PTC / PSB / PV",
"Vereador","PI","ANGICAL DO PIAUI","PDT","12345","CLEVALDO FERREIRA SOARES","137","Suplente","2.768","PDT / PSL / PL / PMN / PTC / PSB / PV",
"Vereador","PI","ANGICAL DO PIAUI","PSDB","45777","CONCEIÇÃO DE MARIA PEREIRA DE ALENCAR","10","Não eleito","0.202","PT / PSC / PPS / PSDB",
"Vereador","PI","ANGICAL DO PIAUI","PMDB","15123","DEUSELINA MENDES DE MORAIS SOUSA","76","Suplente","1.535","PP / PTB / PMDB / PTN / PCB / PFL / PRTB",
"Vereador","PI","ANGICAL DO PIAUI","PFL","25611","ESMERALDO DA PAIXÃO FERREIRA NUNES","258","Eleito","5.212","PP / PTB / PMDB / PTN / PCB / PFL / PRTB",
"Vereador","PI","ANGICAL DO PIAUI","PPS","23456","EVERALDO PEREIRA DA SILVA","13","Não eleito","0.263","PT / PSC / PPS / PSDB",
"Vereador","PI","ANGICAL DO PIAUI","PDT","12111","FIRMINO BARBOSA LEAL NETO","159","Suplente","3.212","PDT / PSL / PL / PMN / PTC / PSB / PV",
"Vereador","PI","ANGICAL DO PIAUI","PSDB","45555","FRANCISCA JOELMA GOMES DA COSTA SOUSA","27","Não eleito","0.545","PT / PSC / PPS / PSDB",
"Vereador","PI","ANGICAL DO PIAUI","PTN","19222","FRANCISCA NUNES DO NASCIMENTO","40","Suplente","0.808","PP / PTB / PMDB / PTN / PCB / PFL / PRTB",
"Vereador","PI","ANGICAL DO PIAUI","PDT","12356","FRANCISCO DE ASSIS BARBOSA DE ALENCAR","111","Suplente","2.242","PDT / PSL / PL / PMN / PTC / PSB / PV",
"Vereador","PI","ANGICAL DO PIAUI","PTB","14611","FRANCISCO PEREIRA DA SILVA","210","Suplente","4.242","PP / PTB / PMDB / PTN / PCB / PFL / PRTB",
"Vereador","PI","ANGICAL DO PIAUI","PMDB","15444","FRANCISCO ROMÃO DA SILVA","22","Suplente","0.444","PP / PTB / PMDB / PTN / PCB / PFL / PRTB",
"Vereador","PI","ANGICAL DO PIAUI","PMDB","15555","FREDSON PEREIRA LEAL","150","Suplente","3.030","PP / PTB / PMDB / PTN / PCB / PFL / PRTB",
"Vereador","PI","ANGICAL DO PIAUI","PSB","40444","GENIVAL DE JESUS LIMA","206","Eleito","4.162","PDT / PSL / PL / PMN / PTC / PSB / PV",
"Vereador","PI","ANGICAL DO PIAUI","PT","13567","GILBERTO FERNANDES XAVIER","35","Não eleito","0.707","PT / PSC / PPS / PSDB",
"Vereador","PI","ANGICAL DO PIAUI","PT","13610","GONÇALO DA SILVA CRUZ","16","Não eleito","0.323","PT / PSC / PPS / PSDB",
"Vereador","PI","ANGICAL DO PIAUI","PTB","14567","HELDER JORDÃO SOUSA GOMES","129","Suplente","2.606","PP / PTB / PMDB / PTN / PCB / PFL / PRTB",
"Vereador","PI","ANGICAL DO PIAUI","PSL","17777","HUMBERTO DE SOUSA SANTOS","106","Suplente","2.141","PDT / PSL / PL / PMN / PTC / PSB / PV",
"Vereador","PI","BENEDITINOS","PPS","23123","ALBINO RODRIGUES DE SOUSA","51","Suplente","0.797","PDT / PL / PPS / PMN / PV / PSDB",
"Vereador","PI","BENEDITINOS","PP","11500","ANTONIO JOSÉ DOS SANTOS","51","Suplente","0.797","PP / PTB / PMDB",
"Vereador","PI","BENEDITINOS","PPS","23456","ANTONIO LUIS PEREIRA DA SILVA","131","Suplente","2.048","PDT / PL / PPS / PMN / PV / PSDB",
"Vereador","PI","BENEDITINOS","PC do B","65123","ANTONIO ORIZAN VIEIRA DE CARVALHO","40","Não eleito","0.625","PT / PC do B",
"Vereador","PI","BENEDITINOS","PSDB","45000","ASTROGILDO PEREIRA LIMEIRA","47","Suplente","0.735","PDT / PL / PPS / PMN / PV / PSDB",
"Vereador","PI","BENEDITINOS","PP","11111","CELSO DE AREA LEÃO COSTA","0","Renúncia/falecimento/cassação antes da eleição","0.000","PP / PTB / PMDB",
"Vereador","PI","BENEDITINOS","PT","13111","CICERO ALVES DA SILVA","54","Não eleito","0.844","PT / PC do B",
"Vereador","PI","BENEDITINOS","PT","13222","DEUSDETE LIBANIO DE MESQUITA","17","Não eleito","0.266","PT / PC do B",
"Vereador","PI","BENEDITINOS","PSB","40000","DOMINGOS PINHEIRO RIBEIRO","161","Suplente","2.516","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PC do B","65125","EDMILSON PESSOA LIBANIO","62","Não eleito","0.969","PT / PC do B",
"Vereador","PI","BENEDITINOS","PSB","40123","ELBERT LOPES DA SILVA","142","Suplente","2.219","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PC do B","65789","ERISLENE DOS REIS MONTEIRO","42","Não eleito","0.656","PT / PC do B",
"Vereador","PI","BENEDITINOS","PC do B","65114","FRANCISCA ALVES PESSOA","11","Não eleito","0.172","PT / PC do B",
"Vereador","PI","BENEDITINOS","PFL","25602","FRANCISCA RIBEIRO DA COSTA SANTOS","478","Eleito","7.471","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PFL","25604","FRANCISCO ALVES DE ABREU","228","Eleito","3.564","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PFL","25000","FRANCISCO EDVAL CAMPELO ALMENDRA JUNIOR","307","Eleito","4.798","PSL / PFL / PSB",
