Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (PARANA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:59:54  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","PR","ANDIRA","PFL","25789","BAPTISTA MATSUDA","33","Suplente","0.238","PPS / PFL / PSB",
"Vereador","PR","ANDIRA","PSL","17171","BENEDITO SOUZA DA SILVA","230","Suplente","1.661","PSDB / PSL",
"Vereador","PR","ANDIRA","PL","22222","CARLOS ALBERTO RABITO","89","Suplente","0.643","PDT / PL",
"Vereador","PR","ANDIRA","PSDB","45321","CARLOS DAVID","220","Suplente","1.588","PSDB / PSL",
"Vereador","PR","ANDIRA","PFL","25555","CARLOS ROBERTO DE SANTANA","92","Suplente","0.664","PPS / PFL / PSB",
"Vereador","PR","ANDIRA","PT","13000","CELIO DE CASTRO","165","Não eleito","1.191","(sem coligação)",
"Vereador","PR","ANDIRA","PT","13013","CELSO DE OLIVEIRA","100","Não eleito","0.722","(sem coligação)",
"Vereador","PR","ANDIRA","PSB","40444","CELSO TOZZI","286","Suplente","2.065","PPS / PFL / PSB",
"Vereador","PR","ANDIRA","PMDB","15151","CLAUDINEIA VELTRINI ABBOUD","47","Suplente","0.339","PMDB / PSC",
"Vereador","PR","ANDIRA","PFL","25123","CLAUDIO CLEBER DRAGÃO","63","Suplente","0.455","PPS / PFL / PSB",
"Vereador","PR","ANDIRA","PMDB","15051","CLEBER CEZAR DE OLIVEIRA","444","Eleito","3.206","PMDB / PSC",
"Vereador","PR","ANDIRA","PFL","25369","CLEUSA FERREIRA DA SILVA GUIMARAES","293","Eleito","2.116","PPS / PFL / PSB",
"Vereador","PR","ANDIRA","PP","11260","CLEUSA MARIA CARDOSO","15","Não eleito","0.108","PP / PTB / PV",
"Vereador","PR","ANDIRA","PSDB","45555","CLEUZA RINALDI","29","Suplente","0.209","PSDB / PSL",
"Vereador","PR","ANDIRA","PSC","20123","CREUSA APARECIDA DEL PADRE CALIXTO","45","Suplente","0.325","PMDB / PSC",
"Vereador","PR","ANDIRA","PSDB","45678","CREUZA PERUGINI GALDINO","318","Eleito por Média","2.296","PSDB / PSL",
"Vereador","PR","ANDIRA","PDT","12251","DAVID LEMANA","80","Suplente","0.578","PDT / PL",
"Vereador","PR","ANDIRA","PSDB","45621","DAVIS BARBOSA","75","Suplente","0.542","PSDB / PSL",
"Vereador","PR","ANDIRA","PFL","25321","DEIZI APARECIDA DE MARCHI AMARAL","96","Suplente","0.693","PPS / PFL / PSB",
"Vereador","PR","ANDIRA","PV","43222","EDINALDO RIBEIRO","49","Não eleito","0.354","PP / PTB / PV",
"Vereador","PR","ANDIRA","PMDB","15456","EDVALDO BATISTA FLAUZINO","154","Suplente","1.112","PMDB / PSC",
"Vereador","PR","ANDIRA","PT","13678","ELIANE APARECIDA DE ARAUJO","14","Não eleito","0.101","(sem coligação)",
"Vereador","PR","ANDIRA","PDT","12555","ELISVALDO TENÓRIO DE ALBUQUERQUE","148","Suplente","1.069","PDT / PL",
"Vereador","PR","ANDIRA","PDT","12344","ERCÍLIA APARECIDA TITONELI DA COSTA","156","Suplente","1.126","PDT / PL",
"Vereador","PR","ANDIRA","PL","22111","FRANCISCO GUEDES DOS SANTOS","211","Suplente","1.523","PDT / PL",
"Vereador","PR","ANDIRA","PSDB","45640","GILMAR LEONARDO","496","Eleito","3.581","PSDB / PSL",
"Vereador","PR","ANDIRA","PMDB","15444","GILMAR ROBERTO DE REZENDE","380","Eleito por Média","2.744","PMDB / PSC",
"Vereador","PR","ANDIRA","PFL","25800","HAMILTON DO CARMO","289","Eleito por Média","2.087","PPS / PFL / PSB",
"Vereador","PR","ANDIRA","PFL","25456","HELVIS JOAO PAPINI","166","Suplente","1.199","PPS / PFL / PSB",
"Vereador","PR","ANDIRA","PP","11234","HERMES VALENTIM","56","Não eleito","0.404","PP / PTB / PV",
"Vereador","PR","ANDIRA","PTB","14123","IRENE BRUNO JACINTO","17","Não eleito","0.123","PP / PTB / PV",
"Vereador","PR","ANDIRA","PSDB","45369","IRMA XAVIER MOREIRA","154","Suplente","1.112","PSDB / PSL",
"Vereador","PR","ANDIRA","PMDB","15111","JANETE APARECIDA PEREIRA DIAS","45","Suplente","0.325","PMDB / PSC",
"Vereador","PR","ANDIRA","PT","13456","JOAO ANISIO COELHO SABARA","142","Não eleito","1.025","(sem coligação)",
"Vereador","PR","ANDIRA","PSDB","45612","JOÃO BATISTA TARDELI JUNIOR","108","Suplente","0.780","PSDB / PSL",
"Vereador","PR","ANDIRA","PL","22333","JOÃO MITROVINI FILHO","336","Suplente","2.426","PDT / PL",
"Vereador","PR","ANDIRA","PMDB","15123","JOÃO RODRIGUES DE CARVALHO","110","Suplente","0.794","PMDB / PSC",
"Vereador","PR","ARAPOTI","PFL","25110","VALDECI BARBARINI","152","Suplente","1.107","PPS / PFL / PSB",
"Vereador","PR","ARAPOTI","PSDB","45123","VALDERI MIGUEL BRIZOLA","94","Suplente","0.685","PDT / PSDB",
"Vereador","PR","ARAPOTI","PSDB","45458","VANDERLEI CLAUDINO","209","Suplente","1.522","PDT / PSDB",
"Vereador","PR","ARAPOTI","PT","13135","VERA LUCIA SANTOS DE OLIVEIRA","23","Suplente","0.168","PT / PMDB",
"Vereador","PR","ARAPOTI","PT","13123","VICENTE RAIMUNDO LAURITO","55","Suplente","0.401","PT / PMDB",
"Vereador","PR","ARAPOTI","PHS","31555","WIM KOOPMAN","1,123","Eleito","8.179","PL / PHS",
"Vereador","PR","ARAPUA","PRP","44567","ADÃO MARTINS TOLEDO","33","Suplente","1.196","PRP / PSDB",
"Vereador","PR","ARAPUA","PMDB","15789","ADEMIR APARECIDO DE SOUZA","11","Suplente","0.399","PP / PT / PMDB / PPS",
"Vereador","PR","ARAPUA","PTB","14567","ALTINO PEREIRA DOS SANTOS","18","Suplente","0.652","PDT / PTB / PL / PFL",
"Vereador","PR","ARAPUA","PP","11478","ANTENOR BRISOLA","101","Eleito por Média","3.661","PP / PT / PMDB / PPS",
"Vereador","PR","ARAPUA","PSDB","45555","ANTONIO CAVALHEIRO","14","Suplente","0.507","PRP / PSDB",
"Vereador","PR","ARAPUA","PRP","44620","APARECIDO SERGIO MARINS DOS SANTOS","17","Suplente","0.616","PRP / PSDB",
"Vereador","PR","ARAPUA","PRP","44444","CARLOS CESAR VIEIRA","52","Suplente","1.885","PRP / PSDB",
"Vereador","PR","ARAPUA","PSDB","45120","CLAUDEMIR PEREIRA FEMINO","5","Suplente","0.181","PRP / PSDB",
"Vereador","PR","ARAPUA","PAN","26652","CLAUDIO JUSTINO DO NASCIMENTO","34","Suplente","1.232","PSL / PAN",
"Vereador","PR","ARAPUA","PAN","26666","CLEIDE COSTA DE MEDEIROS","118","Eleito por Média","4.277","PSL / PAN",
"Vereador","PR","ARAPUA","PTB","14123","CLEIRE LEITE FERREIRA SANTANA","34","Suplente","1.232","PDT / PTB / PL / PFL",
"Vereador","PR","ARAPUA","PTB","14100","DANIEL CROZETTA","156","Eleito por Média","5.654","PDT / PTB / PL / PFL",
"Vereador","PR","ARAPUA","PMDB","15985","EDEMIR DAMASIO CARDOSO","95","Suplente","3.443","PP / PT / PMDB / PPS",
"Vereador","PR","ARAPUA","PAN","26147","ELIAS FAUST LUCIANO","100","Suplente","3.625","PSL / PAN",
"Vereador","PR","ARAPUA","PSL","17777","FRANCISCO SCHMITZ","28","Suplente","1.015","PSL / PAN",
