Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (RIO DE JANEIRO) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:00:15  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","RJ","ANGRA DOS REIS","PT","13400","IRENE REGINA FONSECA","143","Suplente","0.181","PT / PC do B",
"Vereador","RJ","ANGRA DOS REIS","PV","43611","IRENO MOTTA","23","Não eleito","0.029","(sem coligação)",
"Vereador","RJ","ANGRA DOS REIS","PT do B","70888","JACIRA DE AVILLEZ VIEIRA","6","Não eleito","0.008","PDT / PT do B",
"Vereador","RJ","ANGRA DOS REIS","PTB","14007","JAN CARLOS DE ALMEIDA","453","Não eleito","0.575","PTB / PPS / PSB / PRP",
"Vereador","RJ","ANGRA DOS REIS","PL","22654","JOÃO ANÍZIO DA SILVA","102","Suplente","0.129","PSC / PL / PMN",
"Vereador","RJ","ANGRA DOS REIS","PSL","17234","JOÃO BATISTA DA COSTA","324","Suplente","0.411","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PT do B","70777","JOÃO BATISTA DA SILVA FILHO","38","Não eleito","0.048","PDT / PT do B",
"Vereador","RJ","ANGRA DOS REIS","PT do B","70000","JOÃO RODRIGUES ESCOBAR","59","Não eleito","0.075","PDT / PT do B",
"Vereador","RJ","ANGRA DOS REIS","PT","13600","JOCEMAR VASCONCELOS  TEODOSIO","111","Suplente","0.141","PT / PC do B",
"Vereador","RJ","ANGRA DOS REIS","PV","43623","JONAS DE OLIVEIRA","33","Não eleito","0.042","(sem coligação)",
"Vereador","RJ","ANGRA DOS REIS","PMDB","15611","JORGE CLÍMACO MARIANO","519","Suplente","0.658","(sem coligação)",
"Vereador","RJ","ANGRA DOS REIS","PSC","20123","JORGE DECCACHE","110","Suplente","0.140","PSC / PL / PMN",
"Vereador","RJ","ANGRA DOS REIS","PFL","25610","JORGE GOMES DE OLIVEIRA","94","Suplente","0.119","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PDT","12210","JORGE LUIS PEREIRA","175","Não eleito","0.222","PDT / PT do B",
"Vereador","RJ","ANGRA DOS REIS","PP","11613","JORGE RENATO PEREIRA","181","Suplente","0.230","PP / PSDC",
"Vereador","RJ","ANGRA DOS REIS","PT","13234","JOSE ANTONIO SOUZA DOS REMEDIOS","325","Suplente","0.412","PT / PC do B",
"Vereador","RJ","ANGRA DOS REIS","PL","22620","JOSE CARLOS DA GUIA","381","Suplente","0.483","PSC / PL / PMN",
"Vereador","RJ","ANGRA DOS REIS","PMDB","15610","JOSÉ CARLOS GABRIEL","1,455","Suplente","1.846","(sem coligação)",
"Vereador","RJ","ANGRA DOS REIS","PRP","44504","JOSE CARLOS PEDROSA","24","Não eleito","0.030","PTB / PPS / PSB / PRP",
"Vereador","RJ","ANGRA DOS REIS","PT","13033","JOSÉ CLÁUDIO FREITAS","167","Suplente","0.212","PT / PC do B",
"Vereador","RJ","ANGRA DOS REIS","PP","11612","JOSE DE SOUZA CRISPIM","369","Suplente","0.468","PP / PSDC",
"Vereador","RJ","ANGRA DOS REIS","PP","11611","JOSE ESSIOMAR GOMES DA SILVA","2,854","Eleito","3.620","PP / PSDC",
"Vereador","RJ","ANGRA DOS REIS","PMDB","15456","JOSE MANOEL DE OLIVEIRA","1,550","Suplente","1.966","(sem coligação)",
"Vereador","RJ","ANGRA DOS REIS","PL","22622","JOSÉ MARIA JUSTINO","2,124","Eleito","2.694","PSC / PL / PMN",
"Vereador","RJ","ANGRA DOS REIS","PT","13703","JOSÉ MILGUEL FILHO","285","Suplente","0.361","PT / PC do B",
"Vereador","RJ","ANGRA DOS REIS","PSL","17223","JOSUÉ FRANCISCO LOTÉRIO","483","Suplente","0.613","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PSDB","45045","LAUDEIR ALVES","273","Não eleito","0.346","(sem coligação)",
"Vereador","RJ","ANGRA DOS REIS","PSL","17217","LEANDRO CORREA DA SILVA","1,252","Suplente","1.588","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PT","13001","LECY MARIA DO NASCIMENTO ROSA","54","Suplente","0.068","PT / PC do B",
"Vereador","RJ","ANGRA DOS REIS","PSL","17265","LENIEL JOSE ONÓRIO","758","Suplente","0.961","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PSDC","27227","LOURENZETH VIEIRA DA SILVA","22","Suplente","0.028","PP / PSDC",
"Vereador","RJ","ANGRA DOS REIS","PPS","23456","LUCIANO ANDRADE TEIXEIRA","144","Não eleito","0.183","PTB / PPS / PSB / PRP",
"Vereador","RJ","ANGRA DOS REIS","PT do B","70171","LUCIANO SANTOS ASSUMPÇÃO","12","Não eleito","0.015","PDT / PT do B",
"Vereador","RJ","ANGRA DOS REIS","PSDB","45001","LUIS CARLOS DOS SANTOS","189","Não eleito","0.240","(sem coligação)",
"Vereador","RJ","ANGRA DOS REIS","PSDB","45010","LUIS CLÁUDIO DE PAULA","158","Não eleito","0.200","(sem coligação)",
"Vereador","RJ","ANGRA DOS REIS","PV","43123","LUIS GUEDES DE CASTILHO FILHO","165","Não eleito","0.209","(sem coligação)",
"Vereador","RJ","ARMACAO DE BUZIOS","PSB","40623","RUBENS DA COSTA LOPES FILHO","55","Não eleito","0.408","PFL / PSB / PSDB",
"Vereador","RJ","ARMACAO DE BUZIOS","PSDC","27680","SAMUEL FRANCISCO RODRIGUES FILHO","89","Não eleito","0.661","PSC / PSDC / PHS",
"Vereador","RJ","ARMACAO DE BUZIOS","PT","13123","SANDRA EULALIA LINS NETO","7","Suplente","0.052","PT / PMDB / PAN",
"Vereador","RJ","ARMACAO DE BUZIOS","PSB","40622","SERGIO ELY ROCHA DA SILVA","99","Não eleito","0.735","PFL / PSB / PSDB",
"Vereador","RJ","ARMACAO DE BUZIOS","PSDC","27727","SERGIO FERREIRA DOS SANTOS","86","Não eleito","0.638","PSC / PSDC / PHS",
"Vereador","RJ","ARMACAO DE BUZIOS","PFL","25222","SHIRLEY DOS REIS CAMARA","74","Não eleito","0.549","PFL / PSB / PSDB",
"Vereador","RJ","ARMACAO DE BUZIOS","PMN","33688","SILAS ANTONIO DA SILVA","6","Suplente","0.045","PTB / PMN",
"Vereador","RJ","ARMACAO DE BUZIOS","PTN","19380","TEODORO TARGINO MOTA","135","Não eleito","1.002","PTN / PRONA",
"Vereador","RJ","ARMACAO DE BUZIOS","PDT","12007","URIEL DA COSTA PEREIRA","354","Eleito","2.628","PDT / PL / PV",
"Vereador","RJ","ARMACAO DE BUZIOS","PTC","36110","VALMIR DOS SANTOS BRITO","35","Não eleito","0.260","PSL / PTC / PRP / PT do B",
"Vereador","RJ","ARMACAO DE BUZIOS","PMDB","15698","VALMIR MARTINS DE CARVALHO","416","Suplente","3.088","PT / PMDB / PAN",
"Vereador","RJ","ARMACAO DE BUZIOS","PL","22333","VALTER GOMES BORGES","106","Suplente","0.787","PDT / PL / PV",
"Vereador","RJ","ARMACAO DE BUZIOS","PMDB","15626","VICENTE DE PAULA DOS SANTOS","129","Suplente","0.958","PT / PMDB / PAN",
"Vereador","RJ","ARMACAO DE BUZIOS","PHS","31231","VICTOR DE ALMEIDA DOS SANTOS","47","Não eleito","0.349","PSC / PSDC / PHS",
"Vereador","RJ","ARMACAO DE BUZIOS","PL","22123","VILSON SANTOS DA SILVA","203","Suplente","1.507","PDT / PL / PV",
"Vereador","RJ","ARMACAO DE BUZIOS","PT","13777","WAGNER CATALDO BOUGLEUX","34","Suplente","0.252","PT / PMDB / PAN",
"Vereador","RJ","ARRAIAL DO CABO","PAN","26888","ADEMIR GUEDES DE ARAUJO","3","Não eleito","0.017","(sem coligação)",
"Vereador","RJ","ARRAIAL DO CABO","PTC","36222","ADILSON DE OLIVEIRA GONÇALVES","131","Não eleito","0.737","PTC / PSDB",
"Vereador","RJ","ARRAIAL DO CABO","PMDB","15605","ADRIANO CARDOSO CUNHA","145","Não eleito","0.816","PMDB / PSL",
"Vereador","RJ","ARRAIAL DO CABO","PL","22533","ALCIR FERREIRA CEZAR","31","Não eleito","0.175","PSC / PL / PSDC",
"Vereador","RJ","ARRAIAL DO CABO","PTC","36636","ALDO FERREIRA FELIPPE","198","Não eleito","1.115","PTC / PSDB",
"Vereador","RJ","ARRAIAL DO CABO","PMDB","15000","ALEXANDRE BAIMA LUCIO DA SILVA","282","Não eleito","1.587","PMDB / PSL",
"Vereador","RJ","ARRAIAL DO CABO","PDT","12678","ALMIR DOS SANTOS TEIXEIRA","534","Eleito","3.006","PDT / PT",
"Vereador","RJ","ARRAIAL DO CABO","PTC","36600","ALTAIR RANGEL DA SILVA","113","Não eleito","0.636","PTC / PSDB",
"Vereador","RJ","ARRAIAL DO CABO","PSB","40333","AMARILDO ALVES DA SILVA","20","Não eleito","0.113","PFL / PSB / PT do B",
"Vereador","RJ","ARRAIAL DO CABO","PSC","20605","AMARO BARRETO BRITO","45","Não eleito","0.253","PSC / PL / PSDC",
"Vereador","RJ","ARRAIAL DO CABO","PC do B","65555","ANGELO DE MACEDO ALVES","652","Eleito","3.670","PPS / PRONA / PC do B",
"Vereador","RJ","ARRAIAL DO CABO","PRONA","56145","ANTONIO JOSÉ VIEIRA FURTADO","391","Suplente","2.201","PPS / PRONA / PC do B",
"Vereador","RJ","ARRAIAL DO CABO","PDT","12612","ARISTO PACHECO JUNIOR","210","Suplente","1.182","PDT / PT",
"Vereador","RJ","ARRAIAL DO CABO","PFL","25555","ARIVALDO CAVALCANTI FILHO","321","Não eleito","1.807","PFL / PSB / PT do B",
"Vereador","RJ","ANGRA DOS REIS","PL","22615","LUIZ CARLOS LOPES DE ARAUJO","1,236","Suplente","1.568","PSC / PL / PMN",
"Vereador","RJ","ANGRA DOS REIS","PSL","17220","MANOEL CRUZ PARENTE","2,177","Suplente","2.761","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PP","11608","MANOEL GONÇALVES FILHO","918","Suplente","1.164","PP / PSDC",
"Vereador","RJ","ANGRA DOS REIS","PT do B","70034","MANOEL PEREIRA RAMOS","134","Não eleito","0.170","PDT / PT do B",
"Vereador","RJ","ANGRA DOS REIS","PTC","36123","MARCÉLIO BARRETO DA ROCHA","132","Suplente","0.167","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PPS","23623","MARCELO HORANO SAMPAIHO","71","Não eleito","0.090","PTB / PPS / PSB / PRP",
"Vereador","RJ","ANGRA DOS REIS","PSB","40001","MARCIA BARBOZA  DE REZENDE","68","Não eleito","0.086","PTB / PPS / PSB / PRP",
"Vereador","RJ","ANGRA DOS REIS","PFL","25606","MARCO AURÉLIO VARGAS FRANCISCO","2,411","Eleito por Média","3.058","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PSDB","45665","MARCOS MOURA DOS ANJOS","36","Não eleito","0.046","(sem coligação)",
"Vereador","RJ","ANGRA DOS REIS","PSL","17209","MARENICE ALVES LACERDA","29","Suplente","0.037","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PMN","33615","MARIA ANTONIA SILVA DO CARMO","217","Suplente","0.275","PSC / PL / PMN",
"Vereador","RJ","ANGRA DOS REIS","PDT","12012","MARIA CRISTINA RIPPER NOGUEIRA","82","Não eleito","0.104","PDT / PT do B",
"Vereador","RJ","ANGRA DOS REIS","PTC","36789","MARIA DA CONCEIÇÃO","322","Suplente","0.408","PSL / PFL / PTC",
"Vereador","RJ","ANGRA DOS REIS","PT","13456","MARIA DA CONCEIÇÃO RABHA DE SOUZA","1,464","Eleito por Média","1.857","PT / PC do B",
"Vereador","RJ","ANGRA DOS REIS","PL","22624","MARIA DO CARMO PIMENTA CARNEIRO","151","Suplente","0.192","PSC / PL / PMN",
"Vereador","RJ","ANGRA DOS REIS","PP","11655","MARIA ELICY TENORIO DE CASTRO","195","Suplente","0.247","PP / PSDC",
"Vereador","RJ","ANGRA DOS REIS","PL","22616","MARIA JOSE CLARA GOMES DE OLIVEIRA","304","Suplente","0.386","PSC / PL / PMN",
"Vereador","RJ","ANGRA DOS REIS","PC do B","65111","MARIA JOSÉ DOS SANTOS SILVA","39","Suplente","0.049","PT / PC do B",
"Vereador","RJ","ANGRA DOS REIS","PL","22609","MARIA LUIZA DE SOUZA RIQUEZA","142","Suplente","0.180","PSC / PL / PMN",
"Vereador","RJ","ANGRA DOS REIS","PV","43043","MARIO DA FRANCA MATOS FILHO","34","Não eleito","0.043","(sem coligação)",
