Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (RONDONIA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:00:58  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","RO","ALTA FLORESTA DO OESTE","PT","13130","FRANCISCO LOPES","234","Suplente","1.677","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PFL","25605","ILTON JOSE DOS REIS","471","Eleito","3.376","PDT / PTB / PFL",
"Vereador","RO","ALTA FLORESTA DO OESTE","PT","13113","JARLEI BATISTA MOREIRA","359","Suplente","2.573","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PSDB","45612","JOSE ANTONIO LUCENA","54","Suplente","0.387","PV / PSDB",
"Vereador","RO","ALTA FLORESTA DO OESTE","PDT","12345","JOSE LIBERATO DE LUCENA","317","Suplente","2.272","PDT / PTB / PFL",
"Vereador","RO","ALTA FLORESTA DO OESTE","PMDB","15175","JOSE XAVIER VIEIRA","205","Suplente","1.470","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PT","13111","JUVENAL FIEL DOS SANTOS FILHO","117","Suplente","0.839","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PMDB","15222","LUIZ CARLOS DE SOUZA","168","Suplente","1.204","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PMDB","15133","LUIZ MAURO CARDOSO","717","Eleito","5.140","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PDT","12369","MARCO ANTONIO SESTARI VILAS BOAS","211","Suplente","1.513","PDT / PTB / PFL",
"Vereador","RO","ALTA FLORESTA DO OESTE","PSDB","45111","MARIA APARECIDA LUCENA","219","Suplente","1.570","PV / PSDB",
"Vereador","RO","ALTA FLORESTA DO OESTE","PV","43321","MARIA DE LOURDES INACIO DA SILVA","107","Suplente","0.767","PV / PSDB",
"Vereador","RO","ALTA FLORESTA DO OESTE","PMDB","15165","MATHIAS LEMES GONÇALVES","76","Suplente","0.545","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PFL","25222","MAURILIO FORTUNATO","457","Suplente","3.276","PDT / PTB / PFL",
"Vereador","RO","ALTA FLORESTA DO OESTE","PSDB","45641","MERY EURADIA SILVA CABRAL","200","Suplente","1.434","PV / PSDB",
"Vereador","RO","ALTA FLORESTA DO OESTE","PT","13789","MIRIAN MOVIO","54","Suplente","0.387","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PV","43123","MOACIR SOSTER","381","Suplente","2.731","PV / PSDB",
"Vereador","RO","ALTA FLORESTA DO OESTE","PSDB","45678","NELSON ALVES DA SILVA","409","Suplente","2.932","PV / PSDB",
"Vereador","RO","ALTA FLORESTA DO OESTE","PMDB","15111","NIVALDO DINIZ","600","Eleito","4.301","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PSDB","45643","ODETE PANCIERI ZANDONADI","238","Suplente","1.706","PV / PSDB",
"Vereador","RO","ALTA FLORESTA DO OESTE","PTB","14630","PAULO ROBERTO","272","Suplente","1.950","PDT / PTB / PFL",
"Vereador","RO","ALTA FLORESTA DO OESTE","PDT","12148","PEDRO CELESTINO","247","Suplente","1.771","PDT / PTB / PFL",
"Vereador","RO","ALTA FLORESTA DO OESTE","PT","13613","RAFAEL OLIVEIRA DOS SANTOS","268","Suplente","1.921","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PT","13600","ROGERIO FREZZE DA SILVA","338","Suplente","2.423","PT / PMDB / PP",
"Vereador","RO","ALTA FLORESTA DO OESTE","PSDB","45456","SAMUEL GOMES DE AGUIAR","187","Suplente","1.341","PV / PSDB",
"Vereador","RO","ALTA FLORESTA DO OESTE","PFL","25000","SIDNEI ALVES DE OLIVEIRA","214","Suplente","1.534","PDT / PTB / PFL",
"Vereador","RO","ALTA FLORESTA DO OESTE","PSDB","45345","SILESIO DE VARGAS CORREA","475","Eleito por Média","3.405","PV / PSDB",
"Vereador","RO","ALTA FLORESTA DO OESTE","PTB","14123","TANUZIO GONÇALVES DE OLIVEIRA","550","Eleito","3.943","PDT / PTB / PFL",
"Vereador","RO","ALTA FLORESTA DO OESTE","PP","11111","TEREZINHA FOGAÇA SOBRINHA GONÇALVES","140","Suplente","1.004","PT / PMDB / PP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSB","40612","ADILSON INACIO","64","Suplente","1.109","PMDB / PSB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PL","22100","ADONIAS BATISTA","31","Suplente","0.537","PTB / PL / PRP",
"Vereador","RO","CACOAL","PMDB","15688","EXPEDITO ALVES DE MACEDO","327","Suplente","0.842","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PSB","40456","FABIULA DELFINO","26","Suplente","0.067","PT / PSB",
"Vereador","RO","CACOAL","PTB","14789","FRANCISCO DE ASSIS DE LIMA","957","Suplente","2.463","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PTB","14607","FRANCISCO JORGE DE SENA CAMPOS","237","Suplente","0.610","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PSDB","45555","FRANCISCO NÓBREGA DA SILVA FILHO","1,375","Eleito","3.539","PDT / PSDB",
"Vereador","RO","CACOAL","PT","13613","FURTUNATO FOLLI NETO","699","Suplente","1.799","PT / PSB",
"Vereador","RO","CACOAL","PMDB","15690","GLAUCIONE MARIA RODRIGUES NERI","3,268","Eleito","8.412","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PMDB","15780","HILÁRIO DE FREITAS ALVES","288","Suplente","0.741","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PTB","14300","ISMAILDO GALVÃO SAMPAIO","363","Suplente","0.934","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PT","13113","IZA CELESTI SEVERINO BELLO","113","Suplente","0.291","PT / PSB",
"Vereador","RO","CACOAL","PMN","33123","JOADIR ALVES","253","Suplente","0.651","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PV","43433","JOÃO LINHANDRO MELO","162","Suplente","0.417","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PT","13555","JOSE ITABIRA SURUI","316","Suplente","0.813","PT / PSB",
"Vereador","RO","CACOAL","PT","13456","LUCINDO SOTELLI CARNEIRO","710","Suplente","1.828","PT / PSB",
"Vereador","RO","CACOAL","PDT","12789","LUIZ ANTONIO BEDIN","113","Suplente","0.291","PDT / PSDB",
"Vereador","RO","CACOAL","PSDB","45789","LUIZ CARLOS DE SOUZA PINTO","855","Eleito por Média","2.201","PDT / PSDB",
"Vereador","RO","CACOAL","PP","11456","MANOEL FERREIRA DA SILVA","195","Suplente","0.502","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PP","11234","MARCOS LUIZ DE CARVALHO","880","Suplente","2.265","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PDT","12369","MARIA BOTELHO RODRIGUES","195","Suplente","0.502","PDT / PSDB",
"Vereador","RO","CACOAL","PMDB","15123","MARIA DE LOURDES KEMPER DO PRADO","1,074","Suplente","2.764","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PDT","12456","MAURA APARECIDA SILVEIRA PRADA","114","Suplente","0.293","PDT / PSDB",
"Vereador","RO","CACOAL","PSDB","45451","MAURO CONSUELO SALES DE SOUSA","274","Suplente","0.705","PDT / PSDB",
"Vereador","RO","CACOAL","PMDB","15789","MILTON   GOMES ARMONDES","428","Suplente","1.102","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PSDB","45456","MIRIAM CRISTINA ONOFRE DOS SANTOS","0","Renúncia/falecimento/cassação antes da eleição","0.000","PDT / PSDB",
"Vereador","RO","CACOAL","PT","13789","MONICA MIRIAM BARROS MORAIS","198","Suplente","0.510","PT / PSB",
"Vereador","RO","CACOAL","PDT","12111","MÔNICA NASCIMENTO DIAS DE OLIVEIRA","42","Suplente","0.108","PDT / PSDB",
"Vereador","RO","CACOAL","PTB","14100","NARLUCE MARIA GOIS SOUTO","347","Suplente","0.893","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PMDB","15580","NILCEIA FREDERICO DEO DE FREITAS","100","Suplente","0.257","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PT","13258","PAULINO FAVORETTI","271","Suplente","0.698","PT / PSB",
"Vereador","RO","CACOAL","PTB","14200","PAULO OLIVEIRA DE PAULA","1,176","Eleito","3.027","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PP","11789","PEDRO ANTÔNIO FERRAZIN","1,109","Eleito por Média","2.855","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PMDB","15200","PEDRO PATRICIO RODRIGUES","362","Suplente","0.932","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PSB","40130","RAIMUNDO JUNIOR SARAIVA PINHEIRO","113","Suplente","0.291","PT / PSB",
"Vereador","RO","CACOAL","PMDB","15678","RAQUEL DUARTE CARVALHO","1,498","Eleito","3.856","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PSDB","45580","SAULO CARLOS DA SILVA","180","Suplente","0.463","PDT / PSDB",
"Vereador","RO","CORUMBIARA","PMDB","15679","JOSÉ GUILHERME SOBRINHO","3","Suplente","0.063","PRP / PMDB / PFL",
"Vereador","RO","CORUMBIARA","PMDB","15610","JOSÉ OLIVEIRA DOS SANTOS","81","Suplente","1.708","PRP / PMDB / PFL",
"Vereador","RO","CORUMBIARA","PSL","17021","JUAREZ ALVES MARTINS","70","Suplente","1.476","PSL / PL",
"Vereador","RO","CORUMBIARA","PSL","17012","JUAREZ PEREIRA DA SILVA","142","Suplente","2.995","PSL / PL",
"Vereador","RO","CORUMBIARA","PSL","17123","LAUDONOR RIBEIRO DA SILVA","96","Suplente","2.024","PSL / PL",
"Vereador","RO","CORUMBIARA","PSB","40010","LEONARDO FRANCISCO DE SOUZA","0","Não eleito","0.000","(sem coligação)",
"Vereador","RO","CORUMBIARA","PT","13600","MALVINA MARIA DA SILVA","6","Suplente","0.127","(sem coligação)",
"Vereador","RO","CORUMBIARA","PSDB","45789","MARIA APARECIDA MACHADO DE SOUZA","20","Suplente","0.422","PP / PSDB",
"Vereador","RO","CORUMBIARA","PSB","40040","NANCI MARIA PIOVOVAR","8","Não eleito","0.169","(sem coligação)",
"Vereador","RO","CORUMBIARA","PPS","23400","NATALINO RODRIGUES","159","Eleito por Média","3.353","PTB / PPS",
"Vereador","RO","CORUMBIARA","PSDB","45543","NOEL DIAS QUEIROZ","21","Suplente","0.443","PP / PSDB",
"Vereador","RO","CORUMBIARA","PSDB","45300","OSMAR TAVARES LOURENÇO","257","Eleito","5.420","PP / PSDB",
"Vereador","RO","CORUMBIARA","PTB","14665","OSMARIO MARTINS PRADO","200","Eleito","4.218","PTB / PPS",
"Vereador","RO","CORUMBIARA","PSDB","45660","OSVALDO MARCONDES GOMES","50","Suplente","1.054","PP / PSDB",
"Vereador","RO","CORUMBIARA","PTB","14633","PEDRO CELIO BEATTO","168","Eleito","3.543","PTB / PPS",
"Vereador","RO","CORUMBIARA","PSDB","45000","RAIMUNDO BARBOSA DA SILVA","23","Suplente","0.485","PP / PSDB",
"Vereador","RO","CORUMBIARA","PRP","44234","ROBERTO LUIZ FARIAS","41","Suplente","0.865","PRP / PMDB / PFL",
"Vereador","RO","CORUMBIARA","PPS","23100","ROSELI APARECIDA DA SILVA BEHNE","45","Suplente","0.949","PTB / PPS",
"Vereador","RO","CORUMBIARA","PSDB","45665","SIDIMEI BELTRAO RAMOS","106","Suplente","2.235","PP / PSDB",
"Vereador","RO","CORUMBIARA","PT","13300","SIDNEI DOS SANTOS MOURA","18","Suplente","0.380","(sem coligação)",
"Vereador","RO","CORUMBIARA","PL","22123","SUELI BUENO DO AMARAL","9","Suplente","0.190","PSL / PL",
"Vereador","RO","CORUMBIARA","PSL","17000","VALTER DE OLIVEIRA","168","Eleito por Média","3.543","PSL / PL",
"Vereador","RO","CORUMBIARA","PRP","44333","VERA LUCIA GOMES ALMEIDA","24","Suplente","0.506","PRP / PMDB / PFL",
"Vereador","RO","CORUMBIARA","PPS","23456","VERA LUCIA SOUZA DOS SANTOS","110","Suplente","2.320","PTB / PPS",
"Vereador","RO","CORUMBIARA","PMDB","15678","VICTOR CAMARGO","112","Eleito por Média","2.362","PRP / PMDB / PFL",
"Vereador","RO","COSTA MARQUES","PP","11555","AMAURY ANTONIO RIBEIRO DE ARRUDA","129","Eleito","2.321","PP / PTB / PSL",
"Vereador","RO","COSTA MARQUES","PAN","26555","ANA RUFINA DE BRITO","26","Suplente","0.468","PPS / PAN / PMN",
"Vereador","RO","COSTA MARQUES","PT","13131","ANTONIO ALVES DOS SANTOS","5","Não eleito","0.090","(sem coligação)",
"Vereador","RO","COSTA MARQUES","PDT","12612","ANTÔNIO AUGUSTO NETO","265","Eleito","4.767","PDT / PL / PSDB",
"Vereador","RO","COSTA MARQUES","PMDB","15678","ANTONIO EVANGELISTA","17","Suplente","0.306","PMDB / PFL / PSB",
"Vereador","RO","COSTA MARQUES","PPS","23123","ANTONIO PAES DE SOUZA FILHO","239","Eleito por Média","4.299","PPS / PAN / PMN",
"Vereador","RO","COSTA MARQUES","PMDB","15123","APARECIDO DOS SANTOS ALENCAR","48","Suplente","0.863","PMDB / PFL / PSB",
"Vereador","RO","COSTA MARQUES","PMDB","15333","APARECIDO MUNIZ DE SOUZA","32","Suplente","0.576","PMDB / PFL / PSB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PT","13644","AGUINALDO MARTER COUTINHO","70","Suplente","1.213","(sem coligação)",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PT","13634","ALDA VIEIRA SCARPAT","61","Suplente","1.057","(sem coligação)",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PL","22610","ANAEL GAUDINO","82","Suplente","1.421","PTB / PL / PRP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSL","17777","ANTONIO RIGOBERTO  ARAUJO MESQUITA","89","Suplente","1.542","PSL / PPS / PV / PSDB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PT","13613","ANTONIO SIRQUEIRA FERNANDES","3","Suplente","0.052","(sem coligação)",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSDB","45123","ARISTEU FERNANDES CORRÊA","58","Suplente","1.005","PSL / PPS / PV / PSDB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PFL","25333","CELSO VENTURA FILHO","14","Suplente","0.243","PFL / PDT / PP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PFL","25234","CLOTILDE FIUZA","76","Suplente","1.317","PFL / PDT / PP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PFL","25789","DAIR BOONE","221","Eleito por Média","3.829","PFL / PDT / PP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PMDB","15789","DERCINDO CELESTINO SALES","140","Suplente","2.426","PMDB / PSB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PT","13635","DEUSDETE GARCIA DE SOUZA","44","Suplente","0.762","(sem coligação)",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PT","13638","DIJALMA FRANCISCO SOUZA","90","Suplente","1.560","(sem coligação)",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PFL","25456","DIRMA MAURÍCIO BARBOSA DONATO","84","Suplente","1.456","PFL / PDT / PP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PT","13640","DIVA APARECIDA DA SILVA","72","Suplente","1.248","(sem coligação)",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PFL","25222","EDNA LEITE DOS SANTOS","39","Suplente","0.676","PFL / PDT / PP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PDT","12644","ELOI GARGLINI","159","Suplente","2.755","PFL / PDT / PP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSB","40140","ERVIN RADWANSKI","33","Suplente","0.572","PMDB / PSB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSL","17123","FRANCISCO ARI FOSS","70","Suplente","1.213","PSL / PPS / PV / PSDB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSDB","45144","GEILDA ARAUJO DOS SANTOS","16","Suplente","0.277","PSL / PPS / PV / PSDB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PL","22222","GERALDO FERREIRA DA FONSECA","175","Suplente","3.032","PTB / PL / PRP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSB","40650","GERALDO SALVADOR PEREIRA DA SILVA","153","Eleito por Média","2.651","PMDB / PSB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PT","13632","GERCI RODRIGUES DE OLIVEIRA","24","Suplente","0.416","(sem coligação)",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PT","13603","HILARIO JOÃO LOPES FILHO","57","Suplente","0.988","(sem coligação)",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PRP","44151","JEDIÃO XAVIER DA SILVA","14","Suplente","0.243","PTB / PL / PRP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PDT","12222","JEUNES SILVA GOMES","65","Suplente","1.126","PFL / PDT / PP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PL","22642","JOAO ANGELO DO NASCIMENTO","97","Suplente","1.681","PTB / PL / PRP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSDB","45110","JOAO FRANCISCO DE FREITAS CANSADO","98","Suplente","1.698","PSL / PPS / PV / PSDB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PMDB","15123","JOAO PINHEIRO ALVES","116","Suplente","2.010","PMDB / PSB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSB","40611","JORGE ALEXANDRE DA SILVA","166","Eleito","2.876","PMDB / PSB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PL","22176","JOSE ANTONIO CARNEIRO LINS","191","Eleito por Média","3.310","PTB / PL / PRP",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PMDB","15200","JOSE BENICIO","21","Suplente","0.364","PMDB / PSB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSB","40642","JOSE ELIAS BASONI","107","Suplente","1.854","PMDB / PSB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PSL","17030","JOSE PEDRO DIAS","60","Suplente","1.040","PSL / PPS / PV / PSDB",
"Vereador","RO","ALTO ALEGRE DOS PARECIS","PFL","25555","JOSÉ RODRIGUES DA COSTA","282","Eleito","4.887","PFL / PDT / PP",
"Vereador","RO","CACOAL","PT","13333","SIDARTA MECHALCZUK","487","Suplente","1.254","PT / PSB",
"Vereador","RO","CACOAL","PSB","40140","SILVIA APARECIDA DIAS","79","Suplente","0.203","PT / PSB",
"Vereador","RO","CACOAL","PPS","23123","VALDECIR JOÃO GRIPPA","471","Suplente","1.212","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PDT","12666","VALDEIR DA SILVA","246","Suplente","0.633","PDT / PSDB",
"Vereador","RO","CACOAL","PRP","44789","VALDIVINO RODRIGUES DE ALMEIDA","888","Suplente","2.286","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PV","43123","VALDOMIRO CORÁ","907","Suplente","2.335","PP / PMDB / PSL / PV",
"Vereador","RO","CACOAL","PSDB","45345","VALENTIM PARTELI","409","Suplente","1.053","PDT / PSDB",
"Vereador","RO","CACOAL","PSB","40100","VANDEBURGO CORREIA DE OLIVEIRA","131","Suplente","0.337","PT / PSB",
"Vereador","RO","CACOAL","PSDB","45123","VANDERLEI KLOOS","348","Suplente","0.896","PDT / PSDB",
"Vereador","RO","CACOAL","PFL","25789","VERA LUCIA DE SOUZA VIEIRA SANTANA MAGALHÃES","40","Suplente","0.103","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PSB","40111","WALTER RODRIGUES DA SILVA","51","Suplente","0.131","PT / PSB",
"Vereador","RO","CACOAL","PTB","14777","WANDER SANDERS DAMASCENO","375","Suplente","0.965","PTB / PMN / PRP / PRTB / PL / PFL / PPS",
"Vereador","RO","CACOAL","PSDB","45678","WILSON PEREIRA DA ROCHA FILHO","485","Suplente","1.248","PDT / PSDB",
"Vereador","RO","CAMPO NOVO DE RONDONIA","PSB","40123","ADAO CARLOS DA SILVA","98","Suplente","1.940","PSB / PFL / PL / PP",
"Vereador","RO","CAMPO NOVO DE RONDONIA","PTB","14444","ADEMIR BORHER","155","Não eleito","3.068","(sem coligação)",
"Vereador","RO","CAMPO NOVO DE RONDONIA","PTB","14567","ADEMIR CURBANO","76","Não eleito","1.504","(sem coligação)",
"Vereador","RO","CAMPO NOVO DE RONDONIA","PTB","14123","ADILSON JACINTO DE OLIVEIRA","1","Não eleito","0.020","(sem coligação)",
"Vereador","RO","CAMPO NOVO DE RONDONIA","PSDB","45554","ADOLFO VITORINO DE OLIVEIRA","12","Suplente","0.238","(sem coligação)",
"Vereador","RO","CAMPO NOVO DE RONDONIA","PPS","23000","ADRIANO MARCOS PEREIRA DOS SANTOS","79","Suplente","1.564","PT / PPS",
