Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (RIO GRANDE DO NORTE) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:01:09  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","RN","AREIA BRANCA","PSB","40123","JOSE APARECIDO DO NASCIMENTO","27","Suplente","0.158","PT / PTB / PTN / PFL / PSB / PV",
"Vereador","RN","AREIA BRANCA","PMDB","15123","JOSE HERMÍNIO DA SILVA","443","Suplente","2.591","PP / PMDB / PSDB / PPS / PDT / PL",
"Vereador","RN","AREIA BRANCA","PP","11650","JOSE NAZARENO DE LEMOS","1,003","Eleito","5.866","PP / PMDB / PSDB / PPS / PDT / PL",
"Vereador","RN","AREIA BRANCA","PP","11611","JOSE RIBAMAR DOS SANTOS","739","Suplente","4.322","PP / PMDB / PSDB / PPS / PDT / PL",
"Vereador","RN","AREIA BRANCA","PFL","25111","MANOEL JOAQUIM DOS SANTOS","1,100","Eleito","6.433","PT / PTB / PTN / PFL / PSB / PV",
"Vereador","RN","AREIA BRANCA","PTB","14633","MARIA DAS GRACAS EDMUNDO DE SOUZA","331","Suplente","1.936","PT / PTB / PTN / PFL / PSB / PV",
"Vereador","RN","AREIA BRANCA","PSDB","45678","MARIA DO SOCORRO BRAZ DA SILVA","398","Suplente","2.328","PP / PMDB / PSDB / PPS / PDT / PL",
"Vereador","RN","AREIA BRANCA","PMDB","15100","MARIA DO SOCORRO DOS SANTOS SARAIVA","203","Suplente","1.187","PP / PMDB / PSDB / PPS / PDT / PL",
"Vereador","RN","AREIA BRANCA","PTB","14606","PAULO SERGIO GOMES DE SOUZA","88","Suplente","0.515","PT / PTB / PTN / PFL / PSB / PV",
"Vereador","RN","AREIA BRANCA","PMDB","15615","RAIMUNDO  NONATO FERNANDES","712","Suplente","4.164","PP / PMDB / PSDB / PPS / PDT / PL",
"Vereador","RN","AREIA BRANCA","PT","13333","RAIMUNDO LACERDA  ALVES FELIPE","467","Suplente","2.731","PT / PTB / PTN / PFL / PSB / PV",
"Vereador","RN","AREIA BRANCA","PP","11111","ROBERTO GONÇALVES DE MELO","1,080","Eleito","6.316","PP / PMDB / PSDB / PPS / PDT / PL",
"Vereador","RN","AREIA BRANCA","PFL","25222","ROSA LUCIA DA SILVA CONFESSOR","57","Suplente","0.333","PT / PTB / PTN / PFL / PSB / PV",
"Vereador","RN","AREIA BRANCA","PTB","14567","SUELI SOUTO XAVIER","437","Suplente","2.556","PT / PTB / PTN / PFL / PSB / PV",
"Vereador","RN","AREIA BRANCA","PP","11610","WALTER DANTAS DE SALES","611","Suplente","3.573","PP / PMDB / PSDB / PPS / PDT / PL",
"Vereador","RN","ARES","PT","13540","ALBERI DIAS DE LIMA","88","Não eleito","1.070","(sem coligação)",
"Vereador","RN","ARES","PFL","25678","ANA ALICE CUNHA DE MATOS","413","Eleito","5.021","(sem coligação)",
"Vereador","RN","ARES","PL","22666","ANTÔNIO ARCANJO DE PAIVA","253","Suplente","3.076","PSB / PL / PSDB",
"Vereador","RN","ARES","PSB","40120","ARNOR FIRMINO BEZERRA","243","Suplente","2.954","PSB / PL / PSDB",
"Vereador","RN","ARES","PFL","25611","CANDIDA AIRES DE ARAUJO","93","Suplente","1.131","(sem coligação)",
"Vereador","RN","ARES","PT","13010","CARLOS ALBERTO DE SANTANA","9","Não eleito","0.109","(sem coligação)",
"Vereador","RN","ARES","PFL","25666","CARLOS ROBERTO EUFLAUSINO PEREIRA","62","Suplente","0.754","(sem coligação)",
