Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (AMAZONAS) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
25/04/2009 - 20:39:14  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","AM","ATALAIA DO NORTE","PSB","40610","RAIMUNDO LAZARO DA SILVA BARROS","7","Suplente","0.225","PMN / PSB",
"Vereador","AM","ATALAIA DO NORTE","PPS","23555","RAIMUNDO NONATO PACIFICO DOS SANTOS","13","Não eleito","0.419","PSL / PPS",
"Vereador","AM","ATALAIA DO NORTE","PMDB","15602","RAIMUNDO SOARES DE ANDRADE","27","Não eleito","0.870","PTB / PMDB",
"Vereador","AM","ATALAIA DO NORTE","PPS","23456","RENAN RODRIGUES NOBRE","42","Não eleito","1.353","PSL / PPS",
"Vereador","AM","ATALAIA DO NORTE","PTB","14444","RICARDO BARBOSA RAMOS","108","Não eleito","3.478","PTB / PMDB",
"Vereador","AM","ATALAIA DO NORTE","PFL","25789","RODINEY DA SILVA OLIMPIO","67","Suplente","2.158","PFL / PV",
"Vereador","AM","ATALAIA DO NORTE","PSB","40611","RUBENEY DE CASTRO ALVES","198","Eleito","6.377","PMN / PSB",
"Vereador","AM","ATALAIA DO NORTE","PMDB","15632","SEBASTIAO HORACIO DA SILVA","4","Não eleito","0.129","PTB / PMDB",
"Vereador","AM","ATALAIA DO NORTE","PFL","25333","SIDMAR BARREIRA DE BRITO","13","Suplente","0.419","PFL / PV",
"Vereador","AM","ATALAIA DO NORTE","PFL","25147","WALDERY DA SILVA AGUIAR","63","Suplente","2.029","PFL / PV",
"Vereador","AM","ATALAIA DO NORTE","PFL","25123","WALMIR VITOR DOS SANTOS","74","Suplente","2.383","PFL / PV",
"Vereador","AM","ATALAIA DO NORTE","PMDB","15123","WILFREDO RAMIRES MAFRA FILHO","49","Não eleito","1.578","PTB / PMDB",
"Vereador","AM","ATALAIA DO NORTE","PMN","33678","WILKER CARNEIRO ALVES","20","Suplente","0.644","PMN / PSB",
"Vereador","AM","AUTAZES","PSB","40567","ADELSON PEREIRA BATISTA","11","Não eleito","0.088","PSB / PSDB",
"Vereador","AM","AUTAZES","PPS","23123","ADEMAR ALMEIDA PINHEIRO","144","Suplente","1.157","PPS / PT do B",
"Vereador","AM","AUTAZES","PPS","23111","ALCIONE ASSIS DE CASTRO","232","Suplente","1.864","PPS / PT do B",
"Vereador","AM","AUTAZES","PSDB","45123","ALCISTONE FIGUEIREDO DA COSTA","86","Não eleito","0.691","PSB / PSDB",
"Vereador","AM","AUTAZES","PRTB","28456","ALDAURO PENALBER SAMPAIO","197","Não eleito","1.583","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PPS","23789","ALDIMIR GOMES SAMPAIO","177","Suplente","1.422","PPS / PT do B",
"Vereador","AM","AUTAZES","PSDC","27222","ALVARO LEDA SOUZA","53","Suplente","0.426","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PFL","25555","ANDRESON ADRIANO OLIVEIRA CAVALCANTE","519","Eleito","4.170","PTB / PFL",
"Vereador","AM","AUTAZES","PFL","25147","ANTONIO PEREIRA DAS NEVES","57","Suplente","0.458","PTB / PFL",
"Vereador","AM","AUTAZES","PSDB","45678","ARLENE COSTA FIGUEIREDO","407","Não eleito","3.270","PSB / PSDB",
"Vereador","AM","AUTAZES","PDT","12456","CARLOS ROBERTO PINHEIRO ANDRADE","29","Não eleito","0.233","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PPS","23690","CECILIO CORREA","362","Eleito","2.909","PPS / PT do B",
"Vereador","AM","AUTAZES","PSL","17789","CELESTE TORRES ARAUJO","29","Não eleito","0.233","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PRP","44123","CÉLIA NÓBREGA DOS SANTOS","26","Suplente","0.209","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PL","22123","CINTIA MARIA DA SILVA TUPUINAMBÁ","387","Eleito","3.110","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PC do B","65456","CLAUDIO PEREIRA","48","Suplente","0.386","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PFL","25630","CLAUDIONOR SAVINO BRELAZ","474","Eleito","3.809","PTB / PFL",
"Vereador","AM","AUTAZES","PDT","12580","CRICIANE KELLI MAIA CAVALCANTE","30","Não eleito","0.241","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PPS","23456","DJALMA JACAUNA NEVES PEREIRA","301","Eleito por Média","2.419","PPS / PT do B",
"Vereador","AM","AUTAZES","PTC","36541","DJANIRA PEREIRA DOS SANTOS","13","Suplente","0.104","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PC do B","65123","EDILEVI DOS SANTOS MARQUES","117","Suplente","0.940","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PDT","12555","EDNALDO CORDEIRO DE SOUZA","48","Não eleito","0.386","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PRP","44600","ELDO BELEM DOS SANTOS","73","Suplente","0.587","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PFL","25124","ELIAS CAMPOS MEDEIROS","141","Suplente","1.133","PTB / PFL",
"Vereador","AM","AUTAZES","PSB","40879","ELIAS FERREIRA DA SILVA","9","Não eleito","0.072","PSB / PSDB",
"Vereador","AM","AUTAZES","PDT","12007","ELMI VAZ DE OLIVEIRA","67","Não eleito","0.538","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PFL","25369","EMILSON SALES DE FRANÇA","365","Suplente","2.933","PTB / PFL",
"Vereador","AM","AUTAZES","PFL","25110","ERNANDE PEREIRA GALVÃO","115","Suplente","0.924","PTB / PFL",
"Vereador","AM","AUTAZES","PRP","44000","EUDIS NATANAEL SAMPAIO DE LIMA","33","Suplente","0.265","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PMDB","15615","FAUSTINO ALVES DE PINHO","131","Suplente","1.053","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PPS","23148","FLÁVIO BRAGA DE ASSIS","28","Suplente","0.225","PPS / PT do B",
"Vereador","AM","AUTAZES","PT","13111","FLORO DOS SANTOS CORREA","26","Suplente","0.209","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PDT","12333","FRANCINEIDE CORREA DOS SANTOS","30","Não eleito","0.241","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PFL","25800","FRANCINETE ONETE DA SILVA","412","Eleito por Média","3.311","PTB / PFL",
"Vereador","AM","AUTAZES","PRTB","28789","FRANCISCA DAS GRAÇAS RODRIGUES","13","Não eleito","0.104","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PSC","20123","FRANCISCO SOARES PONTES","452","Eleito","3.632","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PPS","23234","FRANCISCO TOUCEIRA DA COSTA","175","Suplente","1.406","PPS / PT do B",
"Vereador","AM","AUTAZES","PFL","25125","GRAÇA IZONEY VIEIRA TOMÉ","466","Eleito por Média","3.744","PTB / PFL",
"Vereador","AM","AUTAZES","PSDB","45456","GRACY ARAUJO SIQUEIRA","136","Não eleito","1.093","PSB / PSDB",
"Vereador","AM","AUTAZES","PRTB","28111","HELSON DA COSTA PALHETA","30","Não eleito","0.241","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PFL","25777","IDELFONSO DA COSTA SERRÃO","295","Suplente","2.370","PTB / PFL",
"Vereador","AM","AUTAZES","PFL","25258","IRAILZO DE OLIVEIRA MICHELE","52","Suplente","0.418","PTB / PFL",
"Vereador","AM","AUTAZES","PTB","14456","ITAGIBA QUEIROZ FAVELA","98","Suplente","0.787","PTB / PFL",
"Vereador","AM","AUTAZES","PMDB","15622","IVAN ETHER","156","Suplente","1.254","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PDT","12111","JAIR PEREIRA BRANDÃO","13","Não eleito","0.104","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PFL","25123","JERILDO THOME PONTES","132","Suplente","1.061","PTB / PFL",
"Vereador","AM","AUTAZES","PSDC","27777","JOÃO DE JESUS CRUZ DE CARVALHO","197","Suplente","1.583","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PSDB","45145","JOÃO MARQUES DE SOUZA","139","Não eleito","1.117","PSB / PSDB",
"Vereador","AM","AUTAZES","PSL","17123","JOEL AMAZONAS BRANDÃO","106","Não eleito","0.852","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PFL","25678","JOIA DE MELO CRUZ","136","Suplente","1.093","PTB / PFL",
"Vereador","AM","AUTAZES","PSDB","45789","JOSÉ INACIO DA SILVA SIQUEIRA MELO","42","Não eleito","0.337","PSB / PSDB",
"Vereador","AM","AUTAZES","PSDC","27456","JOSÉ MONTEVAN PINHEIRO CRUZ","353","Eleito por Média","2.836","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PT","13000","JOSÉ TADEU CABRAL MARTINS","270","Suplente","2.170","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PSC","20618","JOSENIL DE OLIVEIRA MELO","352","Suplente","2.828","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PT","13456","JOSIAS RAMOS SOUZA","6","Suplente","0.048","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PT","13131","JULIO ALFAIA DE ARAUJO","21","Suplente","0.169","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PPS","23567","JULIO MACARTO QUEIROZ DA SILVEIRA","170","Suplente","1.366","PPS / PT do B",
"Vereador","AM","AUTAZES","PSL","17111","LEONILSON MONTEIRO DO NASCIMENTO","66","Não eleito","0.530","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PSL","17456","LUIZ DE OLIVEIRA MELO","67","Não eleito","0.538","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PTC","36123","MAGALI DE SOUZA MELO","0","Suplente","0.000","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PFL","25112","MANOEL GARCIA DOS SANTOS","107","Suplente","0.860","PTB / PFL",
"Vereador","AM","AUTAZES","PL","22369","MÁRCIA MARIA MATOS DE SENA","47","Suplente","0.378","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PTC","36600","MARIA ROSA DA SILVA SOUZA","20","Suplente","0.161","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PC do B","65789","MAURICIO DOS SANTOS","138","Suplente","1.109","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PT do B","70123","MAURO SOARES STONE","30","Suplente","0.241","PPS / PT do B",
"Vereador","AM","AUTAZES","PFL","25789","NAILE DA COSTA SILVA","311","Suplente","2.499","PTB / PFL",
"Vereador","AM","AUTAZES","PMDB","15666","NILSON BARRONCAS MAQUINE","34","Suplente","0.273","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PSC","20317","ONETE COUTINHO PEREIRA","200","Suplente","1.607","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PSDC","27111","PERCINEI PANTOJA DE SOUZA","173","Suplente","1.390","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PTB","14123","RAI FERREIRA BARBOSA","169","Suplente","1.358","PTB / PFL",
"Vereador","AM","AUTAZES","PSDC","27333","RAIMUNDO ARAUJO CALDAS","19","Suplente","0.153","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PDT","12345","RAIMUNDO OSCAR DA SILVA SOARES","287","Não eleito","2.306","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PSDB","45645","ROBERTO BRAGA DE AZEVEDO","123","Não eleito","0.988","PSB / PSDB",
"Vereador","AM","AUTAZES","PDT","12000","ROSENO DIAS BRANCO","101","Não eleito","0.812","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PRP","44333","RUDER DAS NEVES GUIMARAES","25","Suplente","0.201","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PDT","12369","SHEILA CARDOSO MARINHO","27","Não eleito","0.217","PDT / PSL / PRTB",
"Vereador","AM","AUTAZES","PSB","40123","SUÉLIDA DE OLIVEIRA AMBRÓSIO","24","Não eleito","0.193","PSB / PSDB",
"Vereador","AM","AUTAZES","PL","22111","WALTINA PINHEIRO CAMPOS","226","Suplente","1.816","PT / PMDB / PL / PRP",
"Vereador","AM","AUTAZES","PSDC","27123","WILLACY MONTEIRO DE SOUZA","163","Suplente","1.310","PSC / PSDC / PTC / PC do B",
"Vereador","AM","AUTAZES","PT","13123","ZÉ ALMIR DOS SANTOS GOMES","17","Suplente","0.137","PT / PMDB / PL / PRP",
"Vereador","AM","BARCELOS","PL","22123","ADEMIR VIANA LARANJEIRA","14","Não eleito","0.270","(sem coligação)",
"Vereador","AM","BARCELOS","PSDB","45454","AILTON DOS SANTOS CORDEIRO","20","Suplente","0.386","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PDT","12444","AIRTON SARAIVA DE MELO","0","Suplente","0.000","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PDT","12345","ALCILENE DA SILVA ARAUJO","69","Suplente","1.331","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PSDB","45123","ALDECIO DIAS DO NASCIMENTO","25","Suplente","0.482","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PRTB","28789","ALDEMAR FONTES DOS SANTOS","17","Suplente","0.328","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PPS","23169","ALDO GARRIDO DE MACEDO","75","Suplente","1.447","PPS / PFL",
"Vereador","AM","BARCELOS","PDT","12222","AMARO PEREIRA DIAS NETO","0","Suplente","0.000","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PPS","23789","ANALIO PESSOA CHRISTOVAM","99","Suplente","1.910","PPS / PFL",
"Vereador","AM","BARCELOS","PC do B","65789","ANGELA DE JESUS DOS SANTOS SOARES","20","Suplente","0.386","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PFL","25654","ANTONIO ALBERTINO NETO","177","Suplente","3.415","PPS / PFL",
"Vereador","AM","BARCELOS","PP","11123","ANTONIO AYRES DIAS LEITE","44","Suplente","0.849","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PC do B","65123","ANTONIO ERIVELTO FERNANDES DA SILVA","38","Suplente","0.733","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PPS","23655","ARLINDO SOARES FILHO","148","Suplente","2.855","PPS / PFL",
"Vereador","AM","BARCELOS","PPS","23456","ARNOBIO PEREIRA CORREA","124","Suplente","2.392","PPS / PFL",
"Vereador","AM","BARCELOS","PSDB","45456","AUDIBERTO RODRIGUES TEIXEIRA","71","Suplente","1.370","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PPS","23369","BRAULINA DA SILVA ARAUJO","100","Suplente","1.929","PPS / PFL",
"Vereador","AM","BARCELOS","PSDB","45678","CARLOS NUNES MARAT","102","Eleito por Média","1.968","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PDT","12321","CECILIA BORGES DIAS","15","Suplente","0.289","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PC do B","65456","DOMINGOS SAVIO RAPOSO PINHEIRO","123","Suplente","2.373","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PFL","25123","EDINEIA GARCIA MONTEIRO","86","Suplente","1.659","PPS / PFL",
"Vereador","AM","BARCELOS","PSDB","45610","EDSON MORAES DE CASTRO FILHO","62","Suplente","1.196","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PFL","25789","ELCICLEIA HONORIO RODRIGUES","183","Eleito","3.531","PPS / PFL",
"Vereador","AM","BARCELOS","PT","13123","ELIZABEL DA CRUZ RODRIGUES","21","Suplente","0.405","PT / PMDB / PSL",
"Vereador","AM","BARCELOS","PTB","14321","FRANCILANE SILVA GARCIA","212","Eleito","4.090","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PP","11234","GELSON MONTEIRO DA CUNHA","339","Eleito","6.541","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PTB","14145","GILMAR TEIXEIRA LIMA","43","Suplente","0.830","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PPS","23358","GRACINETE LOIOLA LIMA","74","Suplente","1.428","PPS / PFL",
"Vereador","AM","BARCELOS","PFL","25456","ILSON ALVES DO CASAL","10","Suplente","0.193","PPS / PFL",
"Vereador","AM","BARCELOS","PP","11456","IVANEIDE BRITO DE OLIVEIRA","60","Suplente","1.158","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PL","22100","JAIRO AZEVEDO DA SILVA","23","Não eleito","0.444","(sem coligação)",
"Vereador","AM","BARCELOS","PRTB","28123","JANE LUCIA NUNES DA SILVA","50","Suplente","0.965","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PC do B","65622","JOÃO BATISTA DE OLIVEIRA LACERDA","87","Suplente","1.679","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PMDB","15111","JOÃO GOES CARIOCA","41","Suplente","0.791","PT / PMDB / PSL",
"Vereador","AM","BARCELOS","PDT","12012","JOAQUIM ARAUJO DOS SANTOS","57","Suplente","1.100","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PRTB","28628","JONAS NONATO DOS SANTOS MORAES","37","Suplente","0.714","PP / PRTB / PSDB",
"Vereador","AM","BARCELOS","PSL","17123","JOSE ALBERTO PERES","88","Suplente","1.698","PT / PMDB / PSL",
"Vereador","AM","BARCELOS","PPS","23123","JOSE ALZIMAR BARBOSA GOMES","81","Suplente","1.563","PPS / PFL",
"Vereador","AM","BARCELOS","PSL","17321","JOSE BRAZ MEDEIROS","24","Suplente","0.463","PT / PMDB / PSL",
"Vereador","AM","BARCELOS","PMDB","15000","JOSÉ OLIVEIRA DE MENEZES","183","Eleito","3.531","PT / PMDB / PSL",
"Vereador","AM","BARCELOS","PPS","23654","JOSEMIR DE MACEDO BEZERRA","220","Eleito","4.245","PPS / PFL",
"Vereador","AM","BARCELOS","PMDB","15678","JOZIAS BENFICA DA SILVA","96","Suplente","1.852","PT / PMDB / PSL",
"Vereador","AM","BARCELOS","PPS","23333","JULIO CESAR DA SILVA RODRIGUES","46","Suplente","0.888","PPS / PFL",
"Vereador","AM","BARCELOS","PMDB","15432","KLEBER MARIN DE MORAES","26","Suplente","0.502","PT / PMDB / PSL",
"Vereador","AM","BARCELOS","PC do B","65555","KLINGER OLIVEIRA DA SILVA","132","Suplente","2.547","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PDT","12333","LEONEL CORDOVIL GARCIA","117","Suplente","2.257","PDT / PTB / PC do B",
"Vereador","AM","BARCELOS","PT","13654","MARCONI EDSON DE JESUS MENDES","115","Suplente","2.219","PT / PMDB / PSL",
"Vereador","AM","BARCELOS","PMDB","15123","MARIO JORGE RIBEIRO DA SILVA","49","Suplente","0.945","PT / PMDB / PSL",
