Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (RORAIMA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:02:19  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","RR","NORMANDIA","PMDB","15555","DORVAL SALAZAR PEREIRA","0","Suplente","0.000","(sem coligação)",
"Vereador","RR","NORMANDIA","PDT","12123","EDUARDO ADRIANO DE MELO OLIVEIRA","134","Eleito","4.087","PDT / PTB / PPS / PSB / PV",
"Vereador","RR","NORMANDIA","PL","22013","ELIAS DA SILVA FERNANDES","47","Suplente","1.433","PL / PT / PSL",
"Vereador","RR","NORMANDIA","PFL","25555","EURIPEDES PEREIRA DOS SANTOS","154","Eleito","4.697","PFL / PSDC / PHS",
"Vereador","RR","NORMANDIA","PFL","25111","FIGUEIREDO PAULINO","47","Suplente","1.433","PFL / PSDC / PHS",
"Vereador","RR","NORMANDIA","PMDB","15123","FRIDMAN MELO DA SILVA","109","Suplente","3.324","(sem coligação)",
"Vereador","RR","NORMANDIA","PT","13123","JABER ROSAS","101","Suplente","3.080","PL / PT / PSL",
"Vereador","RR","NORMANDIA","PSL","17222","JANDERSON SOUZA DA COSTA","74","Suplente","2.257","PL / PT / PSL",
"Vereador","RR","NORMANDIA","PL","22111","JEFFERSON LUIZ RIBEIRO DOS SANTOS","19","Suplente","0.579","PL / PT / PSL",
"Vereador","RR","NORMANDIA","PSDC","27888","JOÃO CARLOS DA SILVA LIMA","27","Suplente","0.823","PFL / PSDC / PHS",
"Vereador","RR","NORMANDIA","PSDB","45111","JOSÉ SOARES RAPOSO","4","Não eleito","0.122","(sem coligação)",
"Vereador","RR","NORMANDIA","PL","22345","JOSIMO FREDSON RUTH COSTA","67","Suplente","2.043","PL / PT / PSL",
"Vereador","RR","NORMANDIA","PV","43230","LOURENÇO AQUILINO BATISTA","59","Suplente","1.799","PDT / PTB / PPS / PSB / PV",
"Vereador","RR","NORMANDIA","PT","13333","LUIZ DA SILVA","12","Suplente","0.366","PL / PT / PSL",
"Vereador","RR","NORMANDIA","PL","22580","MAGLEIDE DA SILVA ROQUE","50","Suplente","1.525","PL / PT / PSL",
"Vereador","RR","NORMANDIA","PSDB","45444","MAX FACTOR LEITE PEREIRA","8","Não eleito","0.244","(sem coligação)",
"Vereador","RR","NORMANDIA","PHS","31333","PAULO VANI DA SILVA","138","Suplente","4.209","PFL / PSDC / PHS",
"Vereador","RR","NORMANDIA","PMDB","15678","RAIMUNDA MELO PERES","139","Eleito","4.239","(sem coligação)",
"Vereador","RR","NORMANDIA","PSDB","45123","RAIMUNDO ANTÔNIO FERREIRA DE SOUSA FILHO","82","Não eleito","2.501","(sem coligação)",
"Vereador","RR","NORMANDIA","PSL","17111","RAIMUNDO BARROS FILHO","164","Eleito","5.002","PL / PT / PSL",
"Vereador","RR","NORMANDIA","PHS","31222","RIVELINO HABERT DE OLIVEIRA","27","Suplente","0.823","PFL / PSDC / PHS",
"Vereador","RR","NORMANDIA","PSDC","27123","RONDINELE ABEL MORAES","41","Suplente","1.250","PFL / PSDC / PHS",
