Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (SANTA CATARINA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:03:29  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","SC","ALFREDO WAGNER","PT","13513","VOLNI SCHAFFER","15","Não eleito","0.234","(sem coligação)",
"Vereador","SC","ALFREDO WAGNER","PT","13333","ZENAIDE DE ANDRADE MARIOTI","15","Não eleito","0.234","(sem coligação)",
"Vereador","SC","ALFREDO WAGNER","PSDB","45645","ZERIMAR BOLL","225","Suplente","3.504","PTB / PSDB",
"Vereador","SC","ALTO BELA VISTA","PPS","23455","ADELINO RIBEIRO","92","Eleito","5.804","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PPS","23447","ADIRCE LUCAS DE MELO","10","Suplente","0.631","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PP","11450","DERCIO DAHMER","79","Suplente","4.984","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PMDB","15666","DULUI DUARTE","69","Suplente","4.353","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PPS","23456","EDSON RODOLFO HOFFMANN","134","Eleito","8.454","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PMDB","15677","ELTON VILMAR LERMEN","32","Suplente","2.019","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PT","13333","GERSON SCHNEIDER","94","Eleito","5.931","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PSDB","45777","GÜNTHER PÖTTKER","82","Eleito","5.174","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PP","11620","IRINEU DARCI GASTMANN","72","Suplente","4.543","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PMDB","15600","IVANDRO SCHONELL","58","Suplente","3.659","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PP","11560","IVO GRÄFF","57","Suplente","3.596","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PMDB","15688","JOSÉ CASTRO","74","Suplente","4.669","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PMDB","15611","LAURI MENEGAT","67","Suplente","4.227","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PPS","23466","MARLICIO JOÃO SCHNEIDER","31","Suplente","1.956","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PMDB","15613","MIRIAN REICHERT","78","Eleito por Média","4.921","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PMDB","15655","NELSON OSVALDO LOHMANN","118","Eleito","7.445","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PMDB","15678","OTÁVIO KEIBER","85","Eleito","5.363","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PMDB","15633","PAULO JOSÉ GOSENHEIMER","99","Eleito","6.246","PMDB / PT",
"Vereador","SC","ALTO BELA VISTA","PPS","23499","RONEI PALLAS","47","Suplente","2.965","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PSDB","45045","ROSICLER TEREZINHA POTRICH BENINCÁ","79","Eleito","4.984","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PPS","23444","RUBENS DICK","49","Suplente","3.091","PPS / PP / PSDB",
"Vereador","SC","ALTO BELA VISTA","PMDB","15615","VALDEMIR OSMAR LOHMANN","18","Suplente","1.136","PMDB / PT",
"Vereador","SC","ANCHIETA","PDT","12612","ADEMIR DE LIMA","106","Suplente","2.440","PP / PDT",
"Vereador","SC","ANCHIETA","PMDB","15640","ALDOMAR ANTONIO MOSCON","276","Eleito","6.354","PMDB / PFL",
"Vereador","SC","ANCHIETA","PT","13789","ARLINDO FRANCISCO HEBERLE","116","Suplente","2.670","(sem coligação)",
"Vereador","SC","ANCHIETA","PT","13635","COLORINDO JOSÉ PERIN","171","Eleito","3.936","(sem coligação)",
"Vereador","SC","ANCHIETA","PT","13610","ENIO WOLFART","44","Suplente","1.013","(sem coligação)",
"Vereador","SC","ANCHIETA","PMDB","15630","FRANCISCO SOMERA","60","Suplente","1.381","PMDB / PFL",
"Vereador","SC","ANCHIETA","PT","13623","IDULESIA MARIA DALMOLIN ORSATO","115","Suplente","2.647","(sem coligação)",
"Vereador","SC","ANCHIETA","PT","13456","IVANOR DE MOURA","78","Suplente","1.796","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PDT","12004","BRENO OLIVIO JORIS","5","Não eleito","0.097","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11133","CARMEN NOEMI MALHEIROS","45","Suplente","0.877","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PPS","23600","CELSO CORDEIRO DE MIRANDA","84","Suplente","1.636","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15001","CLAUDIA DOS SANTOS","225","Eleito","4.383","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PPS","23234","CORINO JOSOEL DA SILVA","7","Suplente","0.136","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PV","43200","DENEIR DE LIMA JAQUES","0","Suplente","0.000","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PFL","25222","DJALMA DA SILVA","76","Suplente","1.480","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PT","13584","DORIVAL TIMM","85","Não eleito","1.656","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PT","13956","EDEMAR DE MIRANDA","32","Não eleito","0.623","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11111","EDILSON SOUSA","164","Suplente","3.194","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PPS","23200","EDIVAM JOBERT ROSA","167","Eleito","3.253","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PSDB","45100","ELISET PEREIRA GUNTHER","64","Suplente","1.247","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PFL","25555","ESTELAMAR APARECIDA MARQUES","53","Suplente","1.032","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PPS","23110","GERVASIO ALBANAS","0","Registro negado antes da eleição","0.000","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11660","GILMAR DE CARVALHO","168","Suplente","3.272","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PSDB","45222","HELIO VICENTE VOLTOLINI","34","Suplente","0.662","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15215","IRACILDES KAMCHEN PEREIRA","44","Suplente","0.857","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PT","13352","IUNES GOLDONI","43","Não eleito","0.838","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PPS","23230","JADISON SONEGO","131","Eleito por Média","2.552","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PFL","25625","JOÃO EMÍLIO BELARMINO XAVIER","78","Suplente","1.519","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11500","JOÃO TITOLIVIO ROSA","367","Eleito","7.148","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11520","JOSÉ ANACLETO","23","Suplente","0.448","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15123","JOSE NILSON RODRIGUES","83","Suplente","1.617","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PFL","25621","JOSÉ SCHROEDER DOS SANTOS","11","Suplente","0.214","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15640","LAÉRCIO FERNANDES","83","Suplente","1.617","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15636","LILI TEREZINHA DA SILVA PEIXER","62","Suplente","1.208","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15620","LOURI DA CUNHA","187","Eleito por Média","3.642","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PPS","23500","LOURIVAL LOFFLER","44","Suplente","0.857","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15622","LUIZ ANTONIO PRATES TEDESCO","106","Suplente","2.065","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PFL","25255","LUIZ CARLOS MULLER","63","Suplente","1.227","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PT","13333","MARIA TEREZA RODRIGUES ROTERS","41","Não eleito","0.799","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15610","MAURI CARDOSO","220","Eleito","4.285","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PT","13613","MILTON RANGEL CONSTANTI","65","Não eleito","1.266","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15777","MIRIAM DE FREITAS DE CAMPOS","22","Suplente","0.429","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11601","MOACIR DE SOUZA","234","Eleito","4.558","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15615","NAZARIO MENDES JUNIOR","172","Suplente","3.350","(sem coligação)",
"Vereador","SC","BLUMENAU","PMDB","15100","ENELICE PEDRINI MENDES","1,019","Suplente","0.617","PMDB / PSDC",
"Vereador","SC","BLUMENAU","PMDB","15200","ERICSSON  HENRIQUE LUEF","899","Suplente","0.545","PMDB / PSDC",
