Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (TOCANTINS) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:06:18  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","TO","ALIANCA DO TOCANTINS","PT","13113","ROSALINA RODRIGUES DOS SANTOS","199","Eleito","5.365","PDT / PT / PSL / PSC",
"Vereador","TO","ALIANCA DO TOCANTINS","PSL","17111","SALOMÃO NETO ALVES QUEIROS","128","Eleito por Média","3.451","PDT / PT / PSL / PSC",
"Vereador","TO","ALIANCA DO TOCANTINS","PSDB","45613","SANDRA MARIA DIAS DOS SANTOS","73","Suplente","1.968","PP / PTB / PMDB / PL / PFL / PSDB",
"Vereador","TO","ALIANCA DO TOCANTINS","PSC","20125","VALDECY SILVA DA ROCHA","32","Suplente","0.863","PDT / PT / PSL / PSC",
"Vereador","TO","ALIANCA DO TOCANTINS","PSL","17444","WHADSON MACEDO DE OLIVEIRA","89","Suplente","2.400","PDT / PT / PSL / PSC",
"Vereador","TO","ALIANCA DO TOCANTINS","PMDB","15602","ZULEIDE ALVES ASSUNÇÃO","100","Suplente","2.696","PP / PTB / PMDB / PL / PFL / PSDB",
"Vereador","TO","ALMAS","PSC","20222","ALGEMIRO PEREIRA DA SILVA","39","Suplente","0.954","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PL","22258","ANOILTON CARDOSO DE ALMEIDA","72","Suplente","1.761","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PP","11111","ANTONIO ALVES DA ROCHA","45","Suplente","1.101","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PMDB","15000","ANTÔNIO JOAQUIM DOS SANTOS","67","Suplente","1.639","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PP","11110","BENILDA PEREIRA DE SANTANA","27","Suplente","0.660","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PMDB","15686","CLEAN DIVINA BORGES","139","Suplente","3.399","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PT","13123","EDSON GOMES DE SOUZA","148","Suplente","3.619","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PP","11000","EUZENI JOSE RIBEIRO MIRANDA","70","Suplente","1.712","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PL","22123","FLORIMAR BONFIM NUNES","6","Suplente","0.147","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PSDB","45611","GENESY JOSE ELIAS MATOS","32","Suplente","0.783","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PMDB","15604","GILVAN DIAS","151","Suplente","3.693","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PSDB","45555","HOLDON LUIZ RIBEIRO REGO","136","Suplente","3.326","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PSDB","45654","IRIS ALVES DOS SANTOS","156","Suplente","3.815","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PT","13333","JESUILTON PEREIRA VALADARES","127","Suplente","3.106","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PT","13655","JOAO DE ALBUQUERQUE FILHO","188","Eleito","4.598","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PL","22456","JOATAN ROCHA DE OLIVEIRA","152","Suplente","3.717","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PSDB","45678","JOSE FILHO DA SILVA","135","Suplente","3.302","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PSDB","45222","JURIMAR JOSE TRINDADE","246","Eleito","6.016","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PFL","25100","MANOEL BONFIM DE OLIVEIRA MARTINS","42","Suplente","1.027","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PMDB","15611","MARIA CORREA POLIDORIO FILGUEIRA","224","Eleito","5.478","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PMDB","15555","MARQUESSUEL XAVIER BARBOSA","171","Eleito por Média","4.182","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PSDB","45633","MILTON OLIVEIRA ALBUQUERQUE","108","Suplente","2.641","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PT","13222","MIRIENE FERNANDES CRISOSTOMO","28","Suplente","0.685","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PSDB","45123","NARSIZIO MARCOS ALVES BORGES","346","Eleito","8.462","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PPS","23610","NIVARDO FILHO CARDOSO DE SOUZA","251","Eleito","6.138","PT / PMDB / PL / PPS",
"Vereador","TO","ALMAS","PP","11234","ONERION FERREIRA DE CARVALHO","157","Eleito","3.840","PP / PSC / PFL / PSDB",
"Vereador","TO","ALMAS","PFL","25802","RAINON OLIVEIRA DA CONCEICAO","0","Renúncia/falecimento/cassação antes da eleição","0.000","PP / PSC / PFL / PSDB",
