Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (SERGIPE) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:06:28  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","SE","ARACAJU","PT do B","70170","JOSE ORCELON ALVES DA SILVA","1,161","Suplente","0.431","PRTB / PT do B",
"Vereador","SE","ARACAJU","PT do B","70644","JOSE PAZ DA SILVA","193","Suplente","0.072","PRTB / PT do B",
"Vereador","SE","ARACAJU","PSB","40123","JOSÉ RAMOS DA SILVA","5,702","Eleito","2.117","PSB / PMN",
"Vereador","SE","ARACAJU","PMN","33000","JOSÉ RICARDO CARDOSO NUNES","354","Suplente","0.131","PSB / PMN",
"Vereador","SE","ARACAJU","PSDC","27888","JOSÉ ROBERTO ALMEIDA LOPES","231","Suplente","0.086","PMDB / PSL / PSDC / PHS",
"Vereador","SE","ARACAJU","PDT","12666","JOSÉ SÍLVIO MONTEIRO","2,888","Suplente","1.072","PDT / PRP / PRONA",
"Vereador","SE","ARACAJU","PC do B","65123","JOSE SOUZA DE JESUS","1,173","Suplente","0.435","PT / PCB / PC do B",
"Vereador","SE","ARACAJU","PL","22999","JOSE UBIRATAN DE OLIVEIRA GREGÓRIO","285","Suplente","0.106","PTB / PTN / PL / PSDB",
"Vereador","SE","ARACAJU","PSDC","27540","JOSÉ VALMIR DE MENDONÇA","383","Suplente","0.142","PMDB / PSL / PSDC / PHS",
"Vereador","SE","ARACAJU","PDT","12433","JOSE VICENTE MATOS","423","Suplente","0.157","PDT / PRP / PRONA",
"Vereador","SE","ARACAJU","PRONA","56115","JOSEFA MAGNA DOS SANTOS","81","Suplente","0.030","PDT / PRP / PRONA",
"Vereador","SE","ARACAJU","PT do B","70125","JOSEFA MARIA DE JESUS DOS SANTOS","38","Suplente","0.014","PRTB / PT do B",
"Vereador","SE","ARACAJU","PFL","25456","JOSEMIR ALVES DE ARGOLO","728","Suplente","0.270","PP / PFL / PTC",
"Vereador","SE","ARACAJU","PRONA","56333","JOSENITO VITALE DE JESUS","3,444","Eleito","1.278","PDT / PRP / PRONA",
"Vereador","SE","ARACAJU","PSDC","27890","JOSILENE BATISTA SILVA","62","Suplente","0.023","PMDB / PSL / PSDC / PHS",
"Vereador","SE","ARACAJU","PFL","25024","JOZEILDE SOUZA DANTAS","1","Suplente","0.000","PP / PFL / PTC",
"Vereador","SE","ARACAJU","PT do B","70234","JUÇARA FONTES OLIVEIRA","983","Suplente","0.365","PRTB / PT do B",
"Vereador","SE","ARACAJU","PT","13121","JUSTINA MARIA DA SILVA","130","Suplente","0.048","PT / PCB / PC do B",
"Vereador","SE","ARACAJU","PFL","25789","JUVÊNCIO JOSÉ PASSOS DE OLIVEIRA","3,775","Eleito","1.401","PP / PFL / PTC",
"Vereador","SE","ARACAJU","PRONA","56999","KATIANAMARA RAMOS RIBEIRO","92","Suplente","0.034","PDT / PRP / PRONA",
"Vereador","SE","ARACAJU","PT","13456","LACERDA SANTOS DE OLIVEIRA","1,782","Suplente","0.662","PT / PCB / PC do B",
"Vereador","SE","ARACAJU","PSB","40100","LAERCIO DEODATO","320","Suplente","0.119","PSB / PMN",
"Vereador","SE","ARACAJU","PFL","25999","LICIA MARIA D'ÁVILA MELO SILVEIRA","197","Suplente","0.073","PP / PFL / PTC",
"Vereador","SE","ARACAJU","PT","13781","LINDINALVA FERREIRA AZEVEDO","51","Suplente","0.019","PT / PCB / PC do B",
"Vereador","SE","ARACAJU","PTN","19123","LION GARCEZ SCHUSTER","52","Suplente","0.019","PTB / PTN / PL / PSDB",
"Vereador","SE","ARACAJU","PV","43678","LOURDES CRISTINA FONTES OLIVEIRA SANTOS","785","Suplente","0.291","PSC / PPS / PV",
"Vereador","SE","ARACAJU","PT do B","70500","LUIZ BEZERRA DE LIMA","144","Suplente","0.053","PRTB / PT do B",
"Vereador","SE","ARACAJU","PL","22500","LUIZ BOSCO DE SÁ","101","Suplente","0.037","PTB / PTN / PL / PSDB",
"Vereador","SE","ARACAJU","PDT","12022","LUIZ CARLOS DA SILVA","1","Suplente","0.000","PDT / PRP / PRONA",
"Vereador","SE","ARACAJU","PHS","31111","LUIZ CARLOS DE ALMEIDA","285","Suplente","0.106","PMDB / PSL / PSDC / PHS",
"Vereador","SE","ARACAJU","PDT","12111","LUIZ CARLOS DOS SANTOS","1,590","Suplente","0.590","PDT / PRP / PRONA",
"Vereador","SE","ARACAJU","PT do B","70666","LUIZ CARLOS SANTOS SIQUEIRA","357","Suplente","0.133","PRTB / PT do B",
"Vereador","SE","ARACAJU","PL","22421","LUIZ MANOEL SANTOS","334","Suplente","0.124","PTB / PTN / PL / PSDB",
"Vereador","SE","ARACAJU","PRONA","56112","LUIZ NASCIMENTO MARQUES","1,148","Suplente","0.426","PDT / PRP / PRONA",
"Vereador","SE","ARACAJU","PMDB","15000","LUIZ SANTANA DE CARVALHO","904","Suplente","0.336","PMDB / PSL / PSDC / PHS",
"Vereador","SE","ARACAJU","PT","13213","LUIZ TORRES SANTANA","444","Suplente","0.165","PT / PCB / PC do B",
"Vereador","SE","ARACAJU","PFL","25900","MAGNOBALDO SILVEIRA DOS SANTOS","876","Suplente","0.325","PP / PFL / PTC",
"Vereador","SE","ARACAJU","PRONA","56123","MANOEL BARROS FILHO","567","Suplente","0.210","PDT / PRP / PRONA",
"Vereador","SE","ARACAJU","PT do B","70200","MANOEL DE OLIVEIRA","190","Suplente","0.071","PRTB / PT do B",
"Vereador","SE","ARACAJU","PL","22100","MANOEL MESSIAS DOS ANJOS","490","Suplente","0.182","PTB / PTN / PL / PSDB",
