Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (ACRE) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:07:16  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","AC","ACRELANDIA","PMDB","15120","ALAOR RODRIGUES","35","Suplente","0.634","PP / PMDB / PPS / PFL",
"Vereador","AC","ACRELANDIA","PT","13113","ANTONIO VAUNA DE BRITO","116","Suplente","2.101","(sem coligação)",
"Vereador","AC","ACRELANDIA","PT","13613","APARECIDO SABINO DA SILVA","115","Suplente","2.083","(sem coligação)",
"Vereador","AC","ACRELANDIA","PV","43333","ARISTON DE SOUZA JARDIM","33","Suplente","0.598","PMN / PSB / PV / PC do B",
"Vereador","AC","ACRELANDIA","PTB","14014","CARLOS CÉSAR NUNES DE ARAÚJO","618","Eleito","11.192","(sem coligação)",
"Vereador","AC","ACRELANDIA","PT","13456","CESALPINO FARIAS DE ARAÚJO","151","Suplente","2.735","(sem coligação)",
"Vereador","AC","ACRELANDIA","PSDB","45123","DAMARIS DE OLIVEIRA","203","Eleito","3.676","PDT / PSDB",
"Vereador","AC","ACRELANDIA","PFL","25555","DERMIVAL VILAS BOAS STAUT","202","Eleito","3.658","PP / PMDB / PPS / PFL",
"Vereador","AC","ACRELANDIA","PT","13611","EDMAR JOSÉ SCHMITT MASCARELLO","158","Eleito por Média","2.861","(sem coligação)",
"Vereador","AC","ACRELANDIA","PDT","12345","EDNA BERNARDINO E SILVA","204","Eleito","3.694","PDT / PSDB",
"Vereador","AC","ACRELANDIA","PSDB","45678","ELIAS DOS SANTOS","197","Suplente","3.568","PDT / PSDB",
"Vereador","AC","ACRELANDIA","PSDB","45645","ERACIDES CAETANO DE SOUZA","155","Suplente","2.807","PDT / PSDB",
"Vereador","AC","ACRELANDIA","PMDB","15130","ESTEVÃO DE SOUZA FERREIRA","54","Suplente","0.978","PP / PMDB / PPS / PFL",
"Vereador","AC","ACRELANDIA","PDT","12300","FRANCISCO ANTONIO DA SILVA DIAS","20","Suplente","0.362","PDT / PSDB",
"Vereador","AC","ACRELANDIA","PTB","14601","FRANCISCO FERNANDES LIMA","171","Eleito por Média","3.097","(sem coligação)",
"Vereador","AC","ACRELANDIA","PSDB","45555","GILDÉSIO MOURA VILAS BOAS","193","Suplente","3.495","PDT / PSDB",
"Vereador","AC","ACRELANDIA","PPS","23456","IVAN DA SILVA FERREIRA","143","Suplente","2.590","PP / PMDB / PPS / PFL",
"Vereador","AC","ACRELANDIA","PT","13333","JOSÉ BRANDÃO MAIA","265","Eleito","4.799","(sem coligação)",
"Vereador","AC","ACRELANDIA","PSB","40111","JOSÉ GILDICELLI TEIXEIRA DA SILVA","33","Suplente","0.598","PMN / PSB / PV / PC do B",
"Vereador","AC","ACRELANDIA","PT","13000","JOSÉ IDNILTON SANTOS DA SILVA","99","Suplente","1.793","(sem coligação)",
"Vereador","AC","ACRELANDIA","PSB","40240","JOSÉ LAURINDO","54","Suplente","0.978","PMN / PSB / PV / PC do B",
"Vereador","AC","ACRELANDIA","PMDB","15110","JOSÉ MENDES DE OLIVEIRA","71","Suplente","1.286","PP / PMDB / PPS / PFL",
"Vereador","AC","ACRELANDIA","PMN","33222","JOSUÉ SILVA DOS SANTOS","39","Suplente","0.706","PMN / PSB / PV / PC do B",
"Vereador","AC","ACRELANDIA","PPS","23222","JOVINO CAETANO DE OLIVEIRA","90","Suplente","1.630","PP / PMDB / PPS / PFL",
"Vereador","AC","ACRELANDIA","PFL","25111","JURACI JULIO PEREIRA","22","Suplente","0.398","PP / PMDB / PPS / PFL",
"Vereador","AC","ACRELANDIA","PT","13111","LUCINEIA APARECIDA FALCÃO DE ALMEIDA","115","Suplente","2.083","(sem coligação)",
"Vereador","AC","ACRELANDIA","PPS","23333","LUZIA CASSIMIRO FILHO","31","Suplente","0.561","PP / PMDB / PPS / PFL",
"Vereador","AC","ACRELANDIA","PTB","14789","MANOEL FRANCISCO PARENTE GUIMARÃES","136","Suplente","2.463","(sem coligação)",
