Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (AMAPA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
25/04/2009 - 20:40:10  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","AP","OIAPOQUE","PPS","23258","GILVANE MARQUES DE ALMEIDA","27","Não eleito","0.361","PT do B / PPS / PHS",
"Vereador","AP","OIAPOQUE","PL","22555","GIOVANI BATISTA DA SILVA","92","Suplente","1.231","PL / PV / PT",
"Vereador","AP","OIAPOQUE","PT do B","70321","HELENA PANTOJA MONTEIRO","18","Não eleito","0.241","PT do B / PPS / PHS",
"Vereador","AP","OIAPOQUE","PL","22111","HERÁCLITO DE OLIVEIRA COUTINHO","136","Suplente","1.819","PL / PV / PT",
"Vereador","AP","OIAPOQUE","PT do B","70369","IRINEU DOS SANTOS SILVA","48","Não eleito","0.642","PT do B / PPS / PHS",
"Vereador","AP","OIAPOQUE","PSB","40456","IVALDO DA SILVA FEITOSA","26","Suplente","0.348","PTB / PSB",
"Vereador","AP","OIAPOQUE","PTB","14147","JEZINÉIA NASCIMENTO DA SILVA","57","Suplente","0.762","PTB / PSB",
"Vereador","AP","OIAPOQUE","PL","22345","JOÃO ALVES DA CUNHA","71","Suplente","0.950","PL / PV / PT",
"Vereador","AP","OIAPOQUE","PV","43222","JOÃO SANTOS TEXEIRA","132","Suplente","1.766","PL / PV / PT",
"Vereador","AP","OIAPOQUE","PDT","12123","JOSÉ DOS REIS PEREIRA LIMA","51","Suplente","0.682","PDT / PMDB / PFL / PSDB / PSC",
"Vereador","AP","OIAPOQUE","PDT","12120","JOSÉ ESPIRÍTO SANTO DA SILVA","137","Suplente","1.833","PDT / PMDB / PFL / PSDB / PSC",
"Vereador","AP","OIAPOQUE","PT","13000","JOSÉ FERREIRA PIMENTEL","73","Suplente","0.976","PL / PV / PT",
"Vereador","AP","OIAPOQUE","PSB","40222","JOSÉ JOÃO PAVÃO NUNES","62","Suplente","0.829","PTB / PSB",
