Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (BAHIA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
25/04/2009 - 20:43:40  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","BA","ACAJUTIBA","PSL","17777","EDMILSON NUNES DE SOUZA","17","Suplente","0.220","PSL / PT do B",
"Vereador","BA","ACAJUTIBA","PRP","44789","EDVAL ALVES COSTA","12","Suplente","0.155","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PT do B","70000","EDVALDO DE SANTANA RAMOS","237","Eleito","3.061","PSL / PT do B",
"Vereador","BA","ACAJUTIBA","PFL","25122","FRANCISCO ALENCAR DE AGUIAR","300","Eleito","3.875","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PT","13311","FRANCISCO NEVES DOS SANTOS","0","Registro negado antes da eleição","0.000","PP / PT / PSC / PV / PL / PDT / PTC",
"Vereador","BA","ACAJUTIBA","PSDC","27555","JOÃO OSMAR AMADO DIVINO","48","Suplente","0.620","(sem coligação)",
"Vereador","BA","ACAJUTIBA","PT do B","70444","JOÃO SILVA CRUZ","203","Suplente","2.622","PSL / PT do B",
"Vereador","BA","ACAJUTIBA","PRP","44444","JOETA PARIZ DE SOUZA","158","Suplente","2.041","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PSDC","27777","JOSÉ CARLOS SANTOS DE JESUS","353","Suplente","4.560","(sem coligação)",
"Vereador","BA","ACAJUTIBA","PSL","17333","JOSÉ COSME DE JESUS SOUZA","18","Suplente","0.232","PSL / PT do B",
"Vereador","BA","ACAJUTIBA","PT do B","70222","JOSÉ COSME PEREIRA DOS SANTOS","174","Suplente","2.247","PSL / PT do B",
"Vereador","BA","ACAJUTIBA","PP","11615","JOSÉ DE JESUS SOUZA","339","Eleito","4.379","PP / PT / PSC / PV / PL / PDT / PTC",
"Vereador","BA","ACAJUTIBA","PP","11223","JOSÉ DOMINGOS DE SOUZA","77","Suplente","0.995","PP / PT / PSC / PV / PL / PDT / PTC",
"Vereador","BA","ACAJUTIBA","PRP","44777","JOSÉ EDSON DOS SANTOS DIAS","263","Suplente","3.397","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PP","11222","JOSÉ EVANGELITAS DOS SANTOS GUEDES","110","Suplente","1.421","PP / PT / PSC / PV / PL / PDT / PTC",
"Vereador","BA","ACAJUTIBA","PRP","44456","JOSÉ MILTON DE SOUZA COSTA","16","Suplente","0.207","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PSC","20666","JOSÉ OLIMPIO PEREIRA SANTOS","318","Eleito","4.107","PP / PT / PSC / PV / PL / PDT / PTC",
"Vereador","BA","ACAJUTIBA","PSDC","27000","JOSÉ RAIMUNDO CARDEAL GOMES","193","Suplente","2.493","(sem coligação)",
"Vereador","BA","ACAJUTIBA","PRP","44369","JOSEANE SANTOS BAHIA","26","Suplente","0.336","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PP","11333","JOSEFA ALEXANDRE DOS SANTOS","157","Suplente","2.028","PP / PT / PSC / PV / PL / PDT / PTC",
"Vereador","BA","ACAJUTIBA","PSDC","27222","JOSEFA MARIA DE JESUS SANTOS","51","Suplente","0.659","(sem coligação)",
"Vereador","BA","ACAJUTIBA","PRP","44123","JOSUEL JOSÉ DOS SANTOS","64","Suplente","0.827","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PSDC","27111","JUCILENI DE OLIVEIRA MATOS SOARES","0","Suplente","0.000","(sem coligação)",
"Vereador","BA","ACAJUTIBA","PFL","25555","JUVENAL SAMPAIO JUNIOR","169","Suplente","2.183","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PT do B","70852","JUVENILSON SANTOS RAMOS","204","Suplente","2.635","PSL / PT do B",
"Vereador","BA","ACAJUTIBA","PSC","20123","LUCIANO DE OLIVEIRA SANTOS","66","Suplente","0.852","PP / PT / PSC / PV / PL / PDT / PTC",
"Vereador","BA","ACAJUTIBA","PFL","25456","LUCINEIA ALMEIDA DE BRITO ANDRADE","88","Suplente","1.137","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PFL","25800","LUIZ CARLOS DOS REIS","281","Eleito","3.630","PFL / PRP",
"Vereador","BA","ACAJUTIBA","PT do B","70123","MANOEL UMBELINO DOS SANTOS","199","Suplente","2.570","PSL / PT do B",
