Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (CEARA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:47:58  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","CE","ABAIARA","PT","13690","ANTONIO GILBERTO ALEIXO DE MOURA","0","Suplente","0.000","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PTB","14777","ARNALDO TAVARES GRANGEIRO","518","Eleito","10.576","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PMDB","15123","BENTO GERALDO DANTAS","131","Suplente","2.675","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PRP","44789","CÍCERA DO NASCIMENTO MONTEIRO","494","Eleito","10.086","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PRP","44678","CÍCERO ANTONIO DA SILVA","340","Eleito","6.942","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PSDB","45613","CLOVIS SAMPAIO MARTINS","93","Suplente","1.899","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PRP","44512","DIUNÍZIO FERREIRA DAS NEVES","159","Suplente","3.246","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PSDB","45612","DONIZETE EVANGELISTA DANTAS","242","Suplente","4.941","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PSDB","45234","FÁBIO PEREIRA","221","Suplente","4.512","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PMDB","15678","FRANCISCO MAURÍCIO CRUZ SAMPAIO","265","Eleito","5.410","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PMDB","15369","FRANCISCO PEREIRA DA SILVA","3","Suplente","0.061","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PSDB","45690","FRANCISCO SALVIANO PAULO","33","Suplente","0.674","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PMDB","15601","GERALDO DEODATO DO NASCIMENTO","164","Eleito por Média","3.348","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PSDB","45678","GERALDO GISLÁSIO SAMPAIO","438","Eleito","8.942","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PTB","14567","GILBERTO DOMINGOS RODRIGUES","29","Suplente","0.592","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PPS","23456","GILVAN ALVES GRANGEIRO","339","Eleito","6.921","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PT","13580","JANIRA MAGALHÃES SILVA","46","Suplente","0.939","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PSDB","45123","JOÃO SAMPAIO MARTINS","316","Eleito","6.452","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PMDB","15159","JOSÉ EVANGELISTA FILHO","5","Suplente","0.102","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PSDB","45666","JOSÉ IVAN FAUSTINO DE SOUZA","308","Eleito","6.288","PPS / PRP / PSDB",
"Vereador","CE","ABAIARA","PT","13456","LEONCIO FURTADO SAMPAIO","27","Suplente","0.551","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PSDB","45605","LUÍS LAURINDO DA SILVA","64","Suplente","1.307","PPS / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PV","43123","JOSÉ IVANILDO SARAIVA CUNHA","601","Suplente","1.622","PSC / PAN / PV",
"Vereador","CE","AQUIRAZ","PT","13660","JOSE MARIA ALVES DA SILVA","18","Não eleito","0.049","PT / PMDB",
"Vereador","CE","AQUIRAZ","PL","22580","JOSÉ ORLANDO DE FREITAS LIMA","1,004","Eleito","2.709","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PL","22222","JOSÉ TUPINANBÁ PONTES ARRUDA","221","Suplente","0.596","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PFL","25444","JOSE WILSON DANTAS DA SILVA","421","Suplente","1.136","PTB / PFL / PHS",
"Vereador","CE","AQUIRAZ","PT","13246","JOSEMAR RAMOS GADELHA","21","Não eleito","0.057","PT / PMDB",
"Vereador","CE","AQUIRAZ","PMDB","15678","KARLOS HENRIQUE VIEIRA DOS SANTOS","7","Não eleito","0.019","PT / PMDB",
"Vereador","CE","AQUIRAZ","PTN","19300","KATIUSCIA MAURICIO DA SILVA","0","Não eleito","0.000","PSL / PTN / PMN",
"Vereador","CE","AQUIRAZ","PL","22888","KLÉVIA CARDOSO DA SILVA","1","Suplente","0.003","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PSDC","27123","LUCIA MARIA SANTOS DE SOUZA","436","Suplente","1.177","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PT","13131","LUCYANE ALMEIDA GUEDES DA SILVA","39","Não eleito","0.105","PT / PMDB",
"Vereador","CE","AQUIRAZ","PDT","12123","LUIZA SIRLEY CASTELO CAVALCANTE MOTA","6","Suplente","0.016","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PSL","17123","MACIEL RODRIGUES CAVALCANTE","51","Não eleito","0.138","PSL / PTN / PMN",
"Vereador","CE","AQUIRAZ","PSB","40789","MANOEL PEREIRA DOS SANTOS","159","Suplente","0.429","PSB / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PSC","20789","MARCOS ANTÔNIO GAMELEIRA DE SOUZA","33","Suplente","0.089","PSC / PAN / PV",
"Vereador","CE","AQUIRAZ","PP","11111","MARCOS CALLOU BARROS","2,166","Eleito","5.845","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PT","13789","MARDONIO PINHEIRO DA COSTA","94","Não eleito","0.254","PT / PMDB",
"Vereador","CE","AQUIRAZ","PMDB","15007","MARIA ALBANIZA ROCHA DA CUNHA","225","Não eleito","0.607","PT / PMDB",
"Vereador","CE","AQUIRAZ","PRP","44555","MARIA AUGUSTA RODRIGUES DA SILVA","291","Suplente","0.785","PSB / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PTB","14567","MARIA DAS GRAÇAS KOS FEITOSA","173","Suplente","0.467","PTB / PFL / PHS",
"Vereador","CE","AQUIRAZ","PL","22333","MARIA DAS GRAÇAS PINHEIRO DE HOLANDA","34","Suplente","0.092","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PP","11112","MARIA DE FATIMA GONZAGA BARRETO","11","Suplente","0.030","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PV","43456","MARIA DO ROSÁRIO GUIMARÃES","171","Suplente","0.461","PSC / PAN / PV",
"Vereador","CE","AQUIRAZ","PT","13713","MARIA DO SOCORRO BARROS SBRISSA","26","Não eleito","0.070","PT / PMDB",
"Vereador","CE","AQUIRAZ","PSB","40456","MARIA EDILENE DA CUNHA","47","Suplente","0.127","PSB / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PV","43678","MARIA LÚCIA SILVA LIMA","995","Eleito por Média","2.685","PSC / PAN / PV",
"Vereador","CE","AQUIRAZ","PTB","14123","MARIA LUIZA CAMELO DE FREITAS","372","Suplente","1.004","PTB / PFL / PHS",
"Vereador","CE","AQUIRAZ","PT","13013","MARIA OZANEIDE DE PAULO","27","Não eleito","0.073","PT / PMDB",
"Vereador","CE","AQUIRAZ","PL","22345","MARIA ROSEMARY CARDOSO HERCULANO","192","Suplente","0.518","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PPS","23222","MARIA VANUZIA ASSUNÇÃO MOREIRA","885","Eleito","2.388","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PSDB","45555","MARIA ZILDENIR ALVES ASSUNÇÃO","4","Suplente","0.011","PSB / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PP","11666","MOISES PEREIRA DE ASSUNÇÃO","134","Suplente","0.362","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PTB","14000","NEIDE QUEIROZ DE FREITAS","1,386","Eleito","3.740","PTB / PFL / PHS",
"Vereador","CE","AQUIRAZ","PMN","33456","NERIAS CORREIA DE FREITAS","0","Não eleito","0.000","PSL / PTN / PMN",
"Vereador","CE","AQUIRAZ","PSDB","45103","NEUZILENE DOS SANTOS FERREIRA","53","Suplente","0.143","PSB / PRP / PSDB",
"Vereador","CE","BARBALHA","PT","13130","TERESINHA VIEIRA","350","Suplente","1.272","PDT / PPS / PV / PT",
"Vereador","CE","BARBALHA","PDT","12345","VALDEMAR ANTERO DA SILVA","355","Suplente","1.290","PDT / PPS / PV / PT",
"Vereador","CE","BARBALHA","PPS","23457","VICENTE AVELAR CAVALCANTE SAMPAIO","151","Suplente","0.549","PDT / PPS / PV / PT",
"Vereador","CE","BARBALHA","PSB","40000","WASHINGTON FURTADO DA CRUZ","277","Suplente","1.007","PMDB / PFL / PSB",
"Vereador","CE","BARBALHA","PSDB","45151","WILSON ALVES FERREIRA","274","Suplente","0.996","PTB / PSDB",
"Vereador","CE","BARREIRA","PP","11555","ADRIANO PEREIRA DA SILVA","135","Suplente","1.124","PT / PFL / PP / PV / PRP",
