Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (ESPIRITO SANTO) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:48:50  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","ES","AFONSO CLAUDIO","PAN","26633","ABILIO ASSIS VIANA","23","Não eleito","0.120","(sem coligação)",
"Vereador","ES","AFONSO CLAUDIO","PMDB","15123","ADEILDE DAVEL DE OLIVEIRA","319","Eleito","1.658","PDT / PMDB / PPS",
"Vereador","ES","AFONSO CLAUDIO","PP","11678","ADERALDO ARMANI","477","Suplente","2.479","PP / PMN",
"Vereador","ES","AFONSO CLAUDIO","PSB","40234","AGENOR SERPA NETO","41","Suplente","0.213","PTB / PSB / PSDB",
"Vereador","ES","AFONSO CLAUDIO","PFL","25654","ALEXANDRE AMARILDO VIRGINIO","538","Suplente","2.796","PFL / PT do B",
"Vereador","ES","AFONSO CLAUDIO","PAN","26560","ALEXANDRE CELSO SOARES TOSTA","89","Não eleito","0.463","(sem coligação)",
"Vereador","ES","AFONSO CLAUDIO","PT do B","70123","ALTAMIRO THADEU FRONTINO SOBREIRO","1,155","Eleito","6.002","PFL / PT do B",
"Vereador","ES","AFONSO CLAUDIO","PAN","26456","AMILTON PEREIRA GUEDES","10","Não eleito","0.052","(sem coligação)",
"Vereador","ES","AFONSO CLAUDIO","PP","11000","ANDERSON SALOME LENK","790","Eleito","4.106","PP / PMN",
"Vereador","ES","AFONSO CLAUDIO","PSC","20222","ANTONIO RICARDO FREISLEBEM DA ROCHA","42","Não eleito","0.218","PT / PSC",
"Vereador","ES","AFONSO CLAUDIO","PL","22678","BALBINO VARGAS GUISSO","270","Não eleito","1.403","(sem coligação)",
"Vereador","ES","AFONSO CLAUDIO","PP","11144","BELARMINO KIEFER","47","Suplente","0.244","PP / PMN",
"Vereador","ES","AFONSO CLAUDIO","PSB","40789","CARLOS ROBERTO TRISTAO DE SOUZA","704","Eleito","3.659","PTB / PSB / PSDB",
"Vereador","ES","AFONSO CLAUDIO","PL","22654","CLAUDIA LOPES DE VARGAS","60","Não eleito","0.312","(sem coligação)",
"Vereador","ES","AFONSO CLAUDIO","PPS","23333","CRISTIANO BELIZARIO DUARTE","144","Suplente","0.748","PDT / PMDB / PPS",
"Vereador","ES","AFONSO CLAUDIO","PP","11679","CUSTODIO BARONE NETO","186","Suplente","0.967","PP / PMN",
"Vereador","ES","AFONSO CLAUDIO","PMDB","15222","DANIEL JOSE BENTO","35","Suplente","0.182","PDT / PMDB / PPS",
"Vereador","ES","AFONSO CLAUDIO","PSC","20666","DARCI CAMPORES","123","Não eleito","0.639","PT / PSC",
"Vereador","ES","AFONSO CLAUDIO","PSC","20123","DENIZAR ANTONIO SCHIAVO","10","Não eleito","0.052","PT / PSC",
"Vereador","ES","AFONSO CLAUDIO","PPS","23789","ELCI LEOPOLDINA DA COSTA PIANESSOLLA","30","Suplente","0.156","PDT / PMDB / PPS",
"Vereador","ES","AFONSO CLAUDIO","PFL","25678","ELI FRANCISCO DA SILVA","321","Suplente","1.668","PFL / PT do B",
"Vereador","ES","AFONSO CLAUDIO","PP","11623","ELIAS DE JESUS BARROS","225","Suplente","1.169","PP / PMN",
"Vereador","ES","AFONSO CLAUDIO","PT","13120","ELIZEU CANDIDO DE SOUZA","23","Não eleito","0.120","PT / PSC",
"Vereador","ES","AFONSO CLAUDIO","PT","13200","ELOY MAGESQUI","64","Não eleito","0.333","PT / PSC",
"Vereador","ES","AFONSO CLAUDIO","PP","11670","ERNILDO KLUZ","628","Eleito por Média","3.264","PP / PMN",
"Vereador","ES","AFONSO CLAUDIO","PL","22644","ESMELINDA KRAUSE DE ALMEIDA","28","Não eleito","0.146","(sem coligação)",
"Vereador","ES","AFONSO CLAUDIO","PSC","20220","EUGENIO MIGUEL LEITE TELLES","37","Não eleito","0.192","PT / PSC",
"Vereador","ES","AFONSO CLAUDIO","PL","22615","FLORENTINO BINOW","427","Não eleito","2.219","(sem coligação)",
"Vereador","ES","AFONSO CLAUDIO","PT do B","70456","FRANCISCO ILARIO CONTREIRO","71","Suplente","0.369","PFL / PT do B",
"Vereador","ES","AFONSO CLAUDIO","PTB","14720","FRANZ SCHAFFEL","394","Eleito por Média","2.048","PTB / PSB / PSDB",
"Vereador","ES","AFONSO CLAUDIO","PAN","26789","GILMAR DA SILVA SOARES","52","Não eleito","0.270","(sem coligação)",
"Vereador","ES","AFONSO CLAUDIO","PAN","26464","HENRIQUE DA SILVA MARCOS FILHO","18","Não eleito","0.094","(sem coligação)",
"Vereador","ES","AFONSO CLAUDIO","PFL","25677","IVONE BRAGA ROSA","19","Suplente","0.099","PFL / PT do B",
"Vereador","ES","BAIXO GUANDU","PTB","14222","CRISTIANI ROCHA","16","Não eleito","0.093","PTB / PAN",
"Vereador","ES","BAIXO GUANDU","PTB","14456","CRISTIANO MATIAS ZOPELARI","68","Não eleito","0.397","PTB / PAN",
"Vereador","ES","BAIXO GUANDU","PRTB","28987","DARY ALVES PAGUNG","392","Eleito","2.289","PRTB / PTC",
"Vereador","ES","BAIXO GUANDU","PPS","23000","DECIO ELIAS GOMES DA ROCHA","56","Suplente","0.327","PSC / PPS",
"Vereador","ES","BAIXO GUANDU","PP","11631","DEUSETE MARIA COSTA","157","Não eleito","0.917","PP / PTN",
"Vereador","ES","BAIXO GUANDU","PSB","40444","DIONIL RUELA","54","Não eleito","0.315","PT / PSB / PV",
"Vereador","ES","BAIXO GUANDU","PFL","25600","DONOZOR LUIS CARVALHO","126","Não eleito","0.736","PL / PFL / PHS / PMN",
"Vereador","ES","BAIXO GUANDU","PRTB","28569","EDMAR VIEIRA","132","Suplente","0.771","PRTB / PTC",
"Vereador","ES","BAIXO GUANDU","PAN","26222","EDMILSON FRAGA","12","Não eleito","0.070","PTB / PAN",
"Vereador","ES","BAIXO GUANDU","PMDB","15122","EDSON TEIXEIRA DE ARAUJO","147","Suplente","0.858","PMDB / PRONA",
"Vereador","ES","BAIXO GUANDU","PC do B","65234","ELI CORTELETTI GONÇALVES","59","Não eleito","0.345","PC do B / PT do B / PRP",
"Vereador","ES","BAIXO GUANDU","PV","43123","ELIAS DE OLIVEIRA GOMES","60","Não eleito","0.350","PT / PSB / PV",
"Vereador","ES","BAIXO GUANDU","PC do B","65131","ELIAS STORCH JUNIOR","6","Não eleito","0.035","PC do B / PT do B / PRP",
"Vereador","ES","BAIXO GUANDU","PMDB","15636","ELISEU SIQUEIRA LIMA","182","Suplente","1.063","PMDB / PRONA",
"Vereador","ES","BAIXO GUANDU","PSDB","45789","ELIZETE TAVARES MODENEZE","35","Não eleito","0.204","(sem coligação)",
"Vereador","ES","BAIXO GUANDU","PMDB","15446","ELIZEU ALVES PEREIRA","22","Suplente","0.128","PMDB / PRONA",
"Vereador","ES","BAIXO GUANDU","PSDC","27000","ELSON LUIZ MONTEBELLER ALVES","89","Não eleito","0.520","PDT / PSL / PSDC",
"Vereador","ES","BAIXO GUANDU","PSC","20456","ELVINO PERCÍLIOS","99","Suplente","0.578","PSC / PPS",
"Vereador","ES","BAIXO GUANDU","PFL","25660","ERLON CARLOS ALVES PIROLA","233","Não eleito","1.361","PL / PFL / PHS / PMN",
"Vereador","ES","BAIXO GUANDU","PPS","23222","ESTÊNIO VON RONDOW","6","Suplente","0.035","PSC / PPS",
"Vereador","ES","BAIXO GUANDU","PT","13123","EZIDIO CARNEIRO NATALI","41","Não eleito","0.239","PT / PSB / PV",
"Vereador","ES","BAIXO GUANDU","PPS","23789","FABIANO ALBUQUERQUE CANUTO","299","Eleito por Média","1.746","PSC / PPS",
"Vereador","ES","BAIXO GUANDU","PRTB","28135","FABIANO WESTPHAL","133","Suplente","0.777","PRTB / PTC",
