Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (GOIAS) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:49:06  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","GO","ALOANDIA","PMDB","15604","HAILTON FELÍCIO MARTINS","57","Suplente","3.656","(sem coligação)",
"Vereador","GO","ALOANDIA","PL","22222","HELIO NAVES DA SILVA","93","Eleito","5.965","PSDB / PL / PT / PPS",
"Vereador","GO","ALOANDIA","PMDB","15605","ILÇA AUGUSTO DA SILVA","33","Suplente","2.117","(sem coligação)",
"Vereador","GO","ALOANDIA","PSDB","45614","JOAO BATISTA ALVES","24","Suplente","1.539","PSDB / PL / PT / PPS",
"Vereador","GO","ALOANDIA","PMDB","15603","JORGE EURÍPEDES CÂNDIDO","45","Suplente","2.886","(sem coligação)",
"Vereador","GO","ALOANDIA","PMDB","15602","JUAREZ MENDES FERREIRA","93","Eleito","5.965","(sem coligação)",
"Vereador","GO","ALOANDIA","PPS","23111","LUIZ ANTONIO DE FREITAS","49","Suplente","3.143","PSDB / PL / PT / PPS",
"Vereador","GO","ALOANDIA","PMDB","15607","MANOEL GOMES DOS SANTOS","96","Eleito","6.158","(sem coligação)",
"Vereador","GO","ALOANDIA","PSDB","45612","NOROEL VICENTE LOPES","104","Eleito","6.671","PSDB / PL / PT / PPS",
"Vereador","GO","ALOANDIA","PSDB","45600","OSVALDO FRANCISCO RAIMUNDO","46","Suplente","2.951","PSDB / PL / PT / PPS",
"Vereador","GO","ALOANDIA","PMDB","15606","SINOMAR JOSÉ DO CARMO","106","Eleito","6.799","(sem coligação)",
"Vereador","GO","ALOANDIA","PSDB","45611","WILLIAN HENNER SILVA","88","Eleito","5.645","PSDB / PL / PT / PPS",
"Vereador","GO","ALOANDIA","PMDB","15610","WILSON FERREIRA PRIMO","83","Eleito por Média","5.324","(sem coligação)",
"Vereador","GO","ALTO HORIZONTE","PSDB","45455","ADAIR BALBINO DA SILVA","60","Suplente","3.158","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO HORIZONTE","PMDB","15609","ALTAIR JOSÉ DE SOUZA","26","Suplente","1.368","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PP","11113","ARISTONIDES GONÇALVES FILHO","54","Suplente","2.842","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO HORIZONTE","PFL","25104","DIVINO SOUSA SILVA","13","Suplente","0.684","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PMDB","15602","EDVALDO DE SOUZA LEITE","20","Suplente","1.053","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PP","11145","ELIS REJAINE GONÇALVES LEÃO","50","Suplente","2.632","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO HORIZONTE","PMDB","15603","ERNANES PEREIRA DO COUTO","60","Suplente","3.158","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PP","11112","GERALDO PEREIRA LUCAS","30","Suplente","1.579","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO HORIZONTE","PFL","25102","HERNANDES MAURICIO DA SILVA","104","Eleito","5.474","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PMDB","15606","IVONETE JOSÉ DOS SANTOS","4","Suplente","0.211","PMDB / PL / PFL",
