Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (MARANHAO) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:50:34  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","MA","ACAILANDIA","PC do B","65600","ADONIAS CUNHA CAVALCANTE","67","Não eleito","0.145","(sem coligação)",
"Vereador","MA","ACAILANDIA","PSDB","45222","ALAIRDE SOARES SOUSA","180","Suplente","0.389","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PSB","40123","ALBERTO NOGUEIRA LAGO","114","Suplente","0.247","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PFL","25680","ALUISIO SILVA SOUSA","1,450","Eleito","3.136","PFL / PMN",
"Vereador","MA","ACAILANDIA","PC do B","65123","ANTONIO DOS SANTOS ASSIS","28","Não eleito","0.061","(sem coligação)",
"Vereador","MA","ACAILANDIA","PT","13123","ANTONIO ERISMAR DE CASTRO","384","Suplente","0.830","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PRONA","56333","ANTONIO FERREIRA DE OLIVEIRA SOBRINHO","762","Suplente","1.648","PSC / PL / PPS / PHS / PRONA",
"Vereador","MA","ACAILANDIA","PRONA","56789","ANTONIO GOMES DE OLIVEIRA TORRES","705","Suplente","1.525","PSC / PL / PPS / PHS / PRONA",
"Vereador","MA","ACAILANDIA","PC do B","65321","ANTONIO LEITE GAMA","36","Não eleito","0.078","(sem coligação)",
"Vereador","MA","ACAILANDIA","PSDB","45555","ANTONIO MORAIS FERREIRA","165","Suplente","0.357","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PTB","14660","ANTONIO ROFINO DA SILVA","215","Suplente","0.465","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PPS","23456","ARLETE CUTRIM OLIVEIRA","821","Suplente","1.775","PSC / PL / PPS / PHS / PRONA",
"Vereador","MA","ACAILANDIA","PP","11444","ASSAPLACIO SOUSA ALMEIDA","52","Suplente","0.112","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PRP","44333","AURINO FERREIRA DAS NEVES","73","Suplente","0.158","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PAN","26669","BENEDITO DINIZ SALES","23","Suplente","0.050","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PT","13678","BENILDA LUSQUINHO MORAES","24","Suplente","0.052","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PMN","33123","BERNADETE SOCORRO DE OLIVEIRA ARAÚJO","0","Registro negado antes da eleição","0.000","PFL / PMN",
"Vereador","MA","ACAILANDIA","PTC","36789","CARLOS ALBERTO MIRANDA DA COSTA","1,495","Eleito","3.233","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PTC","36777","CARLOS RONALDO DE AZEVEDO FREITAS","146","Suplente","0.316","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PSDC","27123","CEDALIA LEOMIL","1","Suplente","0.002","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PP","11123","CELSO ALVES MEIRA FILHO","338","Suplente","0.731","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PMDB","15456","DANIEL LUIS DOS PRAZERES CAMPOS","475","Suplente","1.027","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PTC","36123","DIOMAR DA SILVA FREIRE","1,162","Eleito por Média","2.513","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PSL","17123","DOGIVAL GERONIMO DA SILVA","174","Suplente","0.376","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PFL","25679","EDINALDO MOURA","488","Suplente","1.055","PFL / PMN",
"Vereador","MA","ACAILANDIA","PT","13333","EDNA MARIA ALVES DOS SANTOS","389","Suplente","0.841","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PTC","36177","ELENITA SANTOS MESQUITA","284","Suplente","0.614","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PL","22111","ELIA MILHOMEM BANDEIRA","82","Suplente","0.177","PSC / PL / PPS / PHS / PRONA",
"Vereador","MA","ACAILANDIA","PRP","44151","EULALIA DIAS DO NORTE","685","Suplente","1.481","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PMN","33533","EUTIMIO GONÇALVES VIANA","612","Suplente","1.324","PFL / PMN",
"Vereador","MA","ACAILANDIA","PSDB","45789","FÁBIO PEREIRA DA CRUZ","878","Suplente","1.899","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PTC","36987","FERNANDO CARVALHO DE ALMEIDA","96","Suplente","0.208","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PC do B","65789","FRANCELSON SILVA ALENCAR","0","Registro negado antes da eleição","0.000","(sem coligação)",
"Vereador","MA","ACAILANDIA","PMN","33456","FRANCISCA FERREIRA DE SOUSA","579","Suplente","1.252","PFL / PMN",
"Vereador","MA","ACAILANDIA","PFL","25345","FRANCISCA VERAS CAMPOS","150","Suplente","0.324","PFL / PMN",
"Vereador","MA","ACAILANDIA","PT","13456","FRANCISCO ARAÚJO PINHO","311","Suplente","0.673","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PTB","14333","FRANCISCO BIAPINA DE AGUIAR","143","Suplente","0.309","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PC do B","65456","FRANCISCO DAS CHAGAS DE CARVALHO MELO","30","Não eleito","0.065","(sem coligação)",
"Vereador","MA","ACAILANDIA","PMDB","15789","FRANCISCO GOMES DE MORAIS","143","Suplente","0.309","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PT","13554","FRANCISCO GOMES MARTINS","51","Suplente","0.110","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PV","43123","FRANCISCO RAIFLAN DA CONCEICÇAÕ SILVA","368","Suplente","0.796","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PSDB","45236","GERALDA DE SOUZA ROCHA","265","Suplente","0.573","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PHS","31122","GONÇALO JOSE DA SILVA","313","Suplente","0.677","PSC / PL / PPS / PHS / PRONA",
"Vereador","MA","ACAILANDIA","PSDB","45677","HELIO BATISTA DOS SANTOS","1,250","Eleito","2.703","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PSDB","45640","HILDEBRANDO VIEIRA DE SÁ","507","Suplente","1.096","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PMN","33678","IDALECIO GIGANTE GRAMA","444","Suplente","0.960","PFL / PMN",
"Vereador","MA","ACAILANDIA","PMDB","15151","INACIO PEREIRA DA SILVA","585","Suplente","1.265","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PDT","12258","IVANILDE FARIAS SIQUEIRA","112","Suplente","0.242","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PHS","31456","IVO PEREIRA DE SOUSA","225","Suplente","0.487","PSC / PL / PPS / PHS / PRONA",
"Vereador","MA","ACAILANDIA","PDT","12222","IZAC DIAS GUEDES","70","Suplente","0.151","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PSDB","45123","JOÃO CHAVES CARVALHEDO","445","Suplente","0.962","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PP","11190","JOÃO GONÇALVES DE LIMA FILHO","343","Suplente","0.742","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PV","43500","JOEL FALQUETO","721","Suplente","1.559","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PDT","12000","JOELSON ERNOBIO VICENTINI","258","Suplente","0.558","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PMDB","15234","JOMAR NUNES","130","Suplente","0.281","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PFL","25678","JOSÉ  DE RIBAMAR XAVIER","59","Suplente","0.128","PFL / PMN",
"Vereador","MA","ACAILANDIA","PP","11234","JOSE CARDOSO DE ARAUJO","550","Suplente","1.189","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PAN","26456","JOSE DE RIBAMAR TEIXEIRA","184","Suplente","0.398","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PTB","14602","JOSÉ ELI MOREIRA MARTINS","894","Eleito por Média","1.933","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PMN","33234","JOSÉ FRANCISCO GONÇALVES SOUSA","1,526","Eleito","3.300","PFL / PMN",
"Vereador","MA","ACAILANDIA","PTB","14123","JOSE GONÇALVES LAUNDOS JUNIOR","661","Suplente","1.429","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PHS","31538","JOSE JOSIVAN BARBOSA","0","Registro negado antes da eleição","0.000","PSC / PL / PPS / PHS / PRONA",
"Vereador","MA","ACAILANDIA","PMN","33255","JOSÉ MENESES SOBRINHO","73","Suplente","0.158","PFL / PMN",
"Vereador","MA","ACAILANDIA","PRP","44678","JOSÉ MESSIAS LIMA DA SILVA","60","Suplente","0.130","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PAN","26777","JOSÉ PEREIRA DE SOUSA","355","Suplente","0.768","PP / PDT / PAN / PSDC / PRTB",
"Vereador","MA","ACAILANDIA","PSB","40523","JOSÉ SARNEY MOREIRA","906","Eleito","1.959","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PC do B","65655","JOSÉ WILSON DA SILVA","7","Não eleito","0.015","(sem coligação)",
"Vereador","MA","ACAILANDIA","PRP","44123","JOSIVALDO ALVES POLICARPO","344","Suplente","0.744","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PMDB","15123","JOSUÉ ALVES DE SOUSA","1,158","Eleito","2.504","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PV","43234","JUDITE GONÇALVES LIMA","1,156","Eleito","2.500","PMDB / PV / PRP",
"Vereador","MA","ACAILANDIA","PSB","40538","ADEILSON PEREIRA DE SANTANA","303","Suplente","0.655","PT / PTB / PSB",
"Vereador","MA","ACAILANDIA","PC do B","65654","ADELSON FERREIRA DO NASCIMENTO","13","Não eleito","0.028","(sem coligação)",
"Vereador","MA","ACAILANDIA","PSDB","45455","ADEMIR BARBOSA LIMA","409","Suplente","0.884","PSL / PTC / PSDB",
"Vereador","MA","ACAILANDIA","PRP","44351","ADONIAS CARNEIRO DA SILVA","88","Suplente","0.190","PMDB / PV / PRP",
"Vereador","MA","ANAJATUBA","PSC","20222","LOURIVAL MENDES SILVA","271","Suplente","1.959","(sem coligação)",
"Vereador","MA","ANAJATUBA","PTB","14444","LUCIANE DE FATIMA REGO MENDES","2","Suplente","0.014","PDT / PTB / PMN / PSB",
"Vereador","MA","ANAJATUBA","PSC","20888","LUIS MAURO GUIA DUTRA","106","Suplente","0.766","(sem coligação)",
"Vereador","MA","ANAJATUBA","PT","13333","MANUEL DE JESUS MARTINS RODRIGUES","578","Eleito","4.179","PT / PV",
