Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (ALAGOAS) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
25/04/2009 - 20:35:53  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","AL","AGUA BRANCA","PMN","33333","JOSÉ PAULO DOS SANTOS","741","Eleito","7.623","PT / PMN / PSB",
"Vereador","AL","AGUA BRANCA","PRP","44222","JOSÉ ROBERTO DA SILVA","109","Suplente","1.121","PMDB / PRP",
"Vereador","AL","AGUA BRANCA","PP","11999","JOSÉ RODRIGUES SOBRINHO","29","Suplente","0.298","(sem coligação)",
"Vereador","AL","AGUA BRANCA","PT","13333","JOSÉ SILVA DOS SANTOS","218","Suplente","2.243","PT / PMN / PSB",
"Vereador","AL","AGUA BRANCA","PSB","40999","LOURIVAL GOMES CORREIA","87","Suplente","0.895","PT / PMN / PSB",
"Vereador","AL","AGUA BRANCA","PMDB","15123","LOURIVAL MANOEL DA SILVA","357","Suplente","3.673","PMDB / PRP",
"Vereador","AL","AGUA BRANCA","PRP","44444","MARCELINO TEIXEIRA LIMA","1","Suplente","0.010","PMDB / PRP",
"Vereador","AL","AGUA BRANCA","PSB","40555","MARIA HELENA BARROZO DE SOUZA SILVA","193","Suplente","1.986","PT / PMN / PSB",
"Vereador","AL","AGUA BRANCA","PMDB","15114","MARIA ODETE XAVIER DE OLIVEIRA","26","Suplente","0.267","PMDB / PRP",
"Vereador","AL","AGUA BRANCA","PP","11123","MARIA VANILDA DA SILVA","60","Suplente","0.617","(sem coligação)",
"Vereador","AL","AGUA BRANCA","PP","11222","MARLEIDE DO NASCIMENTO MALTA CORDEIRO","282","Suplente","2.901","(sem coligação)",
"Vereador","AL","AGUA BRANCA","PSB","40456","PEDRO BARBOZA DA SILVA","124","Suplente","1.276","PT / PMN / PSB",
"Vereador","AL","AGUA BRANCA","PMDB","15618","PEDRO BARROS FREIRE","356","Suplente","3.663","PMDB / PRP",
"Vereador","AL","AGUA BRANCA","PMDB","15111","QUITÉRIA XAVIER LIMA DE OLIVEIRA","117","Suplente","1.204","PMDB / PRP",
"Vereador","AL","AGUA BRANCA","PSB","40789","RAFAEL TOLEDO SILVA CAMPOS","138","Suplente","1.420","PT / PMN / PSB",
"Vereador","AL","AGUA BRANCA","PRP","44555","REGINALDO ENOQUE DOS SANTOS","24","Suplente","0.247","PMDB / PRP",
"Vereador","AL","AGUA BRANCA","PP","11000","RENATO RODRIGUES LIMA","292","Suplente","3.004","(sem coligação)",
"Vereador","AL","AGUA BRANCA","PT","13111","RIVERIA MELO DA SILVA","0","Suplente","0.000","PT / PMN / PSB",
"Vereador","AL","AGUA BRANCA","PSB","40444","RONALDO GOLÇALVES DA SILVA","41","Suplente","0.422","PT / PMN / PSB",
"Vereador","AL","AGUA BRANCA","PMDB","15699","TÂNIA MARIA BARBOSA VIEIRA COSTA","695","Eleito","7.150","PMDB / PRP",
"Vereador","AL","AGUA BRANCA","PSB","40123","VILMAR ANTONIO DA SILVA SOUSA","493","Eleito","5.072","PT / PMN / PSB",
"Vereador","AL","ANADIA","PRP","44444","ADALBERTO TEIXEIRA ROCHA JUNIOR","356","Eleito","3.943","PDT / PRP / PSDB",
"Vereador","AL","ANADIA","PDT","12123","AMAURI MESSIAS BARBOSA","40","Suplente","0.443","PDT / PRP / PSDB",
"Vereador","AL","ANADIA","PFL","25555","ANGELA MARIA NUNES DOS SANTOS","18","Suplente","0.199","PMDB / PL / PFL",
"Vereador","AL","ANADIA","PT","13333","ANTONIO CÍCERO HOLANDA NETO","494","Eleito","5.471","PP / PT / PPS / PRTB / PSB",
"Vereador","AL","ANADIA","PTN","19000","ANTONIO VIDAL DA SILVA","1","Não eleito","0.011","(sem coligação)",
"Vereador","AL","ANADIA","PTN","19999","CLAUDIONORA DA SILVA SANTANA","0","Registro negado antes da eleição","0.000","(sem coligação)",
"Vereador","AL","ANADIA","PL","22222","EDIRAJAR FALCÃO PEDROSA","385","Eleito","4.264","PMDB / PL / PFL",
"Vereador","AL","ANADIA","PSDB","45111","EDVALDO PEREIRA","17","Suplente","0.188","PDT / PRP / PSDB",
"Vereador","AL","ANADIA","PPS","23111","EVA LIMA ROCHA MEDEIROS MOURA","347","Suplente","3.843","PP / PT / PPS / PRTB / PSB",
"Vereador","AL","ANADIA","PL","22000","FABIO ALEXANDRE PEDROSA FIDELIS","217","Suplente","2.403","PMDB / PL / PFL",
"Vereador","AL","ANADIA","PSDB","45789","FRANCISCO ROMEIRO DOS SANTOS","122","Suplente","1.351","PDT / PRP / PSDB",
"Vereador","AL","ARAPIRACA","PHS","31777","RAIMUNDO EVANDRO BATISTA DA SILVA","396","Não eleito","0.473","PHS / PRP / PC do B",
"Vereador","AL","ARAPIRACA","PT do B","70111","RAIMUNDO SANTOS","374","Suplente","0.447","PAN / PT do B",
"Vereador","AL","ARAPIRACA","PMN","33111","RICARDO PEREIRA MELO","4,167","Eleito","4.977","PMDB / PSC / PMN / PSDB",
"Vereador","AL","ARAPIRACA","PTC","36999","ROBERIO LIMA ATAIDE","894","Não eleito","1.068","PRTB / PTC",
"Vereador","AL","ARAPIRACA","PTC","36888","ROBSON VIEIRA CANUTO","97","Não eleito","0.116","PRTB / PTC",
"Vereador","AL","ARAPIRACA","PSDB","45699","RONALDO DE OLIVEIRA SILVA","1,655","Suplente","1.977","PMDB / PSC / PMN / PSDB",
"Vereador","AL","ARAPIRACA","PSB","40000","RONALDY VITAL RIOS","1,669","Suplente","1.993","PTB / PSB",
"Vereador","AL","ARAPIRACA","PAN","26111","ROSINALVA FARIAS DOS SANTOS","66","Suplente","0.079","PAN / PT do B",
"Vereador","AL","ARAPIRACA","PTN","19258","SEVERINA AMORIM SILVA","42","Suplente","0.050","PDT / PT / PTN / PSDC",
"Vereador","AL","ARAPIRACA","PT do B","70777","SIDNEY VIEIRA BARBOSA","1,461","Eleito","1.745","PAN / PT do B",
"Vereador","AL","ARAPIRACA","PT do B","70987","TAMAR FERNANDES DOS SANTOS","295","Suplente","0.352","PAN / PT do B",
"Vereador","AL","ARAPIRACA","PTB","14789","TARCIZO SAMPAIO FREIRE","2,526","Eleito","3.017","PTB / PSB",
"Vereador","AL","ARAPIRACA","PTN","19800","TEREZINHA MAGALHAES CEZAR","310","Suplente","0.370","PDT / PT / PTN / PSDC",
