Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (MA) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:28:32  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"MA","FORTALEZA DOS NOGUEIRAS","PAN","Vereador","0","0","0","0","6.955","0.000",
"MA","FORTUNA","PAN","Vereador","0","0","0","0","9.063","0.000",
"MA","GODOFREDO VIANA","PAN","Vereador","0","0","0","0","4.223","0.000",
"MA","GONCALVES DIAS","PAN","Vereador","0","0","0","0","8.743","0.000",
"MA","GOVERNADOR ARCHER","PAN","Vereador","0","0","0","0","5.356","0.000",
"MA","GOVERNADOR EDSON LOBAO","PAN","Vereador","0","9","30","39","6.430","0.607",
"MA","GOVERNADOR EUGENIO BARROS","PAN","Vereador","0","0","0","0","7.271","0.000",
"MA","GOVERNADOR LUIZ ROCHA","PAN","Vereador","0","0","0","0","5.033","0.000",
"MA","GOVERNADOR NEWTON BELLO","PAN","Vereador","0","7","73","80","5.987","1.336",
"MA","GOVERNADOR NUNES FREIRE","PAN","Vereador","0","14","0","14","9.293","0.151",
"MA","GRACA ARANHA","PAN","Vereador","0","0","0","0","3.936","0.000",
"MA","GRAJAU","PAN","Vereador","0","0","0","0","24.014","0.000",
"MA","GUIMARAES","PAN","Vereador","0","11","140","151","7.321","2.063",
"MA","HUMBERTO DE CAMPOS","PAN","Vereador","0","6","54","60","12.843","0.467",
"MA","ICATU","PAN","Vereador","0","63","1,272","1,335","14.102","9.467",
"MA","IGARAPE DO MEIO","PAN","Vereador","0","15","161","176","5.534","3.180",
"MA","IGARAPE GRANDE","PAN","Vereador","0","0","0","0","6.220","0.000",
"MA","IMPERATRIZ","PAN","Vereador","0","0","0","0","108.636","0.000",
"MA","ITAIPAVA DO GRAJAU","PAN","Vereador","0","0","0","0","5.623","0.000",
"MA","ITAPECURU MIRIM","PAN","Vereador","0","0","0","0","25.404","0.000",
"MA","ITINGA DO MARANHAO","PAN","Vereador","0","0","0","0","13.320","0.000",
"MA","JATOBA","PAN","Vereador","0","0","0","0","3.748","0.000",
"MA","JENIPAPO DOS VIEIRAS","PAN","Vereador","0","0","0","0","7.656","0.000",
"MA","JOAO LISBOA","PAN","Vereador","1","25","364","389","13.711","2.837",
"MA","JOSELANDIA","PAN","Vereador","0","0","0","0","8.416","0.000",
"MA","JUNCO DO MARANHAO","PAN","Vereador","0","0","0","0","3.229","0.000",
"MA","LAGO DA PEDRA","PAN","Vereador","0","0","0","0","22.853","0.000",
"MA","LAGO DO JUNCO","PAN","Vereador","1","24","844","868","5.598","15.506",
"MA","LAGO DOS RODRIGUES","PAN","Vereador","0","0","0","0","6.129","0.000",
"MA","LAGO VERDE","PAN","Vereador","0","3","6","9","7.746","0.116",
"MA","LAGOA DO MATO","PAN","Vereador","0","0","0","0","988","0.000",
"MA","LAGOA GRANDE DO MARANHAO","PAN","Vereador","1","27","317","344","5.748","5.985",
"MA","LAJEADO NOVO","PAN","Vereador","0","0","0","0","3.913","0.000",
"MA","LIMA CAMPOS","PAN","Vereador","0","0","0","0","7.302","0.000",
"MA","LORETO","PAN","Vereador","0","0","0","0","5.432","0.000",
"MA","LUIS DOMINGUES DO MARANHAO","PAN","Vereador","0","0","0","0","3.588","0.000",
"MA","MAGALHAES DE ALMEIDA","PAN","Vereador","0","0","0","0","8.065","0.000",
"MA","MARACACUME","PAN","Vereador","0","10","144","154","7.761","1.984",
"MA","MARAJA DO SENA","PAN","Vereador","0","0","0","0","5.403","0.000",
"MA","MARANHAOZINHO","PAN","Vereador","2","11","352","363","4.318","8.407",
"MA","MATA ROMA","PAN","Vereador","0","0","0","0","7.709","0.000",
"MA","MATINHA","PAN","Vereador","0","42","686","728","12.860","5.661",
"MA","MATOES","PAN","Vereador","0","0","0","0","14.079","0.000",
"MA","MATOES DO NORTE","PAN","Vereador","0","0","0","0","4.128","0.000",
"MA","MILAGRES DO MARANHAO","PAN","Vereador","0","7","66","73","3.429","2.129",
"MA","MIRADOR","PAN","Vereador","0","14","8","22","10.222","0.215",
"MA","MIRANDA DO NORTE","PAN","Vereador","0","0","0","0","9.580","0.000",
"MA","MIRINZAL","PAN","Vereador","1","16","516","532","7.060","7.535",
"MA","MONCAO","PAN","Vereador","0","12","28","40","12.951","0.309",
"MA","MONTES ALTOS","PAN","Vereador","0","0","0","0","5.702","0.000",
"MA","ALTO PARNAIBA","PAN","Vereador","0","0","0","0","4.866","0.000",
"MA","AMAPA DO MARANHAO","PAN","Vereador","0","7","74","81","3.333","2.430",
"MA","AMARANTE DO MARANHAO","PAN","Vereador","0","0","0","0","15.156","0.000",
"MA","ANAJATUBA","PAN","Vereador","0","0","0","0","13.832","0.000",
"MA","ANAPURUS","PAN","Vereador","0","0","0","0","7.295","0.000",
"MA","APICUM ACU","PAN","Vereador","0","0","0","0","6.157","0.000",
"MA","ARAGUANA","PAN","Vereador","1","9","250","259","4.851","5.339",
"MA","ARAIOSES","PAN","Vereador","0","0","0","0","18.647","0.000",
"MA","ARAME","PAN","Vereador","0","0","0","0","13.496","0.000",
"MA","ARARI","PAN","Vereador","0","4","0","4","15.756","0.025",
"MA","AXIXA","PAN","Vereador","0","0","0","0","6.536","0.000",
"MA","BACABAL","PAN","Vereador","0","15","18","33","43.754","0.075",
"MA","BACABEIRA","PAN","Vereador","0","0","0","0","7.887","0.000",
"MA","BACURI","PAN","Vereador","0","0","0","0","8.337","0.000",
"MA","BACURITUBA","PAN","Vereador","0","0","0","0","3.158","0.000",
"MA","BALSAS","PAN","Vereador","1","130","3,070","3,200","30.753","10.405",
"MA","BARAO DE GRAJAU","PAN","Vereador","0","8","136","144","9.161","1.572",
"MA","BARRA DO CORDA","PAN","Vereador","0","40","392","432","35.704","1.210",
"MA","BARREIRINHAS","PAN","Vereador","0","0","0","0","23.983","0.000",
"MA","BELA VISTA","PAN","Vereador","0","0","0","0","5.628","0.000",
"MA","BELAGUA","PAN","Vereador","0","0","0","0","3.616","0.000",
"MA","BENEDITO LEITE","PAN","Vereador","0","0","0","0","3.773","0.000",
"MA","BEQUIMAO","PAN","Vereador","0","13","1","14","11.817","0.118",
"MA","BERNARDO DO MEARIM","PAN","Vereador","0","0","0","0","3.351","0.000",
"MA","BOA VISTA DO GURUPI","PAN","Vereador","0","0","0","0","3.059","0.000",
"MA","BOM JARDIM","PAN","Vereador","0","0","0","0","17.109","0.000",
"MA","BOM JESUS DAS SELVAS","PAN","Vereador","0","21","0","21","11.124","0.189",
"MA","BOM LUGAR","PAN","Vereador","0","0","0","0","6.516","0.000",
"MA","BREJO","PAN","Vereador","0","0","0","0","15.922","0.000",
"MA","BREJO DE AREIA","PAN","Vereador","1","16","199","215","5.124","4.196",
"MA","BURITI","PAN","Vereador","2","158","2,379","2,537","12.335","20.567",
"MA","BURITI BRAVO","PAN","Vereador","0","28","479","507","11.035","4.594",
"MA","BURITICUPU","PAN","Vereador","0","21","0","21","25.305","0.083",
"MA","BURITIRANA","PAN","Vereador","0","0","0","0","7.767","0.000",
"MA","CACHOEIRA GRANDE","PAN","Vereador","0","0","0","0","4.263","0.000",
"MA","CAJAPIO","PAN","Vereador","0","0","0","0","5.842","0.000",
"MA","CAJARI","PAN","Vereador","0","8","37","45","8.864","0.508",
"MA","CAMPESTRE DO MARANHAO","PAN","Vereador","0","3","57","60","6.070","0.988",
"MA","CANDIDO MENDES","PAN","Vereador","2","36","851","887","8.533","10.395",
"MA","CANTANHEDE","PAN","Vereador","0","4","10","14","7.814","0.179",
"MA","CAPINZAL DO NORTE","PAN","Vereador","0","0","0","0","5.515","0.000",
"MA","CAROLINA","PAN","Vereador","0","0","0","0","12.475","0.000",
"MA","CARUTAPERA","PAN","Vereador","0","0","0","0","10.760","0.000",
"MA","CAXIAS","PAN","Vereador","0","34","459","493","64.490","0.764",
"MA","CEDRAL","PAN","Vereador","0","0","0","0","5.852","0.000",
"MA","CENTRAL DO MARANHAO","PAN","Vereador","0","0","0","0","4.134","0.000",
"MA","CENTRO DO GUILHERME","PAN","Vereador","0","0","0","0","3.613","0.000",
"MA","CENTRO NOVO DO MARANHAO","PAN","Vereador","0","0","0","0","5.553","0.000",
"MA","CHAPADINHA","PAN","Vereador","0","16","177","193","31.691","0.609",
"MA","CIDELANDIA","PAN","Vereador","0","0","0","0","6.660","0.000",
"MA","CODO","PAN","Vereador","0","114","2,231","2,345","49.532","4.734",
"MA","COELHO NETO","PAN","Vereador","0","56","781","837","23.666","3.537",
"MA","COLINAS","PAN","Vereador","0","34","0","34","16.507","0.206",
"MA","CONCEICAO DO LAGO ACU","PAN","Vereador","0","0","0","0","6.156","0.000",
"MA","COROATA","PAN","Vereador","1","40","1,065","1,105","27.713","3.987",
"MA","CURURUPU","PAN","Vereador","0","21","679","700","17.878","3.915",
"MA","DAVINOPOLIS","PAN","Vereador","0","6","166","172","6.837","2.516",
"MA","DOM PEDRO","PAN","Vereador","0","0","0","0","12.281","0.000",
"MA","DUQUE BACELAR","PAN","Vereador","0","0","0","0","5.440","0.000",
"MA","ESPERANTINOPOLIS","PAN","Vereador","0","0","0","0","9.994","0.000",
"MA","ESTREITO","PAN","Vereador","0","7","162","169","13.344","1.266",
"MA","FEIRA NOVA DO MARANHAO","PAN","Vereador","0","0","0","0","3.938","0.000",
"MA","FERNANDO FALCAO","PAN","Vereador","0","16","402","418","5.350","7.813",
"MA","FORMOSA DA SERRA NEGRA","PAN","Vereador","0","0","0","0","7.505","0.000",
"MA","SANTA FILOMENA DO MARANHAO","PAN","Vereador","0","0","0","0","3.761","0.000",
"MA","SANTA HELENA","PAN","Vereador","0","74","1,057","1,131","15.805","7.156",
"MA","SANTA INES","PAN","Vereador","0","54","580","634","38.424","1.650",
"MA","SANTA LUZIA","PAN","Vereador","0","32","173","205","32.252","0.636",
"MA","SANTA QUITERIA DO MARANHAO","PAN","Vereador","1","53","673","726","12.024","6.038",
"MA","SANTA RITA","PAN","Vereador","0","0","0","0","12.885","0.000",
"MA","SANTANA DO MARANHAO","PAN","Vereador","0","0","0","0","3.970","0.000",
"MA","SANTO AMARO DO MARANHAO","PAN","Vereador","0","0","0","0","6.321","0.000",
"MA","SANTO ANTONIO DOS LOPES","PAN","Vereador","0","0","0","0","8.817","0.000",
"MA","SAO BENEDITO DO RIO PRETO","PAN","Vereador","0","0","0","0","8.407","0.000",
"MA","SAO BENTO","PAN","Vereador","0","74","1,702","1,776","17.629","10.074",
"MA","SAO BERNARDO","PAN","Vereador","0","0","0","0","11.875","0.000",
"MA","SAO DOMINGOS DO AZEITAO","PAN","Vereador","0","0","0","0","4.076","0.000",
"MA","SAO DOMINGOS DO MARANHAO","PAN","Vereador","0","0","0","0","19.220","0.000",
"MA","SAO FELIX DE BALSAS","PAN","Vereador","0","0","0","0","2.923","0.000",
"MA","SAO FRANCISCO DO BREJAO","PAN","Vereador","0","0","0","0","4.373","0.000",
"MA","SAO FRANCISCO DO MARANHAO","PAN","Vereador","0","0","0","0","6.209","0.000",
"MA","SAO JOAO BATISTA","PAN","Vereador","0","0","0","0","13.726","0.000",
"MA","SAO JOAO DO CARU","PAN","Vereador","0","0","0","0","6.159","0.000",
"MA","SAO JOAO DO PARAISO","PAN","Vereador","0","8","152","160","5.979","2.676",
"MA","SAO JOAO DO SOTER","PAN","Vereador","0","8","127","135","7.726","1.747",
"MA","SAO JOAO DOS PATOS","PAN","Vereador","0","0","0","0","12.828","0.000",
"MA","SAO JOSE DE RIBAMAR","PAN","Vereador","1","61","1,718","1,779","41.719","4.264",
"MA","SAO JOSE DOS BASILIOS","PAN","Vereador","0","0","0","0","4.943","0.000",
"MA","SAO LUIS","PAN","Vereador","2","823","40,097","40,920","451.124","9.071",
"MA","SAO LUIS GONZAGA DO MARANHAO","PAN","Vereador","2","45","847","892","12.968","6.878",
"MA","SAO MATEUS DO MARANHAO","PAN","Vereador","0","27","104","131","17.299","0.757",
"MA","SAO PEDRO DA AGUA BRANCA","PAN","Vereador","0","0","0","0","5.494","0.000",
"MA","SAO PEDRO DOS CRENTES","PAN","Vereador","0","0","0","0","2.917","0.000",
"MA","SAO RAIMUNDO DA DOCA BEZERRA","PAN","Vereador","0","0","0","0","3.941","0.000",
"MA","SAO RAIMUNDO DAS MANGABEIRAS","PAN","Vereador","0","0","0","0","8.348","0.000",
"MA","SAO ROBERTO","PAN","Vereador","0","0","0","0","3.055","0.000",
"MA","SAO VICENTE FERRER","PAN","Vereador","0","16","176","192","10.153","1.891",
"MA","SATUBINHA","PAN","Vereador","0","0","0","0","3.375","0.000",
"MA","SENADOR ALEXANDRE COSTA","PAN","Vereador","0","0","0","0","5.002","0.000",
"MA","SENADOR LA ROQUE","PAN","Vereador","0","13","148","161","12.087","1.332",
"MA","SERRANO DO MARANHAO","PAN","Vereador","0","0","0","0","5.558","0.000",
"MA","SITIO NOVO","PAN","Vereador","0","0","0","0","6.995","0.000",
"MA","SUCUPIRA DO NORTE","PAN","Vereador","0","0","0","0","6.284","0.000",
"MA","SUCUPIRA DO RIACHAO","PAN","Vereador","0","0","0","0","3.247","0.000",
"MA","TASSO FRAGOSO","PAN","Vereador","0","0","0","0","3.738","0.000",
"MA","TIMBIRAS","PAN","Vereador","0","0","0","0","12.099","0.000",
"MA","TIMON","PAN","Vereador","1","97","3,434","3,531","69.805","5.058",
"MA","TRIZIDELA DO VALE","PAN","Vereador","0","0","0","0","10.436","0.000",
"MA","TUFILANDIA","PAN","Vereador","1","6","180","186","3.558","5.228",
"MA","TUNTUM","PAN","Vereador","0","48","596","644","18.252","3.528",
"MA","TURIACU","PAN","Vereador","0","20","167","187","16.730","1.118",
"MA","TURILANDIA","PAN","Vereador","0","26","123","149","8.513","1.750",
"MA","TUTOIA","PAN","Vereador","0","41","472","513","19.645","2.611",
"MA","URBANO SANTOS","PAN","Vereador","0","0","0","0","12.378","0.000",
"MA","VARGEM GRANDE","PAN","Vereador","1","190","2,195","2,385","18.702","12.753",
