Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (MG) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:30:34  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"MG","UBA","PAN","Vereador","0","52","234","286","48.681","0.587",
"MG","UBAI","PAN","Vereador","0","0","0","0","6.765","0.000",
"MG","UBAPORANGA","PAN","Vereador","0","0","0","0","6.831","0.000",
"MG","UBERABA","PAN","Vereador","0","145","4,694","4,839","157.132","3.080",
"MG","UBERLANDIA","PAN","Vereador","0","170","490","660","290.503","0.227",
"MG","UNAI","PAN","Vereador","0","0","0","0","40.917","0.000",
"MG","UNIAO DE MINAS","PAN","Vereador","0","0","0","0","3.336","0.000",
"MG","URUANA DE MINAS","PAN","Vereador","0","0","0","0","2.440","0.000",
"MG","URUCANIA","PAN","Vereador","0","0","0","0","6.381","0.000",
"MG","VARGEM ALEGRE","PAN","Vereador","0","0","0","0","4.597","0.000",
"MG","VARGEM BONITA","PAN","Vereador","0","0","0","0","1.831","0.000",
"MG","VARGEM GRANDE DO RIO PARDO","PAN","Vereador","0","0","0","0","2.828","0.000",
"MG","VARJAO DE MINAS","PAN","Vereador","0","0","0","0","3.961","0.000",
"MG","VARZEA DA PALMA","PAN","Vereador","0","8","82","90","20.019","0.450",
"MG","VARZELANDIA","PAN","Vereador","0","0","0","0","9.462","0.000",
"MG","VAZANTE","PAN","Vereador","0","0","0","0","12.883","0.000",
"MG","VEREDINHA","PAN","Vereador","0","0","0","0","3.313","0.000",
"MG","VERISSIMO","PAN","Vereador","0","0","0","0","2.119","0.000",
"MG","VERMELHO NOVO","PAN","Vereador","0","0","0","0","3.238","0.000",
"MG","VESPASIANO","PAN","Vereador","0","11","59","70","45.951","0.152",
"MG","VICOSA","PAN","Vereador","0","0","0","0","38.736","0.000",
"MG","VIRGEM DA LAPA","PAN","Vereador","0","0","0","0","6.766","0.000",
"MG","VIRGINIA","PAN","Vereador","0","0","0","0","5.288","0.000",
"MG","VIRGINOPOLIS","PAN","Vereador","0","0","0","0","6.278","0.000",
"MG","VISCONDE DO RIO BRANCO","PAN","Vereador","0","0","0","0","22.752","0.000",
"MG","VOLTA GRANDE","PAN","Vereador","0","0","0","0","3.347","0.000",
"MG","WENCESLAU BRAZ","PAN","Vereador","0","0","0","0","1.843","0.000",
"MG","REDUTO","PAN","Vereador","0","0","0","0","3.918","0.000",
"MG","RESENDE COSTA","PAN","Vereador","0","0","0","0","6.488","0.000",
"MG","RESPLENDOR","PAN","Vereador","0","0","0","0","9.569","0.000",
"MG","RESSAQUINHA","PAN","Vereador","0","0","0","0","3.456","0.000",
"MG","RIACHINHO","PAN","Vereador","0","0","0","0","4.041","0.000",
"MG","RIACHO DOS MACHADOS","PAN","Vereador","0","0","0","0","5.273","0.000",
"MG","RIBEIRAO DAS NEVES","PAN","Vereador","0","36","774","810","114.001","0.711",
"MG","RIBEIRAO VERMELHO","PAN","Vereador","0","0","0","0","2.675","0.000",
"MG","RIO ACIMA","PAN","Vereador","0","0","0","0","5.666","0.000",
"MG","RIO CASCA","PAN","Vereador","0","0","0","0","9.137","0.000",
"MG","RIO DO PRADO","PAN","Vereador","0","0","0","0","3.269","0.000",
"MG","RIO DOCE","PAN","Vereador","0","0","0","0","1.760","0.000",
"MG","RIO ESPERA","PAN","Vereador","0","0","0","0","4.429","0.000",
"MG","RIO MANSO","PAN","Vereador","0","0","0","0","3.181","0.000",
"MG","RIO NOVO","PAN","Vereador","0","0","0","0","5.946","0.000",
"MG","HELIODORA","PAN","Vereador","0","0","0","0","3.678","0.000",
"MG","IBIRACATU","PAN","Vereador","0","0","0","0","3.610","0.000",
"MG","ICARAI DE MINAS","PAN","Vereador","0","0","0","0","5.717","0.000",
"MG","INCONFIDENTES","PAN","Vereador","0","0","0","0","4.542","0.000",
"MG","INHAUMA","PAN","Vereador","0","0","0","0","3.673","0.000",
"MG","IPIACU","PAN","Vereador","0","0","0","0","3.218","0.000",
"MG","ITABIRINHA","PAN","Vereador","0","0","0","0","5.725","0.000",
"MG","ITAJUBA","PAN","Vereador","0","33","8","41","50.343","0.081",
"MG","ITAMBE DO MATO DENTRO","PAN","Vereador","0","0","0","0","1.764","0.000",
"MG","ITAPEVA","PAN","Vereador","0","0","0","0","5.195","0.000",
"MG","PAIVA","PAN","Vereador","0","0","0","0","1.261","0.000",
"MG","PARA DE MINAS","PAN","Vereador","0","0","0","0","43.185","0.000",
"MG","PASSA TEMPO","PAN","Vereador","0","0","0","0","5.299","0.000",
"MG","PATOS DE MINAS","PAN","Vereador","0","0","0","0","75.045","0.000",
"MG","PECANHA","PAN","Vereador","0","0","0","0","9.620","0.000",
"MG","PEDRA DOURADA","PAN","Vereador","0","0","0","0","1.514","0.000",
"MG","PEQUERI","PAN","Vereador","0","0","9","9","2.412","0.373",
"MG","PERDOES","PAN","Vereador","0","0","0","0","12.201","0.000",
"MG","PIEDADE DE PONTE NOVA","PAN","Vereador","0","0","0","0","2.746","0.000",
"MG","PIRAJUBA","PAN","Vereador","0","0","0","0","2.630","0.000",
"MG","PIRAPORA","PAN","Vereador","0","0","0","0","27.185","0.000",
"MG","POCO FUNDO","PAN","Vereador","0","0","0","0","9.930","0.000",
"MG","SENADOR JOSE BENTO","PAN","Vereador","0","0","0","0","1.631","0.000",
"MG","SERRA AZUL DE MINAS","PAN","Vereador","0","0","0","0","2.674","0.000",
"MG","SERRO","PAN","Vereador","0","0","0","0","10.563","0.000",
"MG","SILVIANOPOLIS","PAN","Vereador","0","0","0","0","3.994","0.000",
"MG","TAQUARACU DE MINAS","PAN","Vereador","0","0","0","0","2.896","0.000",
"MG","TOCANTINS","PAN","Vereador","0","0","0","0","10.049","0.000",
"MG","TRES MARIAS","PAN","Vereador","0","0","0","0","15.880","0.000",
"MG","TURVOLANDIA","PAN","Vereador","0","0","0","0","2.882","0.000",
"MG","UMBURATIBA","PAN","Vereador","0","0","0","0","1.888","0.000",
"MG","URUCUIA","PAN","Vereador","0","0","0","0","4.475","0.000",
"MG","VARGINHA","PAN","Vereador","0","27","47","74","67.227","0.110",
"MG","SERRA DO SALITRE","PAN","Vereador","0","0","0","0","6.276","0.000",
"MG","SERRA DOS AIMORES","PAN","Vereador","0","0","0","0","3.995","0.000",
"MG","SERRANIA","PAN","Vereador","0","0","0","0","4.298","0.000",
"MG","SERRANOPOLIS DE MINAS","PAN","Vereador","0","0","0","0","2.661","0.000",
"MG","SERRANOS","PAN","Vereador","0","0","0","0","1.601","0.000",
"MG","SETE LAGOAS","PAN","Vereador","0","113","1,255","1,368","108.979","1.255",
"MG","SETUBINHA","PAN","Vereador","0","0","0","0","4.809","0.000",
"MG","SILVEIRANIA","PAN","Vereador","0","0","0","0","1.778","0.000",
"MG","SIMAO PEREIRA","PAN","Vereador","0","0","0","0","2.197","0.000",
"MG","SIMONESIA","PAN","Vereador","0","0","0","0","10.071","0.000",
"MG","SOBRALIA","PAN","Vereador","0","0","0","0","3.310","0.000",
"MG","SOLEDADE DE MINAS","PAN","Vereador","0","0","0","0","3.664","0.000",
"MG","TABULEIRO","PAN","Vereador","0","0","0","0","3.200","0.000",
"MG","TAIOBEIRAS","PAN","Vereador","1","23","342","365","17.177","2.125",
"MG","TAPARUBA","PAN","Vereador","0","0","0","0","2.483","0.000",
"MG","TAPIRA","PAN","Vereador","0","0","0","0","2.868","0.000",
"MG","TAPIRAI","PAN","Vereador","0","0","0","0","1.896","0.000",
"MG","TARUMIRIM","PAN","Vereador","0","0","0","0","8.776","0.000",
"MG","TEIXEIRAS","PAN","Vereador","0","0","0","0","7.402","0.000",
"MG","TEOFILO OTONI","PAN","Vereador","0","65","563","628","71.218","0.882",
"MG","TIMOTEO","PAN","Vereador","0","57","1,073","1,130","45.318","2.493",
"MG","TIRADENTES","PAN","Vereador","0","0","0","0","4.735","0.000",
"MG","TIROS","PAN","Vereador","0","0","0","0","4.533","0.000",
"MG","TOCOS DO MOJI","PAN","Vereador","0","0","0","0","2.601","0.000",
"MG","TOLEDO","PAN","Vereador","0","0","0","0","3.205","0.000",
"MG","TOMBOS","PAN","Vereador","0","0","0","0","5.801","0.000",
"MG","TRES CORACOES","PAN","Vereador","0","0","0","0","39.799","0.000",
"MG","TRES PONTAS","PAN","Vereador","0","0","0","0","30.300","0.000",
"MG","TUMIRITINGA","PAN","Vereador","0","0","0","0","3.526","0.000",
"MG","TUPACIGUARA","PAN","Vereador","0","0","0","0","15.604","0.000",
"MG","TURMALINA","PAN","Vereador","0","0","0","0","9.156","0.000",
"MG","CONSELHEIRO LAFAIETE","PAN","Vereador","0","0","0","0","65.981","0.000",
"MG","CONSELHEIRO PENA","PAN","Vereador","0","1","34","35","12.454","0.281",
"MG","CONSOLACAO","PAN","Vereador","0","0","0","0","1.337","0.000",
"MG","CONTAGEM","PAN","Vereador","0","413","14,022","14,435","303.303","4.759",
"MG","COQUEIRAL","PAN","Vereador","0","0","0","0","5.697","0.000",
"MG","CORACAO DE JESUS","PAN","Vereador","0","2","68","70","15.289","0.458",
"MG","CORDISBURGO","PAN","Vereador","0","0","0","0","5.364","0.000",
"MG","CORDISLANDIA","PAN","Vereador","0","0","0","0","2.439","0.000",
"MG","CORINTO","PAN","Vereador","0","13","203","216","14.304","1.510",
"MG","COROACI","PAN","Vereador","0","0","0","0","6.306","0.000",
"MG","COROMANDEL","PAN","Vereador","0","0","0","0","17.780","0.000",
"MG","CORONEL FABRICIANO","PAN","Vereador","0","64","490","554","57.140","0.970",
"MG","CORONEL MURTA","PAN","Vereador","0","0","0","0","5.680","0.000",
"MG","CORONEL PACHECO","PAN","Vereador","0","0","0","0","1.988","0.000",
"MG","CORONEL XAVIER CHAVES","PAN","Vereador","0","0","0","0","2.181","0.000",
"MG","CORREGO DANTA","PAN","Vereador","0","0","0","0","2.572","0.000",
"MG","CORREGO DO BOM JESUS","PAN","Vereador","0","0","0","0","2.861","0.000",
"MG","CORREGO FUNDO","PAN","Vereador","0","0","0","0","3.955","0.000",
"MG","CORREGO NOVO","PAN","Vereador","0","0","0","0","2.573","0.000",
"MG","COUTO DE MAGALHAES DE MINAS","PAN","Vereador","0","0","0","0","2.984","0.000",
"MG","CRISOLITA","PAN","Vereador","0","0","0","0","3.750","0.000",
"MG","CRISTAIS","PAN","Vereador","0","0","0","0","6.263","0.000",
"MG","CRISTALIA","PAN","Vereador","0","0","0","0","3.408","0.000",
"MG","CRISTIANO OTONI","PAN","Vereador","0","0","0","0","3.522","0.000",
"MG","CRISTINA","PAN","Vereador","0","0","0","0","6.087","0.000",
"MG","CRUCILANDIA","PAN","Vereador","0","0","0","0","3.557","0.000",
"MG","CRUZEIRO DA FORTALEZA","PAN","Vereador","0","0","0","0","3.059","0.000",
"MG","CRUZILIA","PAN","Vereador","0","0","0","0","8.902","0.000",
"MG","CUPARAQUE","PAN","Vereador","0","0","0","0","2.726","0.000",
"MG","CURRAL DE DENTRO","PAN","Vereador","0","0","0","0","4.135","0.000",
"MG","CURVELO","PAN","Vereador","0","0","0","0","37.535","0.000",
"MG","DATAS","PAN","Vereador","0","0","0","0","3.348","0.000",
"MG","DELFIM MOREIRA","PAN","Vereador","0","0","0","0","5.156","0.000",
"MG","DELFINOPOLIS","PAN","Vereador","0","0","0","0","4.264","0.000",
"MG","DELTA","PAN","Vereador","0","0","0","0","3.237","0.000",
"MG","DESCOBERTO","PAN","Vereador","0","0","0","0","3.540","0.000",
"MG","DESTERRO DE ENTRE RIOS","PAN","Vereador","0","0","0","0","4.521","0.000",
"MG","DESTERRO DO MELO","PAN","Vereador","0","0","0","0","2.528","0.000",
"MG","DIAMANTINA","PAN","Vereador","0","0","0","0","24.119","0.000",
"MG","DIOGO DE VASCONCELOS","PAN","Vereador","0","0","0","0","2.699","0.000",
"MG","DIONISIO","PAN","Vereador","0","0","0","0","5.996","0.000",
"MG","DIVINESIA","PAN","Vereador","0","0","0","0","2.701","0.000",
"MG","BERTOPOLIS","PAN","Vereador","0","0","0","0","2.494","0.000",
"MG","BETIM","PAN","Vereador","0","133","1,234","1,367","168.852","0.810",
"MG","BIAS FORTES","PAN","Vereador","0","0","0","0","3.373","0.000",
