Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (MS) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:31:05  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"MS","MUNDO NOVO","PAN","Vereador","0","0","0","0","8.722","0.000",
"MS","NAVIRAI","PAN","Vereador","0","16","541","557","23.590","2.361",
"MS","NIOAQUE","PAN","Vereador","0","0","0","0","8.060","0.000",
"MS","NOVA ALVORADA DO SUL","PAN","Vereador","0","0","0","0","6.157","0.000",
"MS","NOVA ANDRADINA","PAN","Vereador","0","0","0","0","20.842","0.000",
"MS","NOVO HORIZONTE DO SUL","PAN","Vereador","0","0","0","0","3.680","0.000",
"MS","PARANAIBA","PAN","Vereador","0","0","0","0","22.389","0.000",
"MS","PARANHOS","PAN","Vereador","0","0","0","0","4.777","0.000",
"MS","PEDRO GOMES","PAN","Vereador","0","0","0","0","5.291","0.000",
"MS","PONTA PORA","PAN","Vereador","0","0","0","0","37.366","0.000",
"MS","PORTO MURTINHO","PAN","Vereador","0","0","0","0","5.562","0.000",
"MS","RIBAS DO RIO PARDO","PAN","Vereador","0","0","0","0","7.145","0.000",
"MS","RIO BRILHANTE","PAN","Vereador","0","0","0","0","13.475","0.000",
"MS","RIO NEGRO","PAN","Vereador","0","0","0","0","3.294","0.000",
"MS","RIO VERDE DE MATO GROSSO","PAN","Vereador","0","0","0","0","10.932","0.000",
"MS","ROCHEDO","PAN","Vereador","0","0","0","0","3.231","0.000",
"MS","SANTA RITA DO PARDO","PAN","Vereador","0","0","0","0","3.852","0.000",
"MS","SAO GABRIEL DO OESTE","PAN","Vereador","0","0","0","0","11.206","0.000",
"MS","SELVIRIA","PAN","Vereador","0","0","0","0","3.802","0.000",
"MS","SETE QUEDAS","PAN","Vereador","0","0","0","0","6.291","0.000",
"MS","SIDROLANDIA","PAN","Vereador","0","0","0","0","15.538","0.000",
"MS","SONORA","PAN","Vereador","0","0","0","0","7.389","0.000",
"MS","TACURU","PAN","Vereador","0","0","0","0","4.522","0.000",
"MS","TAQUARUSSU","PAN","Vereador","0","0","0","0","2.532","0.000",
"MS","TERENOS","PAN","Vereador","0","0","0","0","7.750","0.000",
"MS","TRES LAGOAS","PAN","Vereador","0","0","0","0","44.705","0.000",
"MS","VICENTINA","PAN","Vereador","0","0","0","0","3.979","0.000",
"MS","FIGUEIRAO","PAN","Vereador","0","0","0","0","1.485","0.000",
"MS","RIO VERDE DE MATO GROSSO","PAN","Prefeito","0","0","0","0","10.655","0.000",
"MS","ROCHEDO","PAN","Prefeito","0","0","0","0","3.138","0.000",
