Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (MT) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:31:46  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"MT","BOM JESUS DO ARAGUAIA","PAN","Vereador","0","0","0","0","2.041","0.000",
"MT","BRASNORTE","PAN","Vereador","0","0","0","0","6.338","0.000",
"MT","CACERES","PAN","Vereador","0","0","0","0","42.537","0.000",
"MT","CAMPINAPOLIS","PAN","Vereador","0","0","0","0","6.247","0.000",
"MT","CAMPO NOVO DO PARECIS","PAN","Vereador","0","0","0","0","11.683","0.000",
"MT","CAMPO VERDE","PAN","Vereador","0","0","0","0","12.836","0.000",
"MT","CAMPOS DE JULIO","PAN","Vereador","0","0","0","0","2.514","0.000",
"MT","CANABRAVA DO NORTE","PAN","Vereador","0","0","0","0","2.779","0.000",
"MT","CANARANA","PAN","Vereador","0","0","0","0","8.720","0.000",
"MT","CARLINDA","PAN","Vereador","0","0","0","0","6.384","0.000",
"MT","CASTANHEIRA","PAN","Vereador","0","0","0","0","4.384","0.000",
"MT","CHAPADA DOS GUIMARAES","PAN","Vereador","0","0","0","0","9.702","0.000",
"MT","CLAUDIA","PAN","Vereador","0","0","0","0","5.761","0.000",
"MT","COCALINHO","PAN","Vereador","0","0","0","0","3.046","0.000",
"MT","COLIDER","PAN","Vereador","0","0","0","0","15.644","0.000",
"MT","COLNIZA","PAN","Vereador","0","0","0","0","9.729","0.000",
"MT","COMODORO","PAN","Vereador","0","0","0","0","9.378","0.000",
"MT","CONFRESA","PAN","Vereador","0","0","0","0","10.443","0.000",
"MT","CONQUISTA D'OESTE","PAN","Vereador","0","0","0","0","1.703","0.000",
"MT","COTRIGUACU","PAN","Vereador","0","0","0","0","5.740","0.000",
"MT","CUIABA","PAN","Vereador","0","37","412","449","278.247","0.161",
"MT","ALTO BOA VISTA","PAN","Vereador","0","0","0","0","2.683","0.000",
"MT","CURVELANDIA","PAN","Vereador","0","0","0","0","3.217","0.000",
"MT","DENISE","PAN","Vereador","0","0","0","0","4.274","0.000",
"MT","DIAMANTINO","PAN","Vereador","0","1","184","185","10.493","1.763",
"MT","DOM AQUINO","PAN","Vereador","0","0","0","0","5.449","0.000",
"MT","POCONE","PAN","Vereador","0","0","0","0","16.655","0.000",
"MT","PONTAL DO ARAGUAIA","PAN","Vereador","0","0","0","0","3.184","0.000",
"MT","PONTE BRANCA","PAN","Vereador","0","0","0","0","1.506","0.000",
"MT","PONTES E LACERDA","PAN","Vereador","0","0","0","0","20.155","0.000",
"MT","PORTO ALEGRE DO NORTE","PAN","Vereador","0","0","0","0","5.061","0.000",
"MT","PORTO DOS GAUCHOS","PAN","Vereador","0","0","0","0","3.052","0.000",
"MT","PORTO ESPERIDIAO","PAN","Vereador","0","0","0","0","5.553","0.000",
"MT","PORTO ESTRELA","PAN","Vereador","0","0","0","0","2.608","0.000",
"MT","POXOREO","PAN","Vereador","0","0","0","0","11.337","0.000",
"MT","PRIMAVERA DO LESTE","PAN","Vereador","0","0","0","0","20.973","0.000",
"MT","QUERENCIA","PAN","Vereador","0","0","0","0","4.775","0.000",
