Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (PA) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:32:26  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"PA","CHAVES","PAN","Vereador","0","0","0","0","6.899","0.000",
"PA","COLARES","PAN","Vereador","0","0","0","0","6.097","0.000",
"PA","CONCEICAO DO ARAGUAIA","PAN","Vereador","0","0","0","0","21.260","0.000",
"PA","CONCORDIA DO PARA","PAN","Vereador","1","37","564","601","11.783","5.101",
"PA","CUMARU DO NORTE","PAN","Vereador","0","0","0","0","3.769","0.000",
"PA","CURIONOPOLIS","PAN","Vereador","0","7","81","88","8.440","1.043",
"PA","CURRALINHO","PAN","Vereador","0","12","244","256","9.166","2.793",
"PA","CURUA","PAN","Vereador","0","0","0","0","5.202","0.000",
"PA","CURUCA","PAN","Vereador","0","0","0","0","17.689","0.000",
"PA","DOM ELISEU","PAN","Vereador","0","0","0","0","18.398","0.000",
"PA","ELDORADO DO CARAJAS","PAN","Vereador","0","20","171","191","10.134","1.885",
"PA","FARO","PAN","Vereador","0","0","0","0","3.980","0.000",
"PA","FLORESTA DO ARAGUAIA","PAN","Vereador","0","0","0","0","7.820","0.000",
"PA","GARRAFAO DO NORTE","PAN","Vereador","0","0","0","0","12.923","0.000",
"PA","GOIANESIA DO PARA","PAN","Vereador","0","0","0","0","13.112","0.000",
"PA","GURUPA","PAN","Vereador","0","0","0","0","9.004","0.000",
"PA","IGARAPE ACU","PAN","Vereador","0","0","0","0","17.462","0.000",
"PA","IGARAPE-MIRI","PAN","Vereador","0","39","453","492","28.525","1.725",
"PA","INHANGAPI","PAN","Vereador","0","0","0","0","4.836","0.000",
"PA","IPIXUNA DO PARA","PAN","Vereador","0","0","0","0","8.604","0.000",
"PA","IRITUIA","PAN","Vereador","0","0","0","0","16.216","0.000",
"PA","ITAITUBA","PAN","Vereador","0","0","0","0","42.761","0.000",
