Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (PB) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:33:24  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"PB","CACIMBA DE DENTRO","PAN","Vereador","0","0","0","0","10.245","0.000",
"PB","CACIMBAS","PAN","Vereador","0","0","0","0","3.672","0.000",
"PB","CAICARA","PAN","Vereador","0","0","0","0","4.556","0.000",
"PB","CAJAZEIRAS","PAN","Vereador","0","0","0","0","30.568","0.000",
"PB","CAJAZEIRINHAS","PAN","Vereador","0","0","0","0","2.937","0.000",
"PB","CALDAS BRANDAO","PAN","Vereador","0","0","0","0","3.476","0.000",
"PB","CAMALAU","PAN","Vereador","0","0","0","0","3.620","0.000",
"PB","CAMPINA GRANDE","PAN","Vereador","0","65","1,978","2,043","199.130","1.026",
"PB","CAMPO DE SANTANA","PAN","Vereador","0","0","0","0","5.643","0.000",
"PB","CAPIM","PAN","Vereador","0","0","0","0","2.967","0.000",
"PB","CARAUBAS","PAN","Vereador","0","0","0","0","2.593","0.000",
"PB","CARRAPATEIRA","PAN","Vereador","0","0","0","0","1.620","0.000",
"PB","CASSERENGUE","PAN","Vereador","0","0","0","0","3.981","0.000",
"PB","CATINGUEIRA","PAN","Vereador","0","0","0","0","3.342","0.000",
"PB","CATOLE DO ROCHA","PAN","Vereador","0","0","0","0","16.591","0.000",
"PB","CATURITE","PAN","Vereador","0","0","0","0","2.980","0.000",
"PB","CONCEICAO","PAN","Vereador","0","0","0","0","10.307","0.000",
"PB","CONDADO","PAN","Vereador","0","0","0","0","4.529","0.000",
"PB","CONDE","PAN","Vereador","0","3","121","124","8.109","1.529",
"PB","CONGO","PAN","Vereador","0","0","0","0","3.290","0.000",
"PB","COREMAS","PAN","Vereador","0","0","0","0","8.971","0.000",
"PB","COXIXOLA","PAN","Vereador","0","0","0","0","1.154","0.000",
"PB","CRUZ DO ESPIRITO SANTO","PAN","Vereador","0","0","0","0","10.172","0.000",
"PB","CUBATI","PAN","Vereador","0","0","0","0","4.483","0.000",
"PB","CUITE","PAN","Vereador","0","0","0","0","11.120","0.000",
"PB","CUITE DE MAMANGUAPE","PAN","Vereador","0","0","0","0","3.837","0.000",
"PB","CUITEGI","PAN","Vereador","0","0","0","0","3.988","0.000",
"PB","CURRAL DE CIMA","PAN","Vereador","0","0","0","0","3.438","0.000",
"PB","CURRAL VELHO","PAN","Vereador","0","0","0","0","1.617","0.000",
"PB","DAMIAO","PAN","Vereador","0","0","0","0","2.718","0.000",
"PB","DESTERRO","PAN","Vereador","0","0","0","0","4.940","0.000",
"PB","DIAMANTE","PAN","Vereador","0","0","0","0","4.074","0.000",
"PB","DONA INES","PAN","Vereador","0","0","0","0","6.105","0.000",
"PB","DUAS ESTRADAS","PAN","Vereador","0","0","0","0","2.534","0.000",
"PB","EMAS","PAN","Vereador","0","0","0","0","2.334","0.000",
"PB","ESPERANCA","PAN","Vereador","0","0","0","0","17.406","0.000",
"PB","FAGUNDES","PAN","Vereador","0","0","0","0","7.244","0.000",
"PB","FREI MARTINHO","PAN","Vereador","0","0","0","0","2.137","0.000",
"PB","GADO BRAVO","PAN","Vereador","0","0","0","0","5.158","0.000",
"PB","GUARABIRA","PAN","Vereador","0","0","0","0","29.465","0.000",
"PB","GURINHEM","PAN","Vereador","0","0","0","0","8.435","0.000",
"PB","GURJAO","PAN","Vereador","0","0","0","0","2.256","0.000",
"PB","IBIARA","PAN","Vereador","0","0","0","0","4.106","0.000",
"PB","IGARACY","PAN","Vereador","0","0","0","0","4.183","0.000",
"PB","IMACULADA","PAN","Vereador","0","0","0","0","5.952","0.000",
"PB","INGA","PAN","Vereador","0","0","0","0","10.127","0.000",
"PB","ITABAIANA","PAN","Vereador","0","0","0","0","14.387","0.000",
"PB","ITAPORANGA","PAN","Vereador","0","0","0","0","12.022","0.000",
"PB","ITAPOROROCA","PAN","Vereador","0","0","0","0","8.741","0.000",
