Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (PE) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:34:10  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"PE","BARREIROS","PAN","Vereador","0","38","641","679","21.562","3.149",
"PE","BELEM DE MARIA","PAN","Vereador","0","0","0","0","5.981","0.000",
"PE","BELEM DE SAO FRANCISCO","PAN","Vereador","0","0","0","0","11.632","0.000",
"PE","BELO JARDIM","PAN","Vereador","0","11","0","11","39.869","0.028",
"PE","BETANIA","PAN","Vereador","0","0","0","0","6.510","0.000",
"PE","BEZERROS","PAN","Vereador","0","16","73","89","32.293","0.276",
"PE","BODOCO","PAN","Vereador","0","31","826","857","16.865","5.082",
"PE","BOM CONSELHO","PAN","Vereador","0","4","29","33","22.057","0.150",
"PE","BOM JARDIM","PAN","Vereador","0","0","0","0","20.781","0.000",
"PE","BONITO","PAN","Vereador","0","14","292","306","20.364","1.503",
"PE","BREJAO","PAN","Vereador","0","0","0","0","6.436","0.000",
"PE","BREJINHO","PAN","Vereador","0","0","0","0","4.098","0.000",
"PE","BREJO DA MADRE DE DEUS","PAN","Vereador","0","0","0","0","19.167","0.000",
"PE","BUENOS AIRES","PAN","Vereador","0","0","0","0","8.011","0.000",
"PE","BUIQUE","PAN","Vereador","0","0","0","0","22.940","0.000",
"PE","CABO","PAN","Vereador","1","132","3,384","3,516","100.000","3.516",
"PE","CABROBO","PAN","Vereador","0","0","0","0","15.540","0.000",
"PE","CACHOEIRINHA","PAN","Vereador","0","0","0","0","11.218","0.000",
"PE","CAETES","PAN","Vereador","0","0","0","0","11.416","0.000",
"PE","CALCADO","PAN","Vereador","0","0","0","0","5.537","0.000",
"PE","CALUMBI","PAN","Vereador","0","0","0","0","4.370","0.000",
"PE","CAMARAGIBE","PAN","Vereador","0","32","153","185","81.364","0.227",
"PE","CAMOCIM DE SAO FELIX","PAN","Vereador","0","0","0","0","9.940","0.000",
"PE","CAMUTANGA","PAN","Vereador","0","0","0","0","5.530","0.000",
"PE","CANHOTINHO","PAN","Vereador","0","0","0","0","13.081","0.000",
"PE","CAPOEIRAS","PAN","Vereador","0","22","46","68","11.296","0.602",
"PE","CARNAIBA","PAN","Vereador","0","0","0","0","9.347","0.000",
"PE","CARNAUBEIRA DA PENHA","PAN","Vereador","0","0","0","0","7.096","0.000",
"PE","CARPINA","PAN","Vereador","0","0","0","0","36.631","0.000",
"PE","CARUARU","PAN","Vereador","0","109","0","109","139.136","0.078",
"PE","CASINHAS","PAN","Vereador","0","0","0","0","7.823","0.000",
"PE","CATENDE","PAN","Vereador","0","9","36","45","17.956","0.251",
"PE","CEDRO","PAN","Vereador","0","0","0","0","6.042","0.000",
"PE","CHA DE ALEGRIA","PAN","Vereador","0","6","88","94","7.317","1.285",
"PE","CHA GRANDE","PAN","Vereador","0","19","0","19","11.484","0.165",
"PE","CONDADO","PAN","Vereador","0","6","117","123","12.647","0.973",
"PE","CORRENTES","PAN","Vereador","0","0","0","0","8.920","0.000",
"PE","CORTES","PAN","Vereador","0","0","0","0","8.461","0.000",
"PE","CUMARU","PAN","Vereador","0","0","0","0","10.919","0.000",
"PE","CUPIRA","PAN","Vereador","0","0","0","0","12.818","0.000",
"PE","CUSTODIA","PAN","Vereador","0","0","0","0","17.701","0.000",
"PE","DORMENTES","PAN","Vereador","0","0","0","0","10.491","0.000",
"PE","ESCADA","PAN","Vereador","0","25","332","357","35.015","1.020",
"PE","EXU","PAN","Vereador","0","0","0","0","18.956","0.000",
"PE","FEIRA NOVA","PAN","Vereador","0","31","414","445","11.988","3.712",
"PE","FERREIROS","PAN","Vereador","0","0","0","0","7.311","0.000",
"PE","FLORES","PAN","Vereador","0","10","301","311","12.844","2.421",
"PE","FLORESTA","PAN","Vereador","0","2","14","16","16.057","0.100",
"PE","PETROLINA","PAN","Vereador","0","224","3,444","3,668","111.252","3.297",
"PE","POCAO","PAN","Vereador","0","0","0","0","7.029","0.000",
"PE","POMBOS","PAN","Vereador","0","0","0","0","12.953","0.000",
"PE","PRIMAVERA","PAN","Vereador","0","0","0","0","6.666","0.000",
"PE","QUIXABA","PAN","Vereador","0","0","0","0","4.049","0.000",
"PE","RECIFE","PAN","Vereador","1","891","24,999","25,890","831.043","3.115",
"PE","RIACHO DAS ALMAS","PAN","Vereador","0","0","0","0","11.273","0.000",
"PE","RIBEIRAO","PAN","Vereador","0","17","257","274","22.699","1.207",
"PE","SAIRE","PAN","Vereador","0","0","0","0","8.251","0.000",
"PE","SALGADINHO","PAN","Vereador","0","0","0","0","4.240","0.000",
"PE","SALGUEIRO","PAN","Vereador","0","0","0","0","26.639","0.000",
"PE","SALOA","PAN","Vereador","0","0","0","0","8.503","0.000",
"PE","SANTA CRUZ","PAN","Vereador","0","0","0","0","7.818","0.000",
"PE","SANTA CRUZ DA BAIXA VERDE","PAN","Vereador","0","0","0","0","7.359","0.000",
"PE","SANTA CRUZ DO CAPIBARIBE","PAN","Vereador","0","0","0","0","35.133","0.000",
"PE","SANTA FILOMENA","PAN","Vereador","0","0","0","0","7.336","0.000",
"PE","SANTA MARIA DO CAMBUCA","PAN","Vereador","0","0","0","0","7.283","0.000",
"PE","SANTA TEREZINHA","PAN","Vereador","0","0","0","0","6.038","0.000",
"PE","SAO BENEDITO DO SUL","PAN","Vereador","0","0","0","0","4.949","0.000",
"PE","SAO BENTO DO UNA","PAN","Vereador","0","0","0","0","22.834","0.000",
"PE","SAO CAETANO","PAN","Vereador","0","0","0","0","20.233","0.000",
"PE","SAO JOAO","PAN","Vereador","1","38","1,173","1,211","10.918","11.092",
"PE","SAO JOAQUIM DO MONTE","PAN","Vereador","0","0","0","0","12.043","0.000",
"PE","SAO JOSE DO BELMONTE","PAN","Vereador","0","0","0","0","17.798","0.000",
"PE","SAO JOSE DO EGITO","PAN","Vereador","0","0","0","0","17.096","0.000",
"PE","SAO LOURENCO DA MATA","PAN","Vereador","0","156","4,210","4,366","52.836","8.263",
"PE","SAO VICENTE FERRER","PAN","Vereador","0","0","0","0","9.052","0.000",
"PE","SERRA TALHADA","PAN","Vereador","0","20","0","20","38.039","0.053",
"PE","SERRITA","PAN","Vereador","0","0","0","0","10.091","0.000",
"PE","SERTANIA","PAN","Vereador","0","0","0","0","18.491","0.000",
"PE","SOLIDAO","PAN","Vereador","0","0","0","0","3.466","0.000",
"PE","SURUBIM","PAN","Vereador","1","86","1,382","1,468","27.461","5.346",
"PE","TABIRA","PAN","Vereador","0","0","0","0","14.381","0.000",
"PE","TACAIMBO","PAN","Vereador","0","19","397","416","7.873","5.284",
"PE","TAMANDARE","PAN","Vereador","0","2","0","2","10.181","0.020",
"PE","TAQUARITINGA DO NORTE","PAN","Vereador","0","0","0","0","13.206","0.000",
"PE","TEREZINHA","PAN","Vereador","0","0","0","0","3.983","0.000",
"PE","TERRA NOVA","PAN","Vereador","0","0","0","0","5.906","0.000",
"PE","TORITAMA","PAN","Vereador","0","0","0","0","13.488","0.000",
"PE","TRACUNHAEM","PAN","Vereador","0","8","22","30","7.988","0.376",
"PE","TRINDADE","PAN","Vereador","0","1","22","23","12.801","0.180",
"PE","TUPANATINGA","PAN","Vereador","0","0","0","0","10.440","0.000",
"PE","TUPARETAMA","PAN","Vereador","0","0","0","0","5.616","0.000",
"PE","VENTUROSA","PAN","Vereador","0","0","0","0","9.297","0.000",
"PE","VERDEJANTE","PAN","Vereador","0","0","0","0","5.853","0.000",
"PE","VERTENTES","PAN","Vereador","0","0","0","0","9.903","0.000",
"PE","VICENCIA","PAN","Vereador","0","0","0","0","15.904","0.000",
"PE","VITORIA DE SANTO ANTAO","PAN","Vereador","0","192","1,507","1,699","67.248","2.526",
"PE","XEXEU","PAN","Vereador","0","0","0","0","6.197","0.000",
"PE","ABREU E LIMA","PAN","Vereador","0","29","268","297","58.272","0.510",
"PE","AFOGADOS DA INGAZEIRA","PAN","Vereador","0","0","0","0","18.590","0.000",
"PE","AFRANIO","PAN","Vereador","0","0","0","0","10.440","0.000",
"PE","AGRESTINA","PAN","Vereador","0","10","1","11","12.958","0.085",
"PE","AGUA PRETA","PAN","Vereador","0","36","645","681","16.084","4.234",
"PE","AGUAS BELAS","PAN","Vereador","0","0","0","0","20.435","0.000",
"PE","ALAGOINHA","PAN","Vereador","0","0","0","0","7.818","0.000",
"PE","ALIANCA","PAN","Vereador","0","14","533","547","20.359","2.687",
"PE","ALTINHO","PAN","Vereador","0","0","0","0","12.659","0.000",
"PE","AMARAJI","PAN","Vereador","0","9","137","146","12.620","1.157",
"PE","ANGELIM","PAN","Vereador","0","3","109","112","5.995","1.868",
"PE","ARACOIABA","PAN","Vereador","0","2","36","38","9.939","0.382",
"PE","ARARIPINA","PAN","Vereador","0","0","0","0","36.466","0.000",
"PE","ARCOVERDE","PAN","Vereador","0","35","19","54","32.889","0.164",
"PE","BARRA DE GUABIRABA","PAN","Vereador","0","0","0","0","6.843","0.000",
"PE","TIMBAUBA","PAN","Vereador","0","0","0","0","32.438","0.000",
"PE","TRIUNFO","PAN","Vereador","0","0","0","0","8.619","0.000",
"PE","VERTENTE DO LERIO","PAN","Vereador","0","0","0","0","4.697","0.000",
"PE","FREI MIGUELINHO","PAN","Vereador","0","0","0","0","8.912","0.000",
"PE","GAMELEIRA","PAN","Vereador","0","10","289","299","11.253","2.657",
"PE","GARANHUNS","PAN","Vereador","0","12","141","153","57.634","0.265",
"PE","GLORIA DO GOITA","PAN","Vereador","0","0","0","0","14.452","0.000",
"PE","GOIANA","PAN","Vereador","0","15","119","134","40.705","0.329",
"PE","GRANITO","PAN","Vereador","0","0","0","0","3.598","0.000",
"PE","GRAVATA","PAN","Vereador","0","68","144","212","38.374","0.552",
"PE","IATI","PAN","Vereador","0","0","0","0","10.279","0.000",
"PE","IBIMIRIM","PAN","Vereador","0","3","28","31","12.294","0.252",
"PE","IBIRAJUBA","PAN","Vereador","0","0","0","0","4.791","0.000",
"PE","IGARASSU","PAN","Vereador","0","0","0","0","46.210","0.000",
