Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (PI) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:34:56  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"PI","ACAUA","PAN","Vereador","0","0","0","0","4.209","0.000",
"PI","AGRICOLANDIA","PAN","Vereador","0","0","0","0","3.730","0.000",
"PI","AGUA BRANCA","PAN","Vereador","0","0","0","0","8.749","0.000",
"PI","ALAGOINHA","PAN","Vereador","0","0","0","0","4.749","0.000",
"PI","ALEGRETE DO PIAUI","PAN","Vereador","0","0","0","0","2.624","0.000",
"PI","ALTO LONGA","PAN","Vereador","0","0","0","0","8.144","0.000",
"PI","ALTOS","PAN","Vereador","0","10","18","28","21.281","0.132",
"PI","ALVORADA DO GURGUEIA","PAN","Vereador","0","0","0","0","2.742","0.000",
"PI","AMARANTE","PAN","Vereador","0","0","0","0","10.240","0.000",
"PI","ANGICAL DO PIAUI","PAN","Vereador","0","0","0","0","4.950","0.000",
"PI","ANISIO DE ABREU","PAN","Vereador","0","0","0","0","4.650","0.000",
"PI","ANTONIO ALMEIDA","PAN","Vereador","0","0","0","0","2.222","0.000",
"PI","AROAZES","PAN","Vereador","0","0","0","0","3.875","0.000",
"PI","ARRAIAL","PAN","Vereador","0","0","0","0","2.853","0.000",
"PI","ASSUNCAO DO PIAUI","PAN","Vereador","0","0","0","0","4.530","0.000",
"PI","AVELINO LOPES","PAN","Vereador","0","0","0","0","6.172","0.000",
"PI","BAIXA GRANDE DO RIBEIRO","PAN","Vereador","0","0","0","0","4.347","0.000",
"PI","BARRA D'ALCANTARA","PAN","Vereador","0","0","0","0","2.172","0.000",
"PI","BARRAS","PAN","Vereador","0","0","0","0","20.317","0.000",
"PI","BARREIRAS DO PIAUI","PAN","Vereador","0","0","0","0","2.308","0.000",
"PI","BARRO DURO","PAN","Vereador","0","0","0","0","4.075","0.000",
