Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (PR) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:36:06  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"PR","IPORA","PAN","Vereador","0","0","0","0","9.988","0.000",
"PR","IRACEMA DO OESTE","PAN","Vereador","0","0","0","0","2.126","0.000",
"PR","IRATI","PAN","Vereador","0","18","487","505","32.376","1.560",
"PR","IRETAMA","PAN","Vereador","0","0","0","0","6.666","0.000",
"PR","ITAGUAGE","PAN","Vereador","0","0","0","0","3.012","0.000",
"PR","ITAIPULANDIA","PAN","Vereador","0","0","0","0","5.772","0.000",
"PR","ITAMBARACA","PAN","Vereador","0","0","0","0","4.498","0.000",
"PR","ITAMBE","PAN","Vereador","0","0","0","0","3.628","0.000",
"PR","ITAPEJARA DO OESTE","PAN","Vereador","0","0","0","0","6.461","0.000",
"PR","ITAPERUCU","PAN","Vereador","0","0","0","0","13.813","0.000",
"PR","ITAUNA DO SUL","PAN","Vereador","0","0","0","0","2.453","0.000",
"PR","IVAI","PAN","Vereador","0","0","0","0","7.038","0.000",
"PR","IVAIPORA","PAN","Vereador","0","0","0","0","17.697","0.000",
"PR","IVATE","PAN","Vereador","0","0","0","0","4.813","0.000",
"PR","IVATUBA","PAN","Vereador","0","0","0","0","2.029","0.000",
"PR","JABOTI","PAN","Vereador","0","0","0","0","3.025","0.000",
"PR","JACAREZINHO","PAN","Vereador","0","0","0","0","23.583","0.000",
"PR","JAGUAPITA","PAN","Vereador","0","0","0","0","6.939","0.000",
"PR","JAGUARIAIVA","PAN","Vereador","0","6","101","107","18.907","0.566",
"PR","JANDAIA DO SUL","PAN","Vereador","0","5","74","79","12.482","0.633",
"PR","JANIOPOLIS","PAN","Vereador","0","0","0","0","5.031","0.000",
"PR","JAPIRA","PAN","Vereador","0","0","0","0","3.271","0.000",
"PR","JAPURA","PAN","Vereador","0","0","0","0","5.331","0.000",
"PR","JARDIM ALEGRE","PAN","Vereador","0","0","0","0","7.626","0.000",
"PR","JARDIM OLINDA","PAN","Vereador","0","0","0","0","1.105","0.000",
"PR","JATAIZINHO","PAN","Vereador","0","0","0","0","7.177","0.000",
"PR","JESUITAS","PAN","Vereador","0","0","0","0","5.629","0.000",
"PR","JOAQUIM TAVORA","PAN","Vereador","0","0","0","0","5.806","0.000",
"PR","ABATIA","PAN","Vereador","0","0","0","0","4.869","0.000",
"PR","AGUDOS DO SUL","PAN","Vereador","0","0","0","0","5.669","0.000",
"PR","CORUMBATAI DO SUL","PAN","Vereador","0","0","0","0","3.380","0.000",
"PR","CRUZ MACHADO","PAN","Vereador","0","0","0","0","10.533","0.000",
"PR","CRUZEIRO DO IGUACU","PAN","Vereador","0","0","0","0","2.359","0.000",
"PR","CRUZEIRO DO OESTE","PAN","Vereador","0","14","253","267","12.219","2.185",
"PR","CRUZEIRO DO SUL","PAN","Vereador","0","0","0","0","2.937","0.000",
"PR","CRUZMALTINA","PAN","Vereador","0","0","0","0","2.343","0.000",
"PR","CURITIBA","PAN","Vereador","0","430","578","1,008","919.637","0.110",
"PR","CURIUVA","PAN","Vereador","0","0","0","0","8.246","0.000",
"PR","DIAMANTE DO NORTE","PAN","Vereador","0","0","0","0","3.918","0.000",
"PR","DIAMANTE DO OESTE","PAN","Vereador","0","0","0","0","2.950","0.000",
"PR","DIAMANTE DO SUL","PAN","Vereador","0","0","0","0","2.348","0.000",
"PR","DOIS VIZINHOS","PAN","Vereador","0","0","0","0","19.398","0.000",
