Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (RJ) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:36:56  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"RJ","ITALVA","PAN","Vereador","0","13","166","179","8.800","2.034",
"RJ","ITAOCARA","PAN","Vereador","0","0","0","0","15.234","0.000",
"RJ","ITAPERUNA","PAN","Vereador","0","22","331","353","56.678","0.623",
"RJ","ITATIAIA","PAN","Vereador","0","1","0","1","16.855","0.006",
"RJ","JAPERI","PAN","Vereador","0","0","0","0","46.772","0.000",
"RJ","LAJE DO MURIAE","PAN","Vereador","0","0","0","0","6.016","0.000",
"RJ","MACAE","PAN","Vereador","0","136","180","316","81.045","0.390",
"RJ","MACUCO","PAN","Vereador","0","0","0","0","4.988","0.000",
"RJ","MAGE","PAN","Vereador","0","79","227","306","114.442","0.267",
"RJ","MANGARATIBA","PAN","Vereador","0","9","798","807","23.307","3.462",
"RJ","MARICA","PAN","Vereador","0","15","284","299","51.243","0.583",
"RJ","MENDES","PAN","Vereador","0","7","21","28","11.481","0.244",
"RJ","MESQUITA","PAN","Vereador","0","77","900","977","98.491","0.992",
"RJ","MIGUEL PEREIRA","PAN","Vereador","0","0","44","44","15.958","0.276",
"RJ","MIRACEMA","PAN","Vereador","0","0","0","0","16.308","0.000",
"RJ","NATIVIDADE","PAN","Vereador","0","0","0","0","10.299","0.000",
"RJ","NILOPOLIS","PAN","Vereador","0","102","117","219","89.065","0.246",
"RJ","NITEROI","PAN","Vereador","0","142","100","242","260.724","0.093",
"RJ","NOVA FRIBURGO","PAN","Vereador","0","90","82","172","110.259","0.156",
"RJ","NOVA IGUACU","PAN","Vereador","1","678","16,777","17,455","386.865","4.512",
"RJ","PARACAMBI","PAN","Vereador","0","15","127","142","24.698","0.575",
"RJ","PARAIBA DO SUL","PAN","Vereador","1","84","3,585","3,669","25.540","14.366",
"RJ","PARATI","PAN","Vereador","0","0","0","0","17.169","0.000",
"RJ","PATI DO ALFERES","PAN","Vereador","0","6","45","51","15.901","0.321",
"RJ","PETROPOLIS","PAN","Vereador","0","76","177","253","178.626","0.142",
"RJ","PINHEIRAL","PAN","Vereador","0","0","0","0","12.012","0.000",
"RJ","PIRAI","PAN","Vereador","0","0","0","0","13.874","0.000",
"RJ","PORTO REAL","PAN","Vereador","0","12","125","137","8.215","1.668",
"RJ","QUATIS","PAN","Vereador","0","0","0","0","7.330","0.000",
"RJ","QUEIMADOS","PAN","Vereador","0","67","76","143","66.435","0.215",
"RJ","QUISSAMA","PAN","Vereador","0","0","0","0","10.947","0.000",
"RJ","RESENDE","PAN","Vereador","0","24","329","353","59.758","0.591",
"RJ","RIO CLARO","PAN","Vereador","0","11","98","109","11.671","0.934",
"RJ","RIO DAS FLORES","PAN","Vereador","0","0","0","0","5.257","0.000",
"RJ","RIO DAS OSTRAS","PAN","Vereador","0","0","0","0","26.349","0.000",
"RJ","RIO DE JANEIRO","PAN","Vereador","0","1,747","5,690","7,437","3.393.254","0.219",
"RJ","SANTO ANTONIO DE PADUA","PAN","Vereador","0","34","0","34","24.966","0.136",
"RJ","SAO FIDELIS","PAN","Vereador","0","0","0","0","24.300","0.000",
