Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (AL) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:24:00  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"AL","COQUEIRO SECO","PAN","Vereador","0","0","0","0","3.131","0.000",
"AL","CORURIPE","PAN","Vereador","0","0","0","0","26.092","0.000",
"AL","CRAIBAS","PAN","Vereador","0","0","0","0","10.504","0.000",
"AL","DELMIRO GOUVEIA","PAN","Vereador","0","0","0","0","23.478","0.000",
"AL","DOIS RIACHOS","PAN","Vereador","0","0","0","0","6.128","0.000",
"AL","ESTRELA DE ALAGOAS","PAN","Vereador","0","0","0","0","7.466","0.000",
"AL","FEIRA GRANDE","PAN","Vereador","0","0","0","0","10.642","0.000",
"AL","FELIZ DESERTO","PAN","Vereador","0","0","0","0","2.410","0.000",
"AL","FLEXEIRAS","PAN","Vereador","0","0","0","0","5.584","0.000",
"AL","GIRAU DO PONCIANO","PAN","Vereador","0","0","0","0","15.375","0.000",
"AL","IBATEGUARA","PAN","Vereador","0","0","0","0","6.691","0.000",
"AL","IGACI","PAN","Vereador","0","0","0","0","13.390","0.000",
"AL","OLHO D AGUA DAS FLORES","PAN","Vereador","0","0","0","0","9.986","0.000",
"AL","OLHO D AGUA DO CASADO","PAN","Vereador","0","0","0","0","4.507","0.000",
"AL","OLHO D AGUA GRANDE","PAN","Vereador","0","0","0","0","3.016","0.000",
"AL","OLIVENCA","PAN","Vereador","0","0","0","0","5.954","0.000",
"AL","OURO BRANCO","PAN","Vereador","0","0","0","0","5.604","0.000",
"AL","PALESTINA","PAN","Vereador","0","0","0","0","2.909","0.000",
"AL","PALMEIRA DOS INDIOS","PAN","Vereador","0","9","2","11","34.366","0.032",
"AL","PAO DE ACUCAR","PAN","Vereador","0","0","0","0","12.655","0.000",
"AL","PARICONHA","PAN","Vereador","0","0","0","0","5.436","0.000",
"AL","PARIPUEIRA","PAN","Vereador","0","7","82","89","5.597","1.590",
"AL","PASSO DE CAMARAGIBE","PAN","Vereador","0","4","119","123","7.459","1.649",
"AL","PAULO JACINTO","PAN","Vereador","1","2","260","262","4.455","5.881",
"AL","PENEDO","PAN","Vereador","0","5","132","137","26.630","0.514",
"AL","PIACABUCU","PAN","Vereador","0","0","0","0","8.831","0.000",
"AL","PILAR","PAN","Vereador","0","0","0","0","17.381","0.000",
"AL","PINDOBA","PAN","Vereador","0","0","0","0","1.859","0.000",
"AL","PIRANHAS","PAN","Vereador","0","0","0","0","10.485","0.000",
"AL","POCO DAS TRINCHEIRAS","PAN","Vereador","0","0","0","0","6.951","0.000",
"AL","PORTO CALVO","PAN","Vereador","0","6","163","169","14.047","1.203",
"AL","PORTO DE PEDRAS","PAN","Vereador","1","10","395","405","4.847","8.356",
"AL","PORTO REAL DO COLEGIO","PAN","Vereador","0","14","489","503","10.117","4.972",
"AL","QUEBRANGULO","PAN","Vereador","1","25","984","1,009","7.142","14.128",
"AL","RIO LARGO","PAN","Vereador","0","0","0","0","36.340","0.000",
"AL","ROTEIRO","PAN","Vereador","0","0","0","0","3.255","0.000",
"AL","SANTA LUZIA DO NORTE","PAN","Vereador","0","0","0","0","4.137","0.000",
"AL","SANTANA DO IPANEMA","PAN","Vereador","0","0","0","0","21.528","0.000",
"AL","SANTANA DO MUNDAU","PAN","Vereador","0","0","0","0","5.324","0.000",
"AL","SAO BRAS","PAN","Vereador","0","0","0","0","4.135","0.000",
"AL","SAO JOSE DA LAJE","PAN","Vereador","0","0","0","0","10.758","0.000",
"AL","SAO JOSE DA TAPERA","PAN","Vereador","0","0","0","0","12.414","0.000",
"AL","SAO LUIS DO QUITUNDE","PAN","Vereador","0","4","7","11","14.659","0.075",
"AL","SAO MIGUEL DOS CAMPOS","PAN","Vereador","0","12","75","87","25.622","0.340",
"AL","SAO MIGUEL DOS MILAGRES","PAN","Vereador","0","0","0","0","4.176","0.000",
"AL","SAO SEBASTIAO","PAN","Vereador","0","0","0","0","16.539","0.000",
"AL","SATUBA","PAN","Vereador","0","5","128","133","6.599","2.015",
"AL","SENADOR RUI PALMEIRA","PAN","Vereador","0","0","0","0","5.164","0.000",
"AL","SENADOR TEOTONIO VILELA","PAN","Vereador","0","3","0","3","19.476","0.015",
"AL","TANQUE D ARCA","PAN","Vereador","0","0","0","0","3.443","0.000",
"AL","TAQUARANA","PAN","Vereador","0","0","0","0","9.299","0.000",
"AL","TRAIPU","PAN","Vereador","0","0","0","0","13.288","0.000",
"AL","UNIAO DOS PALMARES","PAN","Vereador","0","164","959","1,123","26.118","4.300",
"AL","VICOSA","PAN","Vereador","0","0","0","0","13.869","0.000",
"AL","AGUA BRANCA","PAN","Vereador","0","0","0","0","9.720","0.000",
"AL","ANADIA","PAN","Vereador","0","0","0","0","9.029","0.000",
"AL","ARAPIRACA","PAN","Vereador","0","13","432","445","83.727","0.531",
"AL","ATALAIA","PAN","Vereador","0","0","0","0","20.738","0.000",
"AL","BARRA DE SANTO ANTONIO","PAN","Vereador","0","9","0","9","6.422","0.140",
"AL","BARRA DE SAO MIGUEL","PAN","Vereador","0","1","41","42","3.992","1.052",
"AL","BATALHA","PAN","Vereador","0","0","0","0","7.672","0.000",
"AL","BELEM","PAN","Vereador","0","0","0","0","3.501","0.000",
"AL","BELO MONTE","PAN","Vereador","0","0","0","0","3.434","0.000",
"AL","BOCA DA MATA","PAN","Vereador","0","4","56","60","14.488","0.414",
"AL","BRANQUINHA","PAN","Vereador","0","0","0","0","5.004","0.000",
"AL","CACIMBINHAS","PAN","Vereador","0","0","0","0","5.722","0.000",
"AL","CAJUEIRO","PAN","Vereador","0","0","0","0","10.232","0.000",
"AL","CAMPESTRE","PAN","Vereador","0","0","0","0","3.311","0.000",
"AL","CAMPO ALEGRE","PAN","Vereador","0","0","0","0","15.117","0.000",
"AL","CAMPO GRANDE","PAN","Vereador","0","0","0","0","5.390","0.000",
"AL","CANAPI","PAN","Vereador","0","0","0","0","8.464","0.000",
"AL","CAPELA","PAN","Vereador","0","0","0","0","9.125","0.000",
"AL","CARNEIROS","PAN","Vereador","0","0","0","0","3.670","0.000",
"AL","CHA PRETA","PAN","Vereador","0","0","0","0","4.478","0.000",
"AL","COITE DO NOIA","PAN","Vereador","0","0","0","0","5.736","0.000",
"AL","COLONIA LEOPOLDINA","PAN","Vereador","0","0","0","0","9.852","0.000",
"AL","OURO BRANCO","PAN","Prefeito","0","0","0","0","5.475","0.000",
"AL","PALESTINA","PAN","Prefeito","0","0","0","0","2.851","0.000",
"AL","PALMEIRA DOS INDIOS","PAN","Prefeito","0","0","0","0","33.122","0.000",
"AL","PAO DE ACUCAR","PAN","Prefeito","0","0","0","0","11.837","0.000",
"AL","PARICONHA","PAN","Prefeito","0","0","0","0","5.324","0.000",
"AL","PARIPUEIRA","PAN","Prefeito","0","0","0","0","5.326","0.000",
"AL","PASSO DE CAMARAGIBE","PAN","Prefeito","0","0","0","0","7.361","0.000",
"AL","PAULO JACINTO","PAN","Prefeito","0","0","0","0","4.285","0.000",
"AL","PENEDO","PAN","Prefeito","0","0","0","0","25.730","0.000",
"AL","PIACABUCU","PAN","Prefeito","0","0","0","0","8.399","0.000",
"AL","PILAR","PAN","Prefeito","0","0","0","0","16.779","0.000",
"AL","PINDOBA","PAN","Prefeito","0","0","0","0","1.666","0.000",
"AL","PIRANHAS","PAN","Prefeito","0","0","0","0","9.960","0.000",
