Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (RN) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:37:56  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"RN","RUY BARBOSA","PAN","Vereador","0","0","0","0","2.604","0.000",
"RN","SANTA CRUZ","PAN","Vereador","0","0","0","0","18.725","0.000",
"RN","SANTA MARIA","PAN","Vereador","0","0","0","0","2.951","0.000",
"RN","SANTANA DO MATOS","PAN","Vereador","0","0","0","0","9.480","0.000",
"RN","SANTANA DO SERIDO","PAN","Vereador","0","0","0","0","1.798","0.000",
"RN","SANTO ANTONIO","PAN","Vereador","0","12","283","295","12.462","2.367",
"RN","SAO BENTO DO NORTE","PAN","Vereador","0","0","0","0","2.639","0.000",
"RN","SAO BENTO DO TRAIRI","PAN","Vereador","0","0","0","0","2.544","0.000",
"RN","SAO FERNANDO","PAN","Vereador","0","0","0","0","2.545","0.000",
"RN","SAO FRANCISCO DO OESTE","PAN","Vereador","0","0","0","0","2.582","0.000",
"RN","SAO GONCALO DO AMARANTE","PAN","Vereador","0","18","244","262","47.421","0.552",
"RN","SAO JOAO DO SABUGI","PAN","Vereador","0","0","0","0","4.371","0.000",
"RN","SAO JOSE DE CAMPESTRE","PAN","Vereador","0","0","0","0","7.591","0.000",
"RN","SAO JOSE DE MIPIBU","PAN","Vereador","0","0","0","0","20.251","0.000",
"RN","ITAU","PAN","Vereador","0","0","0","0","3.913","0.000",
"RN","JACANA","PAN","Vereador","0","0","0","0","4.475","0.000",
"RN","JANDAIRA","PAN","Vereador","0","0","0","0","4.329","0.000",
"RN","JANDUIS","PAN","Vereador","0","0","0","0","3.835","0.000",
"RN","JAPI","PAN","Vereador","0","1","61","62","3.770","1.645",
"RN","JARDIM DE ANGICOS","PAN","Vereador","0","0","0","0","2.253","0.000",
