Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (RO) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:38:16  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"RO","CEREJEIRAS","PAN","Vereador","0","11","328","339","10.108","3.354",
"RO","CHUPINGUAIA","PAN","Vereador","0","0","0","0","3.578","0.000",
"RO","COLORADO DO OESTE","PAN","Vereador","0","0","0","0","11.243","0.000",
"RO","CORUMBIARA","PAN","Vereador","0","0","0","0","4.742","0.000",
"RO","COSTA MARQUES","PAN","Vereador","0","6","212","218","5.559","3.922",
"RO","CUJUBIM","PAN","Vereador","0","0","0","0","4.986","0.000",
"RO","ESPIGAO D'OESTE","PAN","Vereador","0","0","0","0","15.393","0.000",
"RO","GOVERNADOR JORGE TEIXEIRA","PAN","Vereador","0","0","0","0","7.308","0.000",
"RO","GUAJARA MIRIM","PAN","Vereador","0","0","0","0","19.437","0.000",
"RO","ITAPUA DO OESTE","PAN","Vereador","0","0","0","0","3.833","0.000",
"RO","JARU","PAN","Vereador","0","0","0","0","29.444","0.000",
"RO","JI PARANA","PAN","Vereador","0","0","0","0","55.376","0.000",
"RO","MACHADINHO DO OESTE","PAN","Vereador","0","0","0","0","13.536","0.000",
"RO","MINISTRO ANDREAZZA","PAN","Vereador","0","0","0","0","5.223","0.000",
"RO","MIRANTE DA SERRA","PAN","Vereador","0","0","0","0","7.445","0.000",
"RO","MONTE NEGRO","PAN","Vereador","0","0","0","0","7.856","0.000",
"RO","NOVA BRASILANDIA","PAN","Vereador","0","0","0","0","10.778","0.000",
"RO","NOVA MAMORE","PAN","Vereador","0","0","0","0","8.633","0.000",
"RO","NOVA UNIAO","PAN","Vereador","0","0","0","0","4.363","0.000",
"RO","NOVO HORIZONTE DO OESTE","PAN","Vereador","0","0","0","0","6.508","0.000",
"RO","OURO PRETO DO OESTE","PAN","Vereador","0","0","0","0","22.145","0.000",
"RO","PARECIS","PAN","Vereador","0","0","0","0","2.660","0.000",
"RO","PIMENTA BUENO","PAN","Vereador","0","0","0","0","17.703","0.000",
"RO","PIMENTEIRAS DO OESTE","PAN","Vereador","0","0","0","0","1.727","0.000",
"RO","PORTO VELHO","PAN","Vereador","0","62","2,057","2,119","181.098","1.170",
"RO","PRESIDENTE MEDICI","PAN","Vereador","0","0","0","0","13.681","0.000",
"RO","PRIMAVERA DE RONDONIA","PAN","Vereador","0","0","0","0","2.971","0.000",
"RO","RIO CRESPO","PAN","Vereador","0","0","0","0","1.712","0.000",
"RO","ROLIM DE MOURA","PAN","Vereador","0","0","0","0","24.760","0.000",
"RO","SANTA LUZIA DO OESTE","PAN","Vereador","0","0","0","0","6.200","0.000",
"RO","SAO FELIPE D OESTE","PAN","Vereador","0","0","0","0","3.864","0.000",
"RO","SAO FRANCISCO DO GUAPORE","PAN","Vereador","0","1","6","7","7.151","0.098",
"RO","SAO MIGUEL DO GUAPORE","PAN","Vereador","0","0","0","0","9.188","0.000",
"RO","SERINGUEIRAS","PAN","Vereador","0","0","0","0","6.240","0.000",
"RO","TEIXEIROPOLIS","PAN","Vereador","0","0","0","0","3.570","0.000",
"RO","THEOBROMA","PAN","Vereador","0","0","0","0","6.364","0.000",
"RO","URUPA","PAN","Vereador","0","0","0","0","7.049","0.000",
"RO","VALE DO ANARI","PAN","Vereador","0","0","0","0","4.284","0.000",
"RO","VALE DO PARAISO","PAN","Vereador","0","0","0","0","5.552","0.000",
"RO","VILHENA","PAN","Vereador","0","0","0","0","30.097","0.000",
"RO","ALTO PARAISO","PAN","Prefeito","0","0","0","0","7.403","0.000",
"RO","CACOAL","PAN","Prefeito","0","0","0","0","37.935","0.000",
"RO","ALTA FLORESTA DO OESTE","PAN","Prefeito","0","0","0","0","13.485","0.000",
"RO","ALTO ALEGRE DOS PARECIS","PAN","Prefeito","0","0","0","0","5.596","0.000",
"RO","ALVORADA DO OESTE","PAN","Prefeito","0","0","0","0","9.040","0.000",
"RO","ARIQUEMES","PAN","Prefeito","0","0","0","0","40.434","0.000",
"RO","BURITIS","PAN","Prefeito","0","0","0","0","13.634","0.000",
"RO","CABIXI","PAN","Prefeito","0","0","0","0","3.664","0.000",
"RO","CACAULANDIA","PAN","Prefeito","0","0","0","0","3.450","0.000",
"RO","CAMPO NOVO DE RONDONIA","PAN","Prefeito","0","0","0","0","4.882","0.000",
"RO","CANDEIAS DO JAMARI","PAN","Prefeito","0","0","0","0","8.058","0.000",
"RO","CASTANHEIRAS","PAN","Prefeito","0","0","0","0","2.576","0.000",
"RO","CEREJEIRAS","PAN","Prefeito","0","0","0","0","9.819","0.000",
"RO","CHUPINGUAIA","PAN","Prefeito","0","0","0","0","3.433","0.000",
"RO","COLORADO DO OESTE","PAN","Prefeito","0","0","0","0","10.600","0.000",
"RO","CORUMBIARA","PAN","Prefeito","0","0","0","0","4.667","0.000",
"RO","COSTA MARQUES","PAN","Prefeito","0","0","0","0","5.340","0.000",
"RO","CUJUBIM","PAN","Prefeito","0","0","0","0","4.908","0.000",
"RO","ESPIGAO D'OESTE","PAN","Prefeito","0","0","0","0","14.818","0.000",
"RO","GOVERNADOR JORGE TEIXEIRA","PAN","Prefeito","0","0","0","0","7.010","0.000",
"RO","GUAJARA MIRIM","PAN","Prefeito","0","0","0","0","12.932","0.000",
"RO","ITAPUA DO OESTE","PAN","Prefeito","0","0","0","0","3.755","0.000",
"RO","JARU","PAN","Prefeito","0","0","0","0","28.475","0.000",
"RO","JI PARANA","PAN","Prefeito","0","0","0","0","54.251","0.000",
"RO","MACHADINHO DO OESTE","PAN","Prefeito","0","0","0","0","12.878","0.000",
"RO","MINISTRO ANDREAZZA","PAN","Prefeito","0","0","0","0","5.062","0.000",
"RO","MIRANTE DA SERRA","PAN","Prefeito","0","0","0","0","7.162","0.000",
"RO","MONTE NEGRO","PAN","Prefeito","0","0","0","0","3.584","0.000",
"RO","NOVA BRASILANDIA","PAN","Prefeito","0","0","0","0","10.397","0.000",
"RO","NOVA MAMORE","PAN","Prefeito","0","0","0","0","8.181","0.000",
"RO","NOVA UNIAO","PAN","Prefeito","0","0","0","0","4.258","0.000",
"RO","NOVO HORIZONTE DO OESTE","PAN","Prefeito","0","0","0","0","6.182","0.000",
"RO","OURO PRETO DO OESTE","PAN","Prefeito","0","0","0","0","21.380","0.000",
"RO","PARECIS","PAN","Prefeito","0","0","0","0","2.566","0.000",
"RO","PIMENTA BUENO","PAN","Prefeito","0","0","0","0","17.111","0.000",
"RO","PIMENTEIRAS DO OESTE","PAN","Prefeito","0","0","0","0","1.702","0.000",
"RO","PORTO VELHO","PAN","Prefeito","0","0","0","0","177.082","0.000",
"RO","PRESIDENTE MEDICI","PAN","Prefeito","0","0","0","0","13.362","0.000",
"RO","PRIMAVERA DE RONDONIA","PAN","Prefeito","0","0","0","0","2.871","0.000",
"RO","RIO CRESPO","PAN","Prefeito","0","0","0","0","1.619","0.000",
"RO","ROLIM DE MOURA","PAN","Prefeito","0","0","0","0","24.259","0.000",
"RO","SANTA LUZIA DO OESTE","PAN","Prefeito","0","0","0","0","6.039","0.000",
"RO","SAO FELIPE D OESTE","PAN","Prefeito","0","0","0","0","3.725","0.000",
"RO","SAO FRANCISCO DO GUAPORE","PAN","Prefeito","0","0","0","0","6.938","0.000",
"RO","SAO MIGUEL DO GUAPORE","PAN","Prefeito","0","0","0","0","8.808","0.000",
"RO","SERINGUEIRAS","PAN","Prefeito","0","0","0","0","6.129","0.000",
"RO","TEIXEIROPOLIS","PAN","Prefeito","0","0","0","0","3.442","0.000",
"RO","THEOBROMA","PAN","Prefeito","0","0","0","0","6.080","0.000",
"RO","URUPA","PAN","Prefeito","0","0","0","0","6.735","0.000",
"RO","VALE DO ANARI","PAN","Prefeito","0","0","0","0","4.168","0.000",
"RO","VALE DO PARAISO","PAN","Prefeito","0","0","0","0","2.727","0.000",
"RO","VILHENA","PAN","Prefeito","0","0","0","0","29.074","0.000",
"RO","ALTO PARAISO","PAN","Vereador","0","0","0","0","7.684","0.000",
"RO","CACOAL","PAN","Vereador","0","0","0","0","38.850","0.000",
"RO","ALTA FLORESTA DO OESTE","PAN","Vereador","0","0","0","0","13.950","0.000",
"RO","ALTO ALEGRE DOS PARECIS","PAN","Vereador","0","0","0","0","5.771","0.000",
"RO","ALVORADA DO OESTE","PAN","Vereador","0","0","0","0","9.644","0.000",
"RO","ARIQUEMES","PAN","Vereador","0","0","0","0","41.395","0.000",
"RO","BURITIS","PAN","Vereador","0","0","0","0","14.402","0.000",
"RO","CABIXI","PAN","Vereador","0","0","0","0","3.804","0.000",
"RO","CACAULANDIA","PAN","Vereador","0","0","0","0","3.591","0.000",
"RO","CAMPO NOVO DE RONDONIA","PAN","Vereador","0","0","0","0","5.052","0.000",
"RO","CANDEIAS DO JAMARI","PAN","Vereador","0","1","55","56","8.244","0.679",
"RO","CASTANHEIRAS","PAN","Vereador","0","0","0","0","2.672","0.000",
"RO","PORTO VELHO","PC do B","Prefeito","0","0","0","0","177.082","0.000",
"RO","PRESIDENTE MEDICI","PC do B","Prefeito","0","0","0","0","13.362","0.000",
"RO","PRIMAVERA DE RONDONIA","PC do B","Prefeito","0","0","0","0","2.871","0.000",
"RO","RIO CRESPO","PC do B","Prefeito","0","0","0","0","1.619","0.000",
"RO","ROLIM DE MOURA","PC do B","Prefeito","0","0","0","0","24.259","0.000",
"RO","SANTA LUZIA DO OESTE","PC do B","Prefeito","0","0","0","0","6.039","0.000",
"RO","SAO FELIPE D OESTE","PC do B","Prefeito","0","0","0","0","3.725","0.000",
"RO","SAO FRANCISCO DO GUAPORE","PC do B","Prefeito","0","0","0","0","6.938","0.000",
"RO","SAO MIGUEL DO GUAPORE","PC do B","Prefeito","0","0","0","0","8.808","0.000",
"RO","SERINGUEIRAS","PC do B","Prefeito","0","0","0","0","6.129","0.000",
"RO","TEIXEIROPOLIS","PC do B","Prefeito","0","0","0","0","3.442","0.000",
"RO","THEOBROMA","PC do B","Prefeito","0","0","0","0","6.080","0.000",
"RO","URUPA","PC do B","Prefeito","0","0","0","0","6.735","0.000",
"RO","VALE DO ANARI","PC do B","Prefeito","0","0","0","0","4.168","0.000",
"RO","VALE DO PARAISO","PC do B","Prefeito","0","0","0","0","2.727","0.000",
"RO","VILHENA","PC do B","Prefeito","0","0","0","0","29.074","0.000",
"RO","ALTO PARAISO","PC do B","Prefeito","0","0","0","0","7.403","0.000",
"RO","CACOAL","PC do B","Prefeito","0","0","0","0","37.935","0.000",
"RO","ALTA FLORESTA DO OESTE","PC do B","Prefeito","0","0","0","0","13.485","0.000",
"RO","ALTO ALEGRE DOS PARECIS","PC do B","Prefeito","0","0","0","0","5.596","0.000",
"RO","ALVORADA DO OESTE","PC do B","Prefeito","0","0","0","0","9.040","0.000",
"RO","ARIQUEMES","PC do B","Prefeito","0","0","0","0","40.434","0.000",
"RO","BURITIS","PC do B","Prefeito","0","0","0","0","13.634","0.000",
"RO","CABIXI","PC do B","Prefeito","0","0","0","0","3.664","0.000",
"RO","CACAULANDIA","PC do B","Prefeito","0","0","0","0","3.450","0.000",
"RO","CAMPO NOVO DE RONDONIA","PC do B","Prefeito","0","0","0","0","4.882","0.000",
"RO","CANDEIAS DO JAMARI","PC do B","Prefeito","0","0","0","0","8.058","0.000",
"RO","CASTANHEIRAS","PC do B","Prefeito","0","0","0","0","2.576","0.000",
"RO","CEREJEIRAS","PC do B","Prefeito","0","0","0","0","9.819","0.000",
"RO","CHUPINGUAIA","PC do B","Prefeito","0","0","0","0","3.433","0.000",
"RO","COLORADO DO OESTE","PC do B","Prefeito","0","0","0","0","10.600","0.000",
"RO","CORUMBIARA","PC do B","Prefeito","0","0","0","0","4.667","0.000",
"RO","COSTA MARQUES","PC do B","Prefeito","0","0","0","0","5.340","0.000",
"RO","CUJUBIM","PC do B","Prefeito","0","0","0","0","4.908","0.000",
"RO","ESPIGAO D'OESTE","PC do B","Prefeito","0","0","0","0","14.818","0.000",
"RO","GOVERNADOR JORGE TEIXEIRA","PC do B","Prefeito","0","0","0","0","7.010","0.000",
"RO","GUAJARA MIRIM","PC do B","Prefeito","0","0","0","0","12.932","0.000",
"RO","ITAPUA DO OESTE","PC do B","Prefeito","0","0","0","0","3.755","0.000",
"RO","JARU","PC do B","Prefeito","0","0","0","0","28.475","0.000",
"RO","JI PARANA","PC do B","Prefeito","0","0","0","0","54.251","0.000",
"RO","ALTO PARAISO","PC do B","Vereador","0","0","0","0","7.684","0.000",
"RO","CACOAL","PC do B","Vereador","0","0","0","0","38.850","0.000",
"RO","ALTA FLORESTA DO OESTE","PC do B","Vereador","0","0","0","0","13.950","0.000",
"RO","ALTO ALEGRE DOS PARECIS","PC do B","Vereador","0","0","0","0","5.771","0.000",
"RO","ALVORADA DO OESTE","PC do B","Vereador","0","0","0","0","9.644","0.000",
"RO","ARIQUEMES","PC do B","Vereador","0","12","155","167","41.395","0.403",
"RO","BURITIS","PC do B","Vereador","0","0","0","0","14.402","0.000",
"RO","CABIXI","PC do B","Vereador","0","0","0","0","3.804","0.000",
"RO","CACAULANDIA","PC do B","Vereador","0","0","0","0","3.591","0.000",
"RO","CAMPO NOVO DE RONDONIA","PC do B","Vereador","0","0","0","0","5.052","0.000",
"RO","CANDEIAS DO JAMARI","PC do B","Vereador","0","4","40","44","8.244","0.534",
"RO","CASTANHEIRAS","PC do B","Vereador","0","0","0","0","2.672","0.000",
"RO","CEREJEIRAS","PC do B","Vereador","0","0","0","0","10.108","0.000",
"RO","CHUPINGUAIA","PC do B","Vereador","0","0","0","0","3.578","0.000",
"RO","COLORADO DO OESTE","PC do B","Vereador","0","0","0","0","11.243","0.000",
"RO","CORUMBIARA","PC do B","Vereador","0","0","0","0","4.742","0.000",
"RO","COSTA MARQUES","PC do B","Vereador","0","0","0","0","5.559","0.000",
"RO","CUJUBIM","PC do B","Vereador","0","11","252","263","4.986","5.275",
"RO","ESPIGAO D'OESTE","PC do B","Vereador","1","51","1,779","1,830","15.393","11.889",
"RO","GOVERNADOR JORGE TEIXEIRA","PC do B","Vereador","0","0","0","0","7.308","0.000",
"RO","GUAJARA MIRIM","PC do B","Vereador","0","8","390","398","19.437","2.048",
"RO","ITAPUA DO OESTE","PC do B","Vereador","0","1","25","26","3.833","0.678",
"RO","JARU","PC do B","Vereador","0","7","106","113","29.444","0.384",
"RO","JI PARANA","PC do B","Vereador","0","10","449","459","55.376","0.829",
"RO","MACHADINHO DO OESTE","PC do B","Vereador","0","0","0","0","13.536","0.000",
"RO","MINISTRO ANDREAZZA","PC do B","Vereador","0","0","0","0","5.223","0.000",
