Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (RR) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:38:35  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"RR","AMAJARI","PAN","Prefeito","0","0","297","297","2.802","10.600",
"RR","ALTO ALEGRE","PAN","Vereador","0","0","0","0","5.357","0.000",
"RR","BONFIM","PAN","Prefeito","0","0","0","0","3.879","0.000",
"RR","CANTA","PAN","Prefeito","0","0","0","0","4.962","0.000",
"RR","CARACARAI","PAN","Prefeito","0","0","0","0","7.213","0.000",
"RR","CAROEBE","PAN","Prefeito","0","0","0","0","3.576","0.000",
"RR","IRACEMA","PAN","Prefeito","0","0","0","0","3.181","0.000",
"RR","MUCAJAI","PAN","Prefeito","0","0","0","0","6.556","0.000",
"RR","NORMANDIA","PAN","Prefeito","0","0","0","0","3.159","0.000",
"RR","PACARAIMA","PAN","Prefeito","0","0","0","0","3.133","0.000",
"RR","RORAINOPOLIS","PAN","Prefeito","0","0","0","0","6.927","0.000",
"RR","SAO JOAO DA BALIZA","PAN","Prefeito","0","0","0","0","3.177","0.000",
"RR","SAO LUIZ DO ANAUA","PAN","Prefeito","0","0","0","0","3.606","0.000",
"RR","UIRAMUTA","PAN","Prefeito","0","0","0","0","2.001","0.000",
"RR","ALTO ALEGRE","PAN","Prefeito","0","0","0","0","5.188","0.000",
"RR","AMAJARI","PAN","Vereador","0","9","0","9","2.887","0.312",
"RR","BOA VISTA","PAN","Vereador","1","83","4,481","4,564","112.915","4.042",
"RR","BONFIM","PAN","Vereador","0","1","26","27","4.040","0.668",
"RR","CANTA","PAN","Vereador","0","0","0","0","5.125","0.000",
"RR","CARACARAI","PAN","Vereador","0","0","0","0","7.440","0.000",
"RR","CAROEBE","PAN","Vereador","2","6","312","318","3.690","8.618",
