Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (RS) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:39:43  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"RS","CENTENARIO","PAN","Vereador","0","0","0","0","2.243","0.000",
"RS","CERRITO","PAN","Vereador","0","0","0","0","4.756","0.000",
"RS","CERRO BRANCO","PAN","Vereador","0","0","0","0","3.333","0.000",
"RS","CERRO GRANDE","PAN","Vereador","0","0","0","0","1.836","0.000",
"RS","CERRO GRANDE DO SUL","PAN","Vereador","0","0","0","0","5.438","0.000",
"RS","CERRO LARGO","PAN","Vereador","0","0","0","0","8.391","0.000",
"RS","CHAPADA","PAN","Vereador","0","0","0","0","6.984","0.000",
"RS","CHARQUEADAS","PAN","Vereador","0","0","0","0","18.598","0.000",
"RS","CHARRUA","PAN","Vereador","0","0","0","0","2.419","0.000",
"RS","CHIAPETA","PAN","Vereador","0","0","0","0","3.096","0.000",
"RS","CHUI","PAN","Vereador","0","0","0","0","2.459","0.000",
"RS","CHUVISCA","PAN","Vereador","0","0","0","0","3.358","0.000",
"RS","CIDREIRA","PAN","Vereador","0","0","0","0","6.415","0.000",
"RS","COLINAS","PAN","Vereador","0","0","0","0","1.974","0.000",
"RS","COLORADO","PAN","Vereador","0","0","0","0","2.663","0.000",
"RS","CONDOR","PAN","Vereador","0","0","0","0","4.751","0.000",
"RS","COQUEIRO BAIXO","PAN","Vereador","0","0","0","0","1.235","0.000",
"RS","COQUEIROS DO SUL","PAN","Vereador","0","0","0","0","2.031","0.000",
"RS","CORONEL BARROS","PAN","Vereador","0","0","0","0","1.935","0.000",
"RS","CORONEL BICACO","PAN","Vereador","0","0","0","0","5.281","0.000",
"RS","CORONEL PILAR","PAN","Vereador","0","0","0","0","1.414","0.000",
"RS","COXILHA","PAN","Vereador","0","0","0","0","2.174","0.000",
"RS","CRISSIUMAL","PAN","Vereador","0","0","0","0","10.044","0.000",
"RS","CRISTAL","PAN","Vereador","0","0","0","0","4.791","0.000",
"RS","CRISTAL DO SUL","PAN","Vereador","0","0","0","0","2.139","0.000",
"RS","CRUZALTENSE","PAN","Vereador","0","0","0","0","1.830","0.000",
"RS","CRUZEIRO DO SUL","PAN","Vereador","0","0","0","0","8.007","0.000",
"RS","DAVID CANABARRO","PAN","Vereador","0","0","0","0","3.595","0.000",
"RS","DERRUBADAS","PAN","Vereador","0","0","0","0","2.428","0.000",
"RS","DILERMANDO DE AGUIAR","PAN","Vereador","0","0","0","0","2.124","0.000",
"RS","DOIS IRMAOS","PAN","Vereador","0","0","0","0","15.956","0.000",
"RS","DOIS IRMAOS DAS MISSOES","PAN","Vereador","0","0","0","0","1.586","0.000",
"RS","PALMARES DO SUL","PAN","Vereador","0","0","0","0","8.356","0.000",
"RS","PALMEIRA DAS MISSOES","PAN","Vereador","0","0","0","0","18.676","0.000",
"RS","PALMITINHO","PAN","Vereador","0","0","0","0","4.936","0.000",
"RS","PANAMBI","PAN","Vereador","0","0","0","0","21.783","0.000",
"RS","PANTANO GRANDE","PAN","Vereador","0","0","0","0","7.281","0.000",
"RS","PARAI","PAN","Vereador","0","0","0","0","4.579","0.000",
"RS","PARAISO DO SUL","PAN","Vereador","0","0","0","0","5.098","0.000",
"RS","PARECI NOVO","PAN","Vereador","0","0","0","0","2.357","0.000",
"RS","PAROBE","PAN","Vereador","0","0","0","0","27.402","0.000",
"RS","PASSA SETE","PAN","Vereador","0","0","0","0","3.391","0.000",
"RS","PASSO DO SOBRADO","PAN","Vereador","0","0","0","0","4.256","0.000",
"RS","PASSO FUNDO","PAN","Vereador","0","0","0","0","102.098","0.000",
"RS","PAULO BENTO","PAN","Vereador","0","0","0","0","1.588","0.000",
"RS","PAVERAMA","PAN","Vereador","0","0","0","0","5.318","0.000",
"RS","PEDRAS ALTAS","PAN","Vereador","0","0","0","0","1.733","0.000",
"RS","PEDRO OSORIO","PAN","Vereador","0","0","0","0","5.260","0.000",
"RS","PEJUCARA","PAN","Vereador","0","0","0","0","2.657","0.000",
"RS","PELOTAS","PAN","Vereador","0","0","0","0","191.997","0.000",
"RS","BOM PROGRESSO","PAN","Vereador","0","0","0","0","1.864","0.000",
"RS","BOM RETIRO DO SUL","PAN","Vereador","0","0","0","0","7.777","0.000",
"RS","BOQUEIRAO DO LEAO","PAN","Vereador","0","0","0","0","5.476","0.000",
"RS","BOSSOROCA","PAN","Vereador","0","0","0","0","4.930","0.000",
"RS","BOZANO","PAN","Vereador","0","0","0","0","1.825","0.000",
"RS","BRAGA","PAN","Vereador","0","0","0","0","2.560","0.000",
"RS","BROCHIER","PAN","Vereador","0","0","0","0","3.429","0.000",
"RS","BUTIA","PAN","Vereador","0","0","0","0","13.008","0.000",
"RS","CACAPAVA DO SUL","PAN","Vereador","0","0","0","0","23.107","0.000",
"RS","CACEQUI","PAN","Vereador","0","0","0","0","9.009","0.000",
"RS","CACHOEIRA DO SUL","PAN","Vereador","0","0","0","0","52.417","0.000",
"RS","CACHOEIRINHA","PAN","Vereador","0","0","0","0","71.471","0.000",
"RS","CACIQUE DOBLE","PAN","Vereador","0","0","0","0","2.982","0.000",
"RS","CAIBATE","PAN","Vereador","0","0","0","0","3.575","0.000",
"RS","CAICARA","PAN","Vereador","0","0","0","0","3.706","0.000",
"RS","CAMAQUA","PAN","Vereador","0","0","0","0","39.042","0.000",
"RS","CAMARGO","PAN","Vereador","0","0","0","0","1.762","0.000",
"RS","CAMBARA DO SUL","PAN","Vereador","0","0","0","0","4.674","0.000",
"RS","CAMPESTRE DA SERRA","PAN","Vereador","0","0","0","0","2.373","0.000",
"RS","CAMPINA DAS MISSOES","PAN","Vereador","0","0","0","0","4.401","0.000",
"RS","CAMPINAS DO SUL","PAN","Vereador","0","0","0","0","4.135","0.000",
"RS","CAMPO BOM","PAN","Vereador","0","1","89","90","37.448","0.240",
"RS","CAMPO NOVO","PAN","Vereador","0","0","0","0","4.094","0.000",
"RS","CAMPOS BORGES","PAN","Vereador","0","0","0","0","2.500","0.000",
"RS","CANDELARIA","PAN","Vereador","0","0","0","0","19.859","0.000",
"RS","CANDIDO GODOI","PAN","Vereador","0","0","0","0","5.024","0.000",
"RS","CANDIOTA","PAN","Vereador","0","0","0","0","5.588","0.000",
"RS","CANELA","PAN","Vereador","0","0","0","0","21.544","0.000",
"RS","CANGUCU","PAN","Vereador","0","0","0","0","36.008","0.000",
"RS","CANOAS","PAN","Vereador","0","27","246","273","188.798","0.145",
"RS","CANUDOS DO VALE","PAN","Vereador","0","0","0","0","1.849","0.000",
"RS","CAPAO BONITO DO SUL","PAN","Vereador","0","0","0","0","1.433","0.000",
"RS","CAPAO DA CANOA","PAN","Vereador","0","0","0","0","20.417","0.000",
"RS","CAPAO DO CIPO","PAN","Vereador","0","0","0","0","2.279","0.000",
"RS","CAPAO DO LEAO","PAN","Vereador","0","0","0","0","13.901","0.000",
"RS","CAPELA DE SANTANA","PAN","Vereador","0","0","0","0","6.477","0.000",
"RS","CAPITAO","PAN","Vereador","0","0","0","0","2.191","0.000",
"RS","CAPIVARI DO SUL","PAN","Vereador","0","0","0","0","2.266","0.000",
"RS","CARAA","PAN","Vereador","0","0","0","0","4.691","0.000",
"RS","CARAZINHO","PAN","Vereador","0","0","0","0","36.362","0.000",
"RS","CARLOS BARBOSA","PAN","Vereador","0","0","0","0","15.422","0.000",
"RS","CARLOS GOMES","PAN","Vereador","0","0","0","0","1.534","0.000",
"RS","CASCA","PAN","Vereador","0","0","0","0","5.751","0.000",
"RS","CASEIROS","PAN","Vereador","0","0","0","0","2.029","0.000",
"RS","CATUIPE","PAN","Vereador","0","0","0","0","7.171","0.000",
"RS","CAXIAS DO SUL","PAN","Vereador","0","36","284","320","226.045","0.142",
"RS","BOA VISTA DO CADEADO","PAN","Vereador","0","0","0","0","1.697","0.000",
"RS","BOA VISTA DO INCRA","PAN","Vereador","0","0","0","0","1.818","0.000",
"RS","BOA VISTA DO SUL","PAN","Vereador","0","0","0","0","2.159","0.000",
"RS","BOM JESUS","PAN","Vereador","0","0","0","0","7.437","0.000",
"RS","BOM PRINCIPIO","PAN","Vereador","0","0","0","0","7.090","0.000",
"RS","LIBERATO SALZANO","PAN","Vereador","0","0","0","0","4.210","0.000",
"RS","LINDOLFO COLLOR","PAN","Vereador","0","0","0","0","3.400","0.000",
"RS","LINHA NOVA","PAN","Vereador","0","0","0","0","1.155","0.000",
"RS","MACAMBARA","PAN","Vereador","0","0","0","0","3.416","0.000",
"RS","MACHADINHO","PAN","Vereador","0","0","0","0","3.701","0.000",
"RS","MAMPITUBA","PAN","Vereador","0","0","0","0","2.382","0.000",
"RS","MANOEL VIANA","PAN","Vereador","0","0","0","0","4.960","0.000",
"RS","MAQUINE","PAN","Vereador","0","0","0","0","5.059","0.000",
"RS","MARATA","PAN","Vereador","0","0","0","0","2.073","0.000",
"RS","MARAU","PAN","Vereador","0","0","0","0","19.928","0.000",
"RS","MARCELINO RAMOS","PAN","Vereador","0","0","0","0","4.049","0.000",
"RS","MARIANA PIMENTEL","PAN","Vereador","0","0","0","0","3.051","0.000",
"RS","MARIANO MORO","PAN","Vereador","0","0","0","0","1.855","0.000",
"RS","MARQUES DE SOUZA","PAN","Vereador","0","0","0","0","3.184","0.000",
"RS","MATA","PAN","Vereador","0","0","0","0","3.724","0.000",
"RS","MATO CASTELHANO","PAN","Vereador","0","0","0","0","2.007","0.000",
"RS","MATO LEITAO","PAN","Vereador","0","0","0","0","2.716","0.000",
"RS","MATO QUEIMADO","PAN","Vereador","0","0","0","0","1.510","0.000",
"RS","MAXIMILIANO DE ALMEIDA","PAN","Vereador","0","0","0","0","3.581","0.000",
"RS","MINAS DO LEAO","PAN","Vereador","0","0","0","0","4.943","0.000",
"RS","MIRAGUAI","PAN","Vereador","0","0","0","0","3.241","0.000",
"RS","MONTAURI","PAN","Vereador","0","0","0","0","1.259","0.000",
"RS","MONTE ALEGRE DOS CAMPOS","PAN","Vereador","0","0","0","0","2.643","0.000",
"RS","MONTE BELO DO SUL","PAN","Vereador","0","0","0","0","2.485","0.000",
"RS","MONTENEGRO","PAN","Vereador","0","14","783","797","33.341","2.390",
"RS","MORMACO","PAN","Vereador","0","0","0","0","2.009","0.000",
"RS","MORRINHOS DO SUL","PAN","Vereador","0","0","0","0","2.685","0.000",
"RS","MORRO REDONDO","PAN","Vereador","0","0","0","0","4.224","0.000",
"RS","MORRO REUTER","PAN","Vereador","0","0","0","0","3.943","0.000",
"RS","MOSTARDAS","PAN","Vereador","0","0","0","0","7.415","0.000",
"RS","MUCUM","PAN","Vereador","0","0","0","0","3.701","0.000",
"RS","MUITOS CAPOES","PAN","Vereador","0","0","0","0","2.108","0.000",
"RS","MULITERNO","PAN","Vereador","0","0","0","0","1.351","0.000",
"RS","NAO ME TOQUE","PAN","Vereador","0","0","0","0","10.383","0.000",
"RS","NICOLAU VERGUEIRO","PAN","Vereador","0","0","0","0","1.560","0.000",
"RS","NONOAI","PAN","Vereador","0","0","0","0","7.824","0.000",
"RS","NOVA ALVORADA","PAN","Vereador","0","0","0","0","2.012","0.000",
"RS","NOVA ARACA","PAN","Vereador","0","0","0","0","2.602","0.000",
"RS","NOVA BASSANO","PAN","Vereador","0","0","0","0","5.888","0.000",
"RS","NOVA BOA VISTA","PAN","Vereador","0","0","0","0","1.757","0.000",
"RS","NOVA BRESCIA","PAN","Vereador","0","0","0","0","2.335","0.000",
"RS","NOVA CANDELARIA","PAN","Vereador","0","0","0","0","2.100","0.000",
"RS","NOVA ESPERANCA DO SUL","PAN","Vereador","0","0","0","0","3.376","0.000",
"RS","NOVA HARTZ","PAN","Vereador","0","0","0","0","10.696","0.000",
"RS","NOVA PADUA","PAN","Vereador","0","0","0","0","1.944","0.000",
"RS","NOVA PALMA","PAN","Vereador","0","0","0","0","4.622","0.000",
"RS","NOVA PETROPOLIS","PAN","Vereador","0","0","0","0","12.520","0.000",
"RS","NOVA PRATA","PAN","Vereador","0","0","0","0","13.178","0.000",
"RS","NOVA RAMADA","PAN","Vereador","0","0","0","0","1.881","0.000",
"RS","NOVA ROMA DO SUL","PAN","Vereador","0","0","0","0","2.470","0.000",
"RS","NOVA SANTA RITA","PAN","Vereador","0","0","0","0","10.894","0.000",
"RS","NOVO BARREIRO","PAN","Vereador","0","0","0","0","2.939","0.000",
"RS","NOVO CABRAIS","PAN","Vereador","0","0","0","0","3.168","0.000",
"RS","NOVO HAMBURGO","PAN","Vereador","0","0","0","0","138.596","0.000",
"RS","NOVO MACHADO","PAN","Vereador","0","0","0","0","3.105","0.000",
"RS","NOVO TIRADENTES","PAN","Vereador","0","0","0","0","1.747","0.000",
"RS","NOVO XINGU","PAN","Vereador","0","0","0","0","1.388","0.000",
"RS","OSORIO","PAN","Vereador","0","0","0","0","24.098","0.000",
"RS","PAIM FILHO","PAN","Vereador","0","0","0","0","3.506","0.000",
"RS","PLANALTO","PAN","Vereador","0","0","0","0","7.338","0.000",
"RS","PONTAO","PAN","Vereador","0","0","0","0","2.794","0.000",
"RS","PONTE PRETA","PAN","Vereador","0","0","0","0","1.464","0.000",
"RS","PORTAO","PAN","Vereador","0","0","0","0","16.293","0.000",
"RS","PORTO ALEGRE","PAN","Vereador","0","192","2,664","2,856","796.567","0.359",
"RS","PORTO LUCENA","PAN","Vereador","0","0","0","0","4.125","0.000",
"RS","PORTO VERA CRUZ","PAN","Vereador","0","0","0","0","1.651","0.000",
"RS","PORTO XAVIER","PAN","Vereador","0","0","0","0","7.133","0.000",
"RS","POUSO NOVO","PAN","Vereador","0","0","0","0","1.630","0.000",
"RS","PRESIDENTE LUCENA","PAN","Vereador","0","0","0","0","1.725","0.000",
"RS","PROGRESSO","PAN","Vereador","0","0","0","0","4.197","0.000",
"RS","PUTINGA","PAN","Vereador","0","0","0","0","3.695","0.000",
"RS","QUARAI","PAN","Vereador","0","0","0","0","15.066","0.000",
"RS","QUATRO IRMAOS","PAN","Vereador","0","0","0","0","1.331","0.000",
"RS","QUEVEDOS","PAN","Vereador","0","0","0","0","2.028","0.000",
