Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (SC) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:40:20  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"SC","ARVOREDO","PAN","Vereador","0","0","0","0","1.567","0.000",
"SC","ASCURRA","PAN","Vereador","0","0","0","0","4.730","0.000",
"SC","ATALANTA","PAN","Vereador","0","0","0","0","2.348","0.000",
"SC","AURORA","PAN","Vereador","0","0","0","0","3.933","0.000",
"SC","BALNEARIO ARROIO DO SILVA","PAN","Vereador","0","0","0","0","4.454","0.000",
"SC","HERVAL D'OESTE","PAN","Vereador","0","0","0","0","12.278","0.000",
"SC","LAJEADO GRANDE","PAN","Vereador","0","0","0","0","1.364","0.000",
"SC","LUIS ALVES","PAN","Vereador","0","0","0","0","5.836","0.000",
"SC","BALNEARIO CAMBORIU","PAN","Vereador","0","0","0","0","51.387","0.000",
"SC","BALNEARIO BARRA DO SUL","PAN","Vereador","0","0","0","0","5.134","0.000",
"SC","MATOS COSTA","PAN","Vereador","0","0","0","0","2.063","0.000",
"SC","MELEIRO","PAN","Vereador","0","0","0","0","4.613","0.000",
"SC","MIRIM DOCE","PAN","Vereador","0","0","0","0","1.992","0.000",
"SC","MODELO","PAN","Vereador","0","0","0","0","2.719","0.000",
"SC","MONDAI","PAN","Vereador","0","0","0","0","6.167","0.000",
"SC","MONTE CARLO","PAN","Vereador","0","0","0","0","5.978","0.000",
"SC","MONTE CASTELO","PAN","Vereador","0","0","0","0","5.422","0.000",
"SC","MORRO DA FUMACA","PAN","Vereador","0","0","0","0","8.862","0.000",
"SC","MORRO GRANDE","PAN","Vereador","0","0","0","0","2.218","0.000",
"SC","NAVEGANTES","PAN","Vereador","0","0","0","0","25.084","0.000",
"SC","NOVA ERECHIM","PAN","Vereador","0","0","0","0","2.836","0.000",
"SC","NOVA ITABERABA","PAN","Vereador","0","0","0","0","2.811","0.000",
"SC","NOVA TRENTO","PAN","Vereador","0","0","0","0","7.456","0.000",
"SC","NOVA VENEZA","PAN","Vereador","0","0","0","0","8.209","0.000",
"SC","NOVO HORIZONTE","PAN","Vereador","0","0","0","0","1.897","0.000",
"SC","ORLEANS","PAN","Vereador","0","0","0","0","13.770","0.000",
"SC","OTACILIO COSTA","PAN","Vereador","0","0","0","0","9.645","0.000",
"SC","OURO","PAN","Vereador","0","0","0","0","5.058","0.000",
"SC","OURO VERDE","PAN","Vereador","0","0","0","0","1.617","0.000",
"SC","PAIAL","PAN","Vereador","0","0","0","0","1.269","0.000",
"SC","PAINEL","PAN","Vereador","0","0","0","0","1.950","0.000",
"SC","PALHOCA","PAN","Vereador","0","0","0","0","59.012","0.000",
"SC","PALMA SOLA","PAN","Vereador","0","0","0","0","4.763","0.000",
"SC","PALMEIRA","PAN","Vereador","0","0","0","0","2.083","0.000",
