Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (SE) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:40:42  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"SE","POCO VERDE","PAN","Vereador","1","58","657","715","13.079","5.467",
"SE","PORTO DA FOLHA","PAN","Vereador","0","0","0","0","14.651","0.000",
"SE","PROPRIA","PAN","Vereador","0","8","8","16","16.225","0.099",
"SE","RIACHAO DO DANTAS","PAN","Vereador","0","0","0","0","12.002","0.000",
"SE","RIACHUELO","PAN","Vereador","1","10","277","287","5.144","5.579",
"SE","RIBEIROPOLIS","PAN","Vereador","0","0","0","0","9.239","0.000",
"SE","ROSARIO DO CATETE","PAN","Vereador","0","2","0","2","5.677","0.035",
"SE","SALGADO","PAN","Vereador","0","0","0","0","10.776","0.000",
"SE","SANTA LUZIA DO ITANHY","PAN","Vereador","0","0","0","0","6.245","0.000",
"SE","SANTA ROSA DE LIMA","PAN","Vereador","0","0","0","0","2.639","0.000",
"SE","SANTANA DO SAO FRANCISCO","PAN","Vereador","0","0","0","0","3.724","0.000",
"SE","SANTO AMARO DAS BROTAS","PAN","Vereador","0","0","0","0","6.055","0.000",
"SE","SAO CRISTOVAO","PAN","Vereador","0","27","628","655","35.322","1.854",
"SE","SAO DOMINGOS","PAN","Vereador","0","0","0","0","5.139","0.000",
"SE","SAO FRANCISCO","PAN","Vereador","0","0","0","0","1.990","0.000",
"SE","SAO MIGUEL DO ALEIXO","PAN","Vereador","0","0","0","0","2.327","0.000",
"SE","SIMAO DIAS","PAN","Vereador","0","0","0","0","21.850","0.000",
"SE","SIRIRI","PAN","Vereador","0","0","0","0","4.513","0.000",
"SE","TELHA","PAN","Vereador","0","0","0","0","2.039","0.000",
"SE","TOBIAS BARRETO","PAN","Vereador","0","10","237","247","26.117","0.946",
"SE","TOMAR DO GERU","PAN","Vereador","0","0","0","0","7.812","0.000",
"SE","UMBAUBA","PAN","Vereador","0","0","0","0","10.812","0.000",
"SE","SANTO AMARO DAS BROTAS","PAN","Prefeito","0","0","0","0","5.834","0.000",
"SE","SAO CRISTOVAO","PAN","Prefeito","0","0","0","0","33.295","0.000",
"SE","SAO DOMINGOS","PAN","Prefeito","0","0","0","0","4.780","0.000",
"SE","SAO FRANCISCO","PAN","Prefeito","0","0","0","0","1.949","0.000",
"SE","SAO MIGUEL DO ALEIXO","PAN","Prefeito","0","0","0","0","1.935","0.000",
"SE","SIMAO DIAS","PAN","Prefeito","0","0","0","0","21.370","0.000",
"SE","SIRIRI","PAN","Prefeito","0","0","0","0","4.387","0.000",
"SE","TELHA","PAN","Prefeito","0","0","0","0","1.994","0.000",
"SE","TOBIAS BARRETO","PAN","Prefeito","0","0","0","0","25.056","0.000",
"SE","TOMAR DO GERU","PAN","Prefeito","0","0","0","0","7.592","0.000",
"SE","UMBAUBA","PAN","Prefeito","0","0","0","0","10.581","0.000",
"SE","AMPARO DO SAO FRANCISCO","PAN","Vereador","0","0","0","0","1.576","0.000",
"SE","AQUIDABA","PAN","Vereador","0","3","9","12","11.614","0.103",
"SE","ARACAJU","PAN","Vereador","0","258","1,103","1,361","269.379","0.505",
"SE","ARAUA","PAN","Vereador","0","0","0","0","6.623","0.000",
"SE","AREIA BRANCA","PAN","Vereador","0","11","194","205","8.332","2.460",
"SE","BARRA DOS COQUEIROS","PAN","Vereador","0","0","0","0","12.249","0.000",
"SE","BOQUIM","PAN","Vereador","0","0","0","0","15.472","0.000",
"SE","BREJO GRANDE","PAN","Vereador","0","0","0","0","3.788","0.000",
"SE","CAMPO DO BRITO","PAN","Vereador","0","0","0","0","10.395","0.000",
"SE","CANHOBA","PAN","Vereador","0","0","0","0","3.219","0.000",
"SE","CANINDE DO SAO FRANCISCO","PAN","Vereador","0","0","0","0","13.180","0.000",
"SE","CAPELA","PAN","Vereador","0","0","0","0","13.971","0.000",
"SE","CARIRA","PAN","Vereador","0","0","0","0","11.429","0.000",
"SE","CARMOPOLIS","PAN","Vereador","0","0","0","0","6.727","0.000",
"SE","CEDRO DE SAO JOAO","PAN","Vereador","0","0","0","0","3.835","0.000",
"SE","CRISTINAPOLIS","PAN","Vereador","0","0","0","0","8.683","0.000",
