Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (SP) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:41:50  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"SP","CARAPICUIBA","PAN","Vereador","0","47","783","830","185.042","0.449",
"SP","CARDOSO","PAN","Vereador","0","0","0","0","7.104","0.000",
"SP","CASA BRANCA","PAN","Vereador","0","0","0","0","14.569","0.000",
"SP","CASSIA DOS COQUEIROS","PAN","Vereador","0","0","0","0","2.032","0.000",
"SP","CASTILHO","PAN","Vereador","0","0","0","0","10.648","0.000",
"SP","CATIGUA","PAN","Vereador","0","0","0","0","4.372","0.000",
"SP","CEDRAL","PAN","Vereador","0","0","0","0","4.865","0.000",
"SP","CERQUEIRA CESAR","PAN","Vereador","0","0","0","0","9.862","0.000",
"SP","CERQUILHO","PAN","Vereador","0","0","0","0","18.553","0.000",
"SP","CHARQUEADA","PAN","Vereador","0","0","0","0","9.470","0.000",
"SP","BADY BASSIT","PAN","Vereador","0","0","0","0","7.905","0.000",
"SP","BALBINOS","PAN","Vereador","0","0","0","0","1.146","0.000",
"SP","BALSAMO","PAN","Vereador","0","0","0","0","4.986","0.000",
"SP","BANANAL","PAN","Vereador","0","0","0","0","6.207","0.000",
"SP","BARAO DE ANTONINA","PAN","Vereador","0","0","0","0","2.019","0.000",
"SP","BARBOSA","PAN","Vereador","0","0","0","0","3.894","0.000",
"SP","BARIRI","PAN","Vereador","0","0","0","0","17.263","0.000",
"SP","BARRA BONITA","PAN","Vereador","0","19","195","214","23.580","0.908",
"SP","BARRA DO CHAPEU","PAN","Vereador","0","0","0","0","3.595","0.000",
"SP","BARRA DO TURVO","PAN","Vereador","0","0","0","0","5.118","0.000",
"SP","BARRETOS","PAN","Vereador","0","0","0","0","60.878","0.000",
"SP","BARRINHA","PAN","Vereador","0","10","77","87","15.713","0.554",
"SP","BARUERI","PAN","Vereador","0","79","509","588","141.203","0.416",
"SP","BASTOS","PAN","Vereador","0","0","0","0","12.949","0.000",
"SP","BATATAIS","PAN","Vereador","0","0","0","0","30.694","0.000",
"SP","BAURU","PAN","Vereador","0","22","187","209","169.321","0.123",
"SP","BEBEDOURO","PAN","Vereador","0","19","0","19","41.712","0.046",
"SP","BENTO DE ABREU","PAN","Vereador","0","0","0","0","1.706","0.000",
"SP","BERTIOGA","PAN","Vereador","0","0","0","0","22.537","0.000",
"SP","BILAC","PAN","Vereador","0","0","0","0","4.681","0.000",
"SP","BIRIGUI","PAN","Vereador","0","0","0","0","54.043","0.000",
