Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (TO) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:42:18  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"TO","NOVA ROSALANDIA","PAN","Vereador","0","0","0","0","1.883","0.000",
"TO","NOVO ACORDO","PAN","Vereador","0","0","0","0","2.390","0.000",
"TO","NOVO ALEGRE","PAN","Vereador","0","0","0","0","1.524","0.000",
"TO","NOVO JARDIM","PAN","Vereador","0","0","0","0","1.482","0.000",
"TO","PALMAS","PAN","Vereador","0","7","0","7","90.226","0.008",
"TO","PALMEIRANTE","PAN","Vereador","0","0","0","0","2.083","0.000",
"TO","PALMEIRAS DO TOCANTINS","PAN","Vereador","0","0","0","0","2.792","0.000",
"TO","PALMEIROPOLIS","PAN","Vereador","0","0","0","0","4.313","0.000",
"TO","PARAISO DO TOCANTINS","PAN","Vereador","0","0","0","0","20.431","0.000",
"TO","PARANA","PAN","Vereador","0","0","0","0","4.674","0.000",
"TO","PAU D'ARCO","PAN","Vereador","0","0","0","0","2.363","0.000",
"TO","PEDRO AFONSO","PAN","Vereador","0","0","0","0","5.066","0.000",
"TO","PEIXE","PAN","Vereador","0","0","0","0","5.834","0.000",
"TO","PEQUIZEIRO","PAN","Vereador","0","0","0","0","2.972","0.000",
"TO","PINDORAMA DO TOCANTINS","PAN","Vereador","0","0","0","0","2.667","0.000",
"TO","PIRAQUE","PAN","Vereador","0","0","0","0","1.876","0.000",
"TO","CHAPADA DA AREIA","PAN","Vereador","0","0","0","0","1.226","0.000",
"TO","OLIVEIRA DO TOCANTINS","PAN","Vereador","0","0","0","0","1.131","0.000",
"TO","DIVINOPOLIS","PAN","Vereador","0","0","0","0","3.824","0.000",
"TO","BANDEIRANTES DO TOCANTINS","PAN","Vereador","0","0","0","0","2.137","0.000",
"TO","DARCYNOPOLIS","PAN","Vereador","0","0","0","0","2.656","0.000",
"TO","LAJEADO","PAN","Vereador","0","0","0","0","1.623","0.000",
"TO","BARROLANDIA","PAN","Vereador","0","0","0","0","3.864","0.000",
"TO","BERNARDO SAYAO","PAN","Vereador","0","0","0","0","2.570","0.000",
"TO","BOM JESUS DO TOCANTINS","PAN","Vereador","0","0","0","0","1.870","0.000",
"TO","BRASILANDIA DO TOCANTINS","PAN","Vereador","0","0","0","0","1.443","0.000",
"TO","BREJINHO DE NAZARE","PAN","Vereador","0","0","0","0","3.165","0.000",
"TO","BURITI DO TOCANTINS","PAN","Vereador","0","0","0","0","4.510","0.000",
"TO","CACHOEIRINHA","PAN","Vereador","0","0","0","0","1.208","0.000",
"TO","CAMPOS LINDOS","PAN","Vereador","0","0","0","0","3.579","0.000",
"TO","CARIRI DO TOCANTINS","PAN","Vereador","0","0","0","0","2.271","0.000",
"TO","CARMOLANDIA","PAN","Vereador","0","0","0","0","1.416","0.000",
"TO","CARRASCO BONITO","PAN","Vereador","0","2","58","60","1.888","3.178",
"TO","CASEARA","PAN","Vereador","0","0","0","0","2.369","0.000",
"TO","CENTENARIO","PAN","Vereador","0","0","0","0","1.620","0.000",
"TO","CHAPADA DA NATIVIDADE","PAN","Vereador","0","0","0","0","2.566","0.000",
"TO","COLINAS DO TOCANTINS","PAN","Vereador","0","0","0","0","14.658","0.000",
"TO","COLMEIA","PAN","Vereador","0","0","0","0","5.546","0.000",
"TO","COMBINADO","PAN","Vereador","0","0","0","0","2.658","0.000",
"TO","CONCEICAO DO TOCANTINS","PAN","Vereador","0","0","0","0","2.486","0.000",
"TO","COUTO DE MAGALHAES","PAN","Vereador","0","0","0","0","2.779","0.000",
"TO","CRISTALANDIA","PAN","Vereador","0","0","0","0","4.347","0.000",
"TO","CRIXAS DO TOCANTINS","PAN","Vereador","0","0","0","0","1.159","0.000",
"TO","DIANOPOLIS","PAN","Vereador","0","0","0","0","7.704","0.000",
"TO","DOIS IRMAOS DO TOCANTINS","PAN","Vereador","0","0","0","0","3.957","0.000",
"TO","DUERE","PAN","Vereador","0","0","0","0","3.176","0.000",
"TO","ESPERANTINA","PAN","Vereador","0","0","0","0","4.195","0.000",
"TO","FATIMA","PAN","Vereador","0","0","0","0","2.599","0.000",
"TO","FIGUEIROPOLIS","PAN","Vereador","0","0","0","0","3.559","0.000",
"TO","FILADELFIA","PAN","Vereador","0","0","0","0","4.716","0.000",
"TO","FORMOSO DO ARAGUAIA","PAN","Vereador","0","2","0","2","10.860","0.018",
"TO","PIUM","PAN","Vereador","0","0","0","0","4.074","0.000",
"TO","PONTE ALTA DO BOM JESUS","PAN","Vereador","0","0","0","0","2.784","0.000",
"TO","PONTE ALTA DO TOCANTINS","PAN","Vereador","0","0","0","0","3.934","0.000",
"TO","PORTO ALEGRE DO TOCANTINS","PAN","Vereador","0","0","0","0","1.697","0.000",
"TO","PORTO NACIONAL","PAN","Vereador","0","0","0","0","22.980","0.000",
"TO","PRAIA NORTE","PAN","Vereador","0","0","0","0","3.820","0.000",
"TO","PRESIDENTE KENNEDY","PAN","Vereador","0","0","0","0","2.449","0.000",
"TO","FORTALEZA DO TABOCAO","PAN","Vereador","0","0","0","0","1.477","0.000",
"TO","GOIANORTE","PAN","Vereador","0","0","0","0","3.012","0.000",
"TO","GOIATINS","PAN","Vereador","0","0","0","0","5.676","0.000",
"TO","GUARAI","PAN","Vereador","0","0","0","0","11.903","0.000",
"TO","GURUPI","PAN","Vereador","0","0","0","0","35.539","0.000",
"TO","IPUEIRAS","PAN","Vereador","0","0","0","0","992","0.000",
"TO","ITACAJA","PAN","Vereador","0","0","0","0","4.502","0.000",
"TO","ITAGUATINS","PAN","Vereador","0","0","0","0","3.752","0.000",
"TO","ITAPIRATINS","PAN","Vereador","0","0","0","0","1.910","0.000",
"TO","ITAPORA DO TOCANTINS","PAN","Vereador","0","0","0","0","1.778","0.000",
"TO","JAU DO TOCANTINS","PAN","Vereador","0","0","0","0","2.575","0.000",
"TO","JUARINA","PAN","Vereador","0","0","0","0","1.409","0.000",
"TO","LAGOA DA CONFUSAO","PAN","Vereador","0","4","33","37","4.609","0.803",
"TO","LAGOA DO TOCANTINS","PAN","Vereador","0","0","0","0","2.058","0.000",
"TO","LAVANDEIRA","PAN","Vereador","0","0","0","0","948","0.000",
"TO","LIZARDA","PAN","Vereador","0","0","0","0","2.363","0.000",
"TO","LUZINOPOLIS","PAN","Vereador","0","0","0","0","1.729","0.000",
"TO","MARIANOPOLIS DO TOCANTINS","PAN","Vereador","0","0","0","0","2.532","0.000",
"TO","MATEIROS","PAN","Vereador","0","0","0","0","988","0.000",
"TO","MAURILANDIA DO TOCANTINS","PAN","Vereador","0","0","0","0","2.018","0.000",
"TO","MIRACEMA DO TOCANTINS","PAN","Vereador","0","0","0","0","10.800","0.000",
"TO","MIRANORTE","PAN","Vereador","0","0","0","0","7.591","0.000",
"TO","MONTE DO CARMO","PAN","Vereador","0","0","0","0","3.545","0.000",
"TO","MONTE SANTO","PAN","Vereador","0","0","0","0","1.653","0.000",
"TO","MURICILANDIA","PAN","Vereador","0","0","0","0","1.751","0.000",
"TO","NATIVIDADE","PAN","Vereador","0","0","0","0","4.932","0.000",
"TO","NAZARE","PAN","Vereador","0","0","0","0","3.020","0.000",
"TO","NOVA OLINDA","PAN","Vereador","0","0","0","0","5.218","0.000",
"TO","PEDRO AFONSO","PAN","Prefeito","0","0","0","0","4.876","0.000",
"TO","PEIXE","PAN","Prefeito","0","0","0","0","5.673","0.000",
"TO","PEQUIZEIRO","PAN","Prefeito","0","0","0","0","2.923","0.000",
"TO","PINDORAMA DO TOCANTINS","PAN","Prefeito","0","0","0","0","2.580","0.000",
"TO","PIRAQUE","PAN","Prefeito","0","0","0","0","1.823","0.000",
"TO","CHAPADA DA AREIA","PAN","Prefeito","0","0","0","0","1.172","0.000",
"TO","OLIVEIRA DO TOCANTINS","PAN","Prefeito","0","0","0","0","1.079","0.000",
"TO","DIVINOPOLIS","PAN","Prefeito","0","0","0","0","3.692","0.000",
