Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (AM) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:24:16  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"AM","SANTA ISABEL DO RIO NEGRO","PAN","Vereador","0","0","0","0","3.484","0.000",
"AM","TONANTINS","PAN","Vereador","0","0","0","0","4.079","0.000",
"AM","ITAPIRANGA","PAN","Vereador","0","2","49","51","4.153","1.228",
"AM","JAPURA","PAN","Vereador","0","0","0","0","1.926","0.000",
"AM","JURUA","PAN","Vereador","0","0","0","0","3.336","0.000",
"AM","JUTAI","PAN","Vereador","0","0","0","0","6.301","0.000",
"AM","LABREA","PAN","Vereador","0","0","0","0","12.111","0.000",
"AM","MANACAPURU","PAN","Vereador","0","9","253","262","35.269","0.743",
"AM","MANAQUIRI","PAN","Vereador","0","6","16","22","6.585","0.334",
"AM","MANAUS","PAN","Vereador","1","706","18,049","18,755","765.152","2.451",
"AM","MANICORE","PAN","Vereador","1","15","447","462","14.273","3.237",
"AM","MARAA","PAN","Vereador","0","0","0","0","4.504","0.000",
"AM","NHAMUNDA","PAN","Vereador","0","0","0","0","8.913","0.000",
"AM","NOVA OLINDA DO NORTE","PAN","Vereador","0","8","25","33","8.448","0.391",
"AM","NOVO ARIPUANA","PAN","Vereador","0","4","58","62","7.514","0.825",
"AM","PARINTINS","PAN","Vereador","0","0","0","0","38.700","0.000",
"AM","PAUINI","PAN","Vereador","0","0","0","0","5.751","0.000",
"AM","PRESIDENTE FIGUEIREDO","PAN","Vereador","0","3","28","31","10.540","0.294",
"AM","RIO PRETO DA EVA","PAN","Vereador","0","2","48","50","8.860","0.564",
"AM","SANTO ANTONIO DO ICA","PAN","Vereador","0","0","0","0","6.060","0.000",
"AM","SAO GABRIEL DA CACHOEIRA","PAN","Vereador","0","0","0","0","12.823","0.000",
"AM","SAO PAULO DE OLIVENCA","PAN","Vereador","0","0","0","0","7.910","0.000",
"AM","SAO SEBASTIAO DO UATUMA","PAN","Vereador","0","0","0","0","3.428","0.000",
"AM","SILVES","PAN","Vereador","0","0","0","0","4.320","0.000",
"AM","TABATINGA","PAN","Vereador","0","0","0","0","13.868","0.000",
"AM","TAPAUA","PAN","Vereador","0","0","0","0","7.078","0.000",
"AM","TEFE","PAN","Vereador","0","10","86","96","19.660","0.488",
"AM","UARINI","PAN","Vereador","0","0","0","0","4.407","0.000",
"AM","URUCARA","PAN","Vereador","0","9","328","337","7.271","4.635",
"AM","URUCURITUBA","PAN","Vereador","0","1","0","1","7.533","0.013",
"AM","ALVARAES","PAN","Vereador","0","3","104","107","5.295","2.021",
"AM","AMATURA","PAN","Vereador","0","0","0","0","2.894","0.000",
"AM","ANAMA","PAN","Vereador","0","0","0","0","4.455","0.000",
"AM","ANORI","PAN","Vereador","0","0","0","0","5.929","0.000",
"AM","APUI","PAN","Vereador","0","0","0","0","5.149","0.000",
"AM","ATALAIA DO NORTE","PAN","Vereador","0","0","0","0","3.105","0.000",
"AM","AUTAZES","PAN","Vereador","0","0","0","0","12.445","0.000",
"AM","BARCELOS","PAN","Vereador","0","0","0","0","5.183","0.000",
"AM","BARREIRINHA","PAN","Vereador","0","0","0","0","10.604","0.000",
"AM","BENJAMIN CONSTANT","PAN","Vereador","0","27","79","106","10.227","1.036",
"AM","BERURI","PAN","Vereador","0","0","0","0","5.320","0.000",
"AM","BOA VISTA DE RAMOS","PAN","Vereador","0","1","0","1","5.705","0.018",
"AM","BOCA DO ACRE","PAN","Vereador","0","4","44","48","10.530","0.456",
"AM","BORBA","PAN","Vereador","0","5","48","53","11.692","0.453",
"AM","CAAPIRANGA","PAN","Vereador","0","0","0","0","4.376","0.000",
"AM","CANUTAMA","PAN","Vereador","0","0","0","0","4.023","0.000",
"AM","CARAUARI","PAN","Vereador","0","0","0","0","9.993","0.000",
"AM","CAREIRO","PAN","Vereador","0","7","98","105","10.962","0.958",
"AM","CAREIRO DA VARZEA","PAN","Vereador","0","0","0","0","9.753","0.000",
"AM","COARI","PAN","Vereador","0","32","237","269","28.127","0.956",
"AM","CODAJAS","PAN","Vereador","0","0","0","0","8.423","0.000",
"AM","EIRUNEPE","PAN","Vereador","0","8","103","111","10.673","1.040",
"AM","ENVIRA","PAN","Vereador","0","0","0","0","5.673","0.000",
"AM","FONTE BOA","PAN","Vereador","0","0","0","0","8.121","0.000",
"AM","GUAJARA","PAN","Vereador","0","0","0","0","5.315","0.000",
"AM","HUMAITA","PAN","Vereador","0","0","0","0","16.186","0.000",
"AM","IPIXUNA","PAN","Vereador","0","0","0","0","5.493","0.000",
"AM","IRANDUBA","PAN","Vereador","0","17","343","360","13.855","2.598",
"AM","ITACOATIARA","PAN","Vereador","0","0","0","0","39.038","0.000",
"AM","ITAMARATI","PAN","Vereador","0","0","0","0","3.243","0.000",
"AM","MAUES","PAN","Prefeito","0","0","0","0","18.052","0.000",
"AM","NOVO AYRAO","PAN","Prefeito","0","0","0","0","5.015","0.000",
"AM","SANTA ISABEL DO RIO NEGRO","PAN","Prefeito","0","0","0","0","3.369","0.000",
"AM","TONANTINS","PAN","Prefeito","0","0","0","0","3.993","0.000",
"AM","ITAPIRANGA","PAN","Prefeito","0","0","0","0","4.058","0.000",
"AM","JAPURA","PAN","Prefeito","0","0","0","0","1.876","0.000",
"AM","JURUA","PAN","Prefeito","0","0","0","0","3.214","0.000",
"AM","JUTAI","PAN","Prefeito","0","0","0","0","6.047","0.000",
"AM","LABREA","PAN","Prefeito","0","0","0","0","11.733","0.000",
"AM","MANACAPURU","PAN","Prefeito","0","0","0","0","22.138","0.000",
"AM","MANAQUIRI","PAN","Prefeito","0","0","0","0","6.431","0.000",
"AM","MANAUS","PAN","Prefeito","0","0","0","0","751.104","0.000",
"AM","MANICORE","PAN","Prefeito","0","0","0","0","13.860","0.000",
"AM","MARAA","PAN","Prefeito","0","0","0","0","4.319","0.000",
"AM","NHAMUNDA","PAN","Prefeito","0","0","0","0","8.664","0.000",
"AM","NOVA OLINDA DO NORTE","PAN","Prefeito","0","0","0","0","8.074","0.000",
"AM","NOVO ARIPUANA","PAN","Prefeito","0","0","0","0","7.273","0.000",
"AM","PARINTINS","PAN","Prefeito","0","0","0","0","37.802","0.000",
"AM","PAUINI","PAN","Prefeito","0","0","0","0","5.609","0.000",
"AM","PRESIDENTE FIGUEIREDO","PAN","Prefeito","0","0","0","0","10.231","0.000",
"AM","RIO PRETO DA EVA","PAN","Prefeito","0","0","0","0","8.565","0.000",
"AM","SANTO ANTONIO DO ICA","PAN","Prefeito","0","0","0","0","5.851","0.000",
"AM","SAO GABRIEL DA CACHOEIRA","PAN","Prefeito","0","0","0","0","9.255","0.000",
"AM","SAO PAULO DE OLIVENCA","PAN","Prefeito","0","0","0","0","7.736","0.000",
"AM","SAO SEBASTIAO DO UATUMA","PAN","Prefeito","0","0","0","0","3.338","0.000",
"AM","SILVES","PAN","Prefeito","0","0","0","0","4.232","0.000",
"AM","TABATINGA","PAN","Prefeito","0","0","0","0","13.370","0.000",
"AM","TAPAUA","PAN","Prefeito","0","0","0","0","6.776","0.000",
"AM","TEFE","PAN","Prefeito","0","0","0","0","19.239","0.000",
"AM","UARINI","PAN","Prefeito","0","0","0","0","4.179","0.000",
"AM","URUCARA","PAN","Prefeito","0","0","0","0","7.310","0.000",
