Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (AP) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:24:26  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"AP","OIAPOQUE","PAN","Prefeito","0","0","0","0","6.108","0.000",
"AP","VITORIA DO JARI","PAN","Vereador","0","0","0","0","6.168","0.000",
"AP","AMAPA","PAN","Prefeito","0","0","0","0","4.034","0.000",
"AP","AMAPARI","PAN","Prefeito","0","0","0","0","2.205","0.000",
"AP","CALCOENE","PAN","Prefeito","0","0","0","0","4.103","0.000",
"AP","CUTIAS","PAN","Prefeito","0","0","0","0","2.334","0.000",
"AP","FERREIRA GOMES","PAN","Prefeito","0","0","0","0","2.610","0.000",
"AP","ITAUBAL","PAN","Prefeito","0","0","0","0","2.432","0.000",
"AP","LARANJAL DO JARI","PAN","Prefeito","0","0","0","0","15.599","0.000",
"AP","MACAPA","PAN","Prefeito","0","0","0","0","157.658","0.000",
"AP","MAZAGAO","PAN","Prefeito","0","0","0","0","7.363","0.000",
"AP","PORTO GRANDE","PAN","Prefeito","0","0","0","0","3.484","0.000",
"AP","PRACUUBA","PAN","Prefeito","0","0","0","0","1.599","0.000",
"AP","SANTANA","PAN","Prefeito","0","0","0","0","42.510","0.000",
"AP","SERRA DO NAVIO","PAN","Prefeito","0","0","0","0","1.875","0.000",
"AP","VITORIA DO JARI","PAN","Prefeito","0","0","0","0","6.029","0.000",
"AP","OIAPOQUE","PAN","Vereador","0","0","0","0","7.476","0.000",
"AP","TARTARUGALZINHO","PAN","Vereador","0","0","0","0","4.348","0.000",
"AP","AMAPA","PAN","Vereador","0","0","0","0","4.154","0.000",
"AP","AMAPARI","PAN","Vereador","0","0","0","0","2.282","0.000",
"AP","CALCOENE","PAN","Vereador","0","0","0","0","4.151","0.000",
"AP","CUTIAS","PAN","Vereador","0","0","0","0","2.363","0.000",
