Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (AC) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:23:32  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"AC","ASSIS BRASIL","PAN","Prefeito","0","0","0","0","3.044","0.000",
"AC","XAPURI","PAN","Vereador","0","0","0","0","7.110","0.000",
"AC","PLACIDO DE CASTRO","PAN","Prefeito","0","0","0","0","8.128","0.000",
"AC","SENADOR GUIOMARD","PAN","Prefeito","0","0","0","0","9.613","0.000",
"AC","ACRELANDIA","PAN","Prefeito","0","0","0","0","5.323","0.000",
"AC","BRASILEIA","PAN","Prefeito","0","0","0","0","9.931","0.000",
"AC","BUJARI","PAN","Prefeito","0","0","0","0","3.927","0.000",
"AC","CAPIXABA","PAN","Prefeito","0","0","0","0","3.643","0.000",
"AC","CRUZEIRO DO SUL","PAN","Prefeito","0","0","0","0","29.168","0.000",
"AC","FEIJO","PAN","Prefeito","0","0","0","0","10.417","0.000",
"AC","JORDAO","PAN","Prefeito","0","0","0","0","2.380","0.000",
"AC","MANCIO LIMA","PAN","Prefeito","0","0","0","0","6.108","0.000",
"AC","MANUEL URBANO","PAN","Prefeito","0","0","0","0","3.142","0.000",
"AC","MARECHAL THAUMATURGO","PAN","Prefeito","0","0","0","0","4.462","0.000",
"AC","PORTO ACRE","PAN","Prefeito","0","0","0","0","5.382","0.000",
"AC","PORTO WALTER","PAN","Prefeito","0","0","0","0","3.406","0.000",
"AC","RIO BRANCO","PAN","Prefeito","0","0","0","0","140.877","0.000",
"AC","RODRIGUES ALVES","PAN","Prefeito","0","0","0","0","4.915","0.000",
"AC","SANTA ROSA","PAN","Prefeito","0","0","0","0","1.077","0.000",
"AC","SENA MADUREIRA","PAN","Prefeito","0","0","0","0","14.369","0.000",
"AC","TARAUACA","PAN","Prefeito","0","0","0","0","12.592","0.000",
"AC","XAPURI","PAN","Prefeito","0","0","0","0","6.887","0.000",
"AC","ASSIS BRASIL","PAN","Vereador","0","0","0","0","3.103","0.000",
"AC","EPITACIOLANDIA","PAN","Vereador","0","0","0","0","5.949","0.000",
"AC","PLACIDO DE CASTRO","PAN","Vereador","0","0","0","0","8.329","0.000",
"AC","SENADOR GUIOMARD","PAN","Vereador","0","0","0","0","10.130","0.000",
"AC","ACRELANDIA","PAN","Vereador","0","0","0","0","5.522","0.000",
"AC","BRASILEIA","PAN","Vereador","0","0","0","0","10.285","0.000",
"AC","BUJARI","PAN","Vereador","0","0","0","0","4.118","0.000",
"AC","CAPIXABA","PAN","Vereador","0","0","0","0","3.781","0.000",
"AC","CRUZEIRO DO SUL","PAN","Vereador","0","0","0","0","30.533","0.000",
"AC","FEIJO","PAN","Vereador","0","0","0","0","10.688","0.000",
"AC","JORDAO","PAN","Vereador","0","0","0","0","2.372","0.000",
"AC","MANCIO LIMA","PAN","Vereador","0","0","0","0","6.270","0.000",
"AC","MANUEL URBANO","PAN","Vereador","0","0","0","0","3.221","0.000",
"AC","MARECHAL THAUMATURGO","PAN","Vereador","0","0","0","0","4.605","0.000",
"AC","PORTO ACRE","PAN","Vereador","0","0","0","0","5.572","0.000",
"AC","PORTO WALTER","PAN","Vereador","0","0","0","0","3.500","0.000",
"AC","RIO BRANCO","PAN","Vereador","0","0","0","0","145.382","0.000",
"AC","RODRIGUES ALVES","PAN","Vereador","0","0","0","0","4.960","0.000",
"AC","SANTA ROSA","PAN","Vereador","0","0","0","0","1.085","0.000",
"AC","SENA MADUREIRA","PAN","Vereador","0","0","0","0","14.565","0.000",
"AC","TARAUACA","PAN","Vereador","0","0","0","0","12.958","0.000",
"AC","EPITACIOLANDIA","PAN","Prefeito","0","0","0","0","5.641","0.000",
"AC","SANTA ROSA","PC do B","Vereador","3","49","334","383","1.085","35.300",
"AC","SENA MADUREIRA","PC do B","Vereador","0","11","80","91","14.565","0.625",
"AC","TARAUACA","PC do B","Vereador","2","335","2,349","2,684","12.958","20.713",
"AC","XAPURI","PC do B","Vereador","0","8","176","184","7.110","2.588",
"AC","TARAUACA","PC do B","Prefeito","0","0","3,401","3,401","12.592","27.009",
"AC","XAPURI","PC do B","Prefeito","0","0","0","0","6.887","0.000",
