Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (BA) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:24:55  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"BA","FLORESTA AZUL","PAN","Vereador","0","36","0","36","6.286","0.573",
"BA","FORMOSA DO RIO PRETO","PAN","Vereador","0","0","0","0","10.766","0.000",
"BA","CAMACARI","PAN","Vereador","0","40","9","49","85.890","0.057",
"BA","CAMAMU","PAN","Vereador","0","0","0","0","14.598","0.000",
"BA","CAMPO ALEGRE DE LOURDES","PAN","Vereador","0","0","0","0","14.246","0.000",
"BA","CAMPO FORMOSO","PAN","Vereador","0","0","0","0","36.130","0.000",
"BA","CANAPOLIS","PAN","Vereador","0","0","0","0","6.375","0.000",
"BA","CANARANA","PAN","Vereador","0","0","0","0","12.232","0.000",
"BA","CANAVIEIRAS","PAN","Vereador","0","0","0","0","18.249","0.000",
"BA","CANDEAL","PAN","Vereador","0","0","0","0","7.028","0.000",
"BA","CANDEIAS","PAN","Vereador","0","27","92","119","46.601","0.255",
"BA","CANDIBA","PAN","Vereador","0","0","0","0","7.930","0.000",
"BA","CANDIDO SALES","PAN","Vereador","0","0","0","0","15.400","0.000",
"BA","CANSANCAO","PAN","Vereador","0","0","0","0","16.977","0.000",
"BA","CANUDOS","PAN","Vereador","0","0","0","0","8.636","0.000",
"BA","CAPELA DO ALTO ALEGRE","PAN","Vereador","0","0","0","0","6.858","0.000",
"BA","CAPIM GROSSO","PAN","Vereador","0","0","0","0","14.175","0.000",
"BA","CARAIBAS","PAN","Vereador","0","0","0","0","5.788","0.000",
"BA","CARAVELAS","PAN","Vereador","0","0","0","0","10.958","0.000",
"BA","CARDEAL DA SILVA","PAN","Vereador","0","0","0","0","4.612","0.000",
"BA","CARINHANHA","PAN","Vereador","0","0","0","0","14.211","0.000",
"BA","CASA NOVA","PAN","Vereador","0","0","0","0","33.568","0.000",
"BA","CASTRO ALVES","PAN","Vereador","0","0","0","0","15.121","0.000",
"BA","CATOLANDIA","PAN","Vereador","0","0","0","0","2.517","0.000",
"BA","CATU","PAN","Vereador","0","0","0","0","29.372","0.000",
