Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (CE) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:25:15  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"CE","CRATEUS","PAN","Vereador","0","0","0","0","40.187","0.000",
"CE","CRATO","PAN","Vereador","0","0","0","0","59.759","0.000",
"CE","CROATA","PAN","Vereador","0","0","0","0","8.785","0.000",
"CE","CRUZ","PAN","Vereador","0","0","0","0","12.441","0.000",
"CE","DEP IRAPUAN PINHEIRO","PAN","Vereador","0","0","0","0","5.687","0.000",
"CE","ERERE","PAN","Vereador","0","0","0","0","3.657","0.000",
"CE","EUZEBIO","PAN","Vereador","0","4","56","60","23.337","0.257",
"CE","FARIAS BRITO","PAN","Vereador","0","0","0","0","12.340","0.000",
"CE","FORQUILHA","PAN","Vereador","0","0","0","0","11.920","0.000",
"CE","FORTALEZA","PAN","Vereador","2","957","42,893","43,850","1.128.646","3.885",
"CE","FORTIM","PAN","Vereador","0","0","0","0","9.511","0.000",
"CE","FRECHEIRINHA","PAN","Vereador","0","0","0","0","7.095","0.000",
"CE","GENERAL SAMPAIO","PAN","Vereador","0","0","0","0","4.137","0.000",
"CE","GRACA","PAN","Vereador","0","0","0","0","8.129","0.000",
"CE","GRANGEIRO","PAN","Vereador","0","0","0","0","3.465","0.000",
"CE","GRANJA","PAN","Vereador","0","0","0","0","24.599","0.000",
"CE","GROAIRAS","PAN","Vereador","0","0","0","0","5.665","0.000",
"CE","GUAIUBA","PAN","Vereador","0","2","75","77","12.896","0.597",
"CE","GUARACIABA DO NORTE","PAN","Vereador","0","0","0","0","19.030","0.000",
"CE","GUARAMIRANGA","PAN","Vereador","0","0","0","0","3.679","0.000",
"CE","HIDROLANDIA","PAN","Vereador","0","0","0","0","11.004","0.000",
"CE","HORIZONTE","PAN","Vereador","0","0","0","0","20.772","0.000",
"CE","IBARETAMA","PAN","Vereador","0","0","0","0","8.317","0.000",
"CE","IBIAPINA","PAN","Vereador","0","0","0","0","11.648","0.000",
"CE","IBICUITINGA","PAN","Vereador","0","0","0","0","7.231","0.000",
"CE","ICAPUI","PAN","Vereador","0","0","0","0","11.309","0.000",
"CE","ICO","PAN","Vereador","0","2","0","2","35.748","0.006",
"CE","IGUATU","PAN","Vereador","0","0","0","0","49.444","0.000",
"CE","INDEPENDENCIA","PAN","Vereador","0","0","0","0","16.220","0.000",
"CE","IPAPORANGA","PAN","Vereador","0","0","0","0","6.828","0.000",
"CE","IPAUMIRIM","PAN","Vereador","0","30","502","532","6.703","7.937",
"CE","IPU","PAN","Vereador","0","0","0","0","21.927","0.000",
"CE","IPUEIRAS","PAN","Vereador","0","17","289","306","20.263","1.510",
"CE","IRACEMA","PAN","Vereador","0","1","50","51","7.592","0.672",
"CE","IRAUCUBA","PAN","Vereador","0","0","0","0","11.795","0.000",
"CE","ITAICABA","PAN","Vereador","0","0","0","0","4.357","0.000",
"CE","ITAITINGA","PAN","Vereador","0","0","0","0","17.001","0.000",
"CE","ITAPAGE","PAN","Vereador","0","0","0","0","25.239","0.000",
