Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (ES) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:25:48  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"ES","MANTENOPOLIS","PAN","Vereador","0","0","0","0","7.455","0.000",
"ES","MARATAIZES","PAN","Vereador","0","225","317","542","18.732","2.893",
"ES","MARECHAL FLORIANO","PAN","Vereador","0","0","0","0","8.931","0.000",
"ES","MIMOSO DO SUL","PAN","Vereador","0","0","0","0","16.446","0.000",
"ES","MONTANHA","PAN","Vereador","0","11","30","41","10.272","0.399",
"ES","MUCURICI","PAN","Vereador","0","0","0","0","3.742","0.000",
"ES","MUNIZ FREIRE","PAN","Vereador","0","13","359","372","11.591","3.209",
"ES","NOVA VENECIA","PAN","Vereador","0","0","0","0","24.639","0.000",
"ES","PANCAS","PAN","Vereador","0","0","0","0","12.016","0.000",
"ES","PEDRO CANARIO","PAN","Vereador","0","0","0","0","11.840","0.000",
"ES","PIUMA","PAN","Vereador","0","0","0","0","9.550","0.000",
"ES","PONTO BELO","PAN","Vereador","0","0","0","0","4.797","0.000",
"ES","PRESIDENTE KENNEDY","PAN","Vereador","0","0","0","0","6.792","0.000",
"ES","RIO BANANAL","PAN","Vereador","0","0","0","0","11.375","0.000",
"ES","SANTA LEOPOLDINA","PAN","Vereador","0","0","0","0","7.849","0.000",
"ES","SANTA MARIA DO JETIBA","PAN","Vereador","0","0","0","0","18.563","0.000",
"ES","SANTA TERESA","PAN","Vereador","0","0","0","0","13.210","0.000",
"ES","SAO DOMINGOS","PAN","Vereador","0","0","0","0","4.769","0.000",
"ES","SAO GABRIEL DA PALHA","PAN","Vereador","0","18","466","484","17.111","2.829",
"ES","SAO MATEUS","PAN","Vereador","2","128","6,441","6,569","49.899","13.165",
"ES","SAO ROQUE DO CANAA","PAN","Vereador","0","0","0","0","6.810","0.000",
"ES","SOORETAMA","PAN","Vereador","0","0","0","0","11.814","0.000",
"ES","VARGEM ALTA","PAN","Vereador","0","0","0","0","9.956","0.000",
"ES","VENDA NOVA DO IMIGRANTE","PAN","Vereador","0","0","0","0","10.656","0.000",
"ES","VILA PAVAO","PAN","Vereador","0","0","0","0","5.750","0.000",
"ES","VILA VALERIO","PAN","Vereador","0","0","0","0","9.233","0.000",
