Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (GO) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:27:49  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"GO","PARANAIGUARA","PAN","Vereador","0","0","0","0","5.703","0.000",
"GO","PARAUNA","PAN","Vereador","0","0","0","0","6.487","0.000",
"GO","PEROLANDIA","PAN","Vereador","0","0","0","0","2.066","0.000",
"GO","PETROLINA DE GOIAS","PAN","Vereador","0","0","0","0","6.685","0.000",
"GO","PIRACANJUBA","PAN","Vereador","0","0","0","0","14.829","0.000",
"GO","PIRANHAS","PAN","Vereador","0","0","0","0","7.543","0.000",
"GO","PIRENOPOLIS","PAN","Vereador","0","0","0","0","14.404","0.000",
"GO","PIRES DO RIO","PAN","Vereador","0","0","0","0","16.967","0.000",
"GO","PLANALTINA","PAN","Vereador","0","0","0","0","32.170","0.000",
"GO","PORANGATU","PAN","Vereador","0","0","0","0","22.508","0.000",
"GO","PORTEIRAO","PAN","Vereador","0","0","0","0","1.780","0.000",
"GO","PORTELANDIA","PAN","Vereador","0","0","0","0","2.355","0.000",
"GO","POSSE","PAN","Vereador","0","0","0","0","15.719","0.000",
"GO","QUIRINOPOLIS","PAN","Vereador","0","0","0","0","22.879","0.000",
"GO","RIALMA","PAN","Vereador","0","0","0","0","6.271","0.000",
"GO","RIANAPOLIS","PAN","Vereador","0","0","0","0","2.968","0.000",
"GO","RIO QUENTE","PAN","Vereador","0","0","0","0","2.035","0.000",
"GO","RIO VERDE","PAN","Vereador","0","17","61","78","69.588","0.112",
"GO","SANCLERLANDIA","PAN","Vereador","0","0","0","0","5.390","0.000",
"GO","SANTA BARBARA DE GOIAS","PAN","Vereador","0","0","0","0","3.457","0.000",
"GO","SANTA CRUZ DE GOIAS","PAN","Vereador","0","0","0","0","2.491","0.000",
"GO","SANTA FE DE GOIAS","PAN","Vereador","0","0","0","0","2.999","0.000",
"GO","ABADIA DE GOIAS","PAN","Vereador","0","0","0","0","3.842","0.000",
"GO","ABADIANIA","PAN","Vereador","0","0","0","0","7.631","0.000",
"GO","ACREUNA","PAN","Vereador","0","0","0","0","11.448","0.000",
"GO","ADELANDIA","PAN","Vereador","0","0","0","0","1.844","0.000",
"GO","AGUA FRIA DE GOIAS","PAN","Vereador","0","0","0","0","3.701","0.000",
"GO","AGUA LIMPA","PAN","Vereador","0","0","0","0","1.760","0.000",
"GO","AGUAS LINDAS","PAN","Vereador","0","18","0","18","38.256","0.047",
"GO","ALEXANIA","PAN","Vereador","0","0","0","0","12.902","0.000",
"GO","ALOANDIA","PAN","Vereador","0","0","0","0","1.559","0.000",
"GO","ALTO HORIZONTE","PAN","Vereador","0","0","0","0","1.900","0.000",
"GO","ALTO PARAISO","PAN","Vereador","0","0","0","0","3.330","0.000",
"GO","ALVORADA DO NORTE","PAN","Vereador","0","0","0","0","4.842","0.000",
"GO","AMARALINA","PAN","Vereador","0","0","0","0","1.992","0.000",
"GO","AMERICANO DO BRASIL","PAN","Vereador","0","0","0","0","3.657","0.000",
"GO","AMORINOPOLIS","PAN","Vereador","0","0","0","0","2.985","0.000",
"GO","ANAPOLIS","PAN","Vereador","0","37","53","90","160.367","0.056",
"GO","ANHANGUERA","PAN","Vereador","0","0","0","0","805","0.000",
"GO","ANICUNS","PAN","Vereador","0","0","0","0","12.676","0.000",
"GO","APARECIDA DE GOIANIA","PAN","Vereador","1","196","4,729","4,925","165.032","2.984",
"GO","APARECIDA DO RIO DOCE","PAN","Vereador","0","0","0","0","2.245","0.000",
"GO","APORE","PAN","Vereador","0","0","0","0","2.205","0.000",
"GO","ARACU","PAN","Vereador","0","0","0","0","3.287","0.000",
"GO","IPAMERI","PAN","Vereador","0","9","205","214","14.615","1.464",
"GO","IPIRANGA DE GOIAS","PAN","Vereador","0","0","0","0","2.267","0.000",
"GO","IPORA","PAN","Vereador","0","4","34","38","18.613","0.204",
"GO","ISRAELANDIA","PAN","Vereador","0","0","0","0","2.189","0.000",
"GO","ITABERAI","PAN","Vereador","0","0","0","0","17.881","0.000",
"GO","ITAGUARI","PAN","Vereador","0","0","0","0","3.063","0.000",
"GO","ITAGUARU","PAN","Vereador","0","0","0","0","4.305","0.000",
"GO","ITAJA","PAN","Vereador","0","0","0","0","3.311","0.000",
"GO","ITAPACI","PAN","Vereador","0","0","0","0","9.780","0.000",
"GO","ITAPIRAPUA","PAN","Vereador","0","0","0","0","5.414","0.000",
"GO","ITAPURANGA","PAN","Vereador","0","18","400","418","17.168","2.435",
"GO","ITARUMA","PAN","Vereador","0","0","0","0","3.892","0.000",
"GO","ITAUCU","PAN","Vereador","0","0","0","0","6.201","0.000",
"GO","ITUMBIARA","PAN","Vereador","0","22","41","63","52.655","0.120",
"GO","IVOLANDIA","PAN","Vereador","0","0","0","0","2.406","0.000",
"GO","JANDAIA","PAN","Vereador","0","0","0","0","4.852","0.000",
"GO","JARAGUA","PAN","Vereador","0","0","0","0","21.026","0.000",
"GO","JATAI","PAN","Vereador","0","0","0","0","44.717","0.000",
"GO","JAUPACI","PAN","Vereador","0","0","0","0","2.544","0.000",
"GO","JESUPOLIS","PAN","Vereador","0","0","0","0","1.692","0.000",
"GO","JOVIANIA","PAN","Vereador","0","0","0","0","4.772","0.000",
"GO","JUSSARA","PAN","Vereador","0","0","0","0","12.435","0.000",
"GO","LAGOA SANTA","PAN","Vereador","0","0","0","0","926","0.000",
"GO","LEOPOLDO DE BULHOES","PAN","Vereador","0","0","0","0","4.566","0.000",
"GO","LUZIANIA","PAN","Vereador","0","0","0","0","73.396","0.000",
